"sku","specification"
"LT-TAPT/BASE","https://lenovopress.lenovo.com/lp0773-ibm-ts4300-tape-library"
"9S7-182421-007","https://www.overclockers.co.uk/msi-titan-18-hx-nvidia-rtx-5080-64gb-18-uhd-miniled-120hz-intel-ultra-9-27-lap-msi-03953.html"
