sku,weight (kg),depth (cm), length (cm),width (cm),height (cm)
ICX7150-48-4X10GR,5.216308,11,,17.3,1.72
ICX7150-48-2X10G,5.216308,11,,17.3,1.72
ICX7650-48F,7.6203456,16,,17.3,1.73
ICX7850-48F-E,8.7996848,44.45,,43.942,4.318
E1MG-SX-OM-8,,5.65,,1.34,0.85
901-P300-WW02,0.9979024000000001,18.034,,14.986,8.636
901-P300-WW01,0.9979024000000001,18.034,,14.986,8.636
901-1205-UN00,0.9979024000000001,,,,
901-3025-XX00,6.4001831199999994,35.56,,43.18,4.318
PF1-S300-WW00,24.29892344,51.815999999999995,,42.925999999999995,8.89
901-3025-UN00,,14,,,1.7
901-5100-UN10,18.0983208,2000,,1713.8,344.9
901-3050-UN00,,14,,17,1.7
P01-S104-EU00,,11.5,,17.2,1.7
901-3025-WW00,,14,,17,1.7
P01-S124-UN00,4.998583839999999,29.21,,43.687999999999995,4.318
P01-S124-EU00,,11.5,,17.2,1.7
901-1205-EU00,0.9979024000000001,16.002,,24.892000000000003,3.048
901-1205-IN00,0.9979024000000001,16.002,,24.892000000000003,3.048
P01-S104-UN00,,11.5,,17.2,1.7
901-3050-BR00,6.36843168,35.56,,43.18,4.318
P01-S144-UN00,6.9717090399999995,,,,
P01-D124-UN00,4.998583839999999,29.21,,43.687999999999995,4.318
P01-D124-WW00,4.998583839999999,29.21,,43.687999999999995,4.318
P01-S300-WW10,24.29892344,51.815999999999995,,42.925999999999995,8.89
P01-S104-UK00,4.998583839999999,29.21,,43.687999999999995,4.318
P01-S300-WW00,24.29892344,51.815999999999995,,42.925999999999995,8.89
PF1-S300-WW10,24.29892344,51.815999999999995,,42.925999999999995,8.89
UVC-G4-PTZ,,22.369999999999997,,20.7,34.13
745954,1.93,,26,,
V13H010L58,0.32,16,120,100,90.6
9S6-ACD312-001,5.82,21,,50,37
11LC000AUK,6,22,,49,42
UX425EA-BM078T,,20.8,,31.9,1.3900000000000001
UX363EA-HP165T,1.3,21.1,,30.5,1.39
VE2812AEUT,0.3,8.6,,15.1,5.17
VGX33,1.2,19.869999999999997,,29.57,1.48
11EX000TUK,5.3,29.8,,9.3,34
P2451FA-EB1398R,1.6,23.29,,32.53,1.9899999999999998
DS-12880,0.78,11,,20.2,4.4
BNUC11TNHI30000,,4.41,,4.61,2.13
BNUC11TNKV70000,,4.41,,4.61,1.46
53011TCA,2.01,40.9,,28.3,7.2
11CR002FUK,1.25,18.3,,17.9,3.45
32HFL5114/12,4.6,17.9,,73.2,49.4
39416,1.4,21,,31,6.5
211144-01,0.155,,,,
272B7QUBHEB/00,5.1,25.2,,69,45.8
DVT7110,0.093,1.9,,4.7,12.9
DVT8110,0.093,1.9,,4.7,12.9
ARMDUALSS,5.21,86,57,33,23
EDA61K-0NC934PGOK,0.435,4.1899999999999995,,7.8,20.6
EDA61K-1NUB34PGOK,0.46,4.1899999999999995,,7.8,20.6
EDA61K-1NC934PGOK,0.435,4.1899999999999995,,7.8,20.6
EDA61K-0NC934PEOK,0.435,4.1899999999999995,,7.8,20.6
TCSA40M-PB,1.2,26.77,,696,11.120000000000001
40A20090EU,0.92,16.25,,34.5,5.5600000000000005
40A20090UK,2.03,16.25,,34.5,5.5600000000000005
452-11505,1.05,17,,28.8,5.37
SRG-120DH,1.45,15.3,3.9,15.3,15.6
452-11420,1.05,17,,28.8,5.37
452-11414,1.05,17,,28.8,5.37
452-11513,0.78,17,,20,5.37
452-11506,1.05,17,,28.8,5.37
452-11417,1.5,28.8,,17,5.37
9H.LJ6LB.QBE,7.3,70.5,,51,12.5
275E1S/00,5.71,4.2,,61.3,36.8
38154,4.4,12,,53,32
172B9T/00,7.95,4.5,,37.6,32.2
DK-1743-A-VH-10,68,53,1000,53,
MCP7F00-A002,,,2,,
MCP7H00-G001,,,1,,
MFA1A00-C010,,,10,,
46984,0.22,,,,
46985,,,150,,
46983,,,50,,
46986,,,200,,
IS-DAP2-256-SSD-16000-C-X,7.9,,,,
NX.HQBEK.001,1.45,23.5,,30.060000000000002,1.6800000000000002
01916-001,0.6,18.2,,18.2,5.2
30BE00B5UK,24,46,,16.5,44
C423NA-EB0324,1.34,22.8,,32.260000000000005,1.61
38417,,,1310,21.6,
39375,0.555,9.6,,25.5,19.5
TS-DP620A-32G,0.85,,,,
3044C005,1.48,,19.9,,
2309C005,0.78,,17.6,,
MG04SCA60EE,0.77,2.6100000000000003,,10.16,14.7
C13T804800,0.001227,40,,6,14.5
C13T824800,0.0007650000000000001,32,120,100,9.6
980-000468,9,,1.8,,
CS1784A,0.93,8.8,,27,5.55
V13H010L63,0.0004,16,120,100,90.6
V13H010L60,0.00027,13.9,120,100,90.6
V13H010L62,0.00041999999999999996,15.9,120,100,117
V13H010L61,0.0004,13.9,120,100,166.2
100012831,1,5.9,,7,53.220000000000006
KL1516AIM,16,70.12,,48,4.4
V13H010L52,0.001238,40.5,,15.8,14.1
V13H010L77,0.00040300000000000004,15.5,120,100,108.6
S26361-F4473-L801,,,,43.2,4.4
10201069,,,,179,179
9H.LFELA.TBE,4.9,5.22,,54,32.5
9S6-3DA75A-012,10,26.6,,71,51.4
ZA3C0012GB,0.645,26.95,,20.4,17.990000000000002
11GDPAT1EU,3.61,6.53,,54,36.8
G27F,9.5,5.6,,61.9,36.6
VPL-CWZ10,5.7,31.93,,37.1,10
P2719H,9.05,4.28,1.8,61,36.3
90YH02P1-B3UA00,0.29,,1.2,,
G34WQC,12.1,11.4,,80.9,36.3
UM.QB7EE.019,5.59,19.3,,54,49.9
UM.HB7EE.030,7.77,20.8,,61.4,52.1
P2319H,3.11,4.13,1.8,52,31.2
P2719HC,9.36,4.28,,61,36.3
CC2000LE,0.014,,,,
UM.HB7EE.029,,6.6,,61.4,36.7
UM.WB6EE.015,3.17,22.1,,50.8,30.4
CS1764A-AT-E,2.41,32.5,,9.8,21
RS51B0-LBSNWR,,,610,,
RS51B0-TBSNWR,0.07,2.1,,2.8,6.1
IS-DT2-256-18000-C-G,1.24,11.2,,18.55,4.35
IS-DT2-256-18000-C-X,1.24,,,,
WDBAPY5000ANC-WRSN,0.0075,8,,2.2,0.238
62A3UAT1WL,1.87,37.7,,26.7,6.8
5PX3000RT3U,,49.8,,44.2,12.9
202652-103,0.155,,,,
202652-101,0.155,,,,
202652-104,0.155,,,,
202652-102,0.155,,,,
211710-101,0.155,,,,
PG707X,3.56,21.8,16.88,29.4,11
TD1655,2.3,1.6,,44,22.3
60004512,24.4,49,,59.9,20.8
12967,,,305,,
MCP7F00-A01A,,,1.5,,
2L-2910,19.6,,40.8,40.8,28.8
ARMSLIMDUOS,7.7,74,83.2,25,30
ARMSLMBARDUO,8.8,83,,57,60
BE24EQK,6.4,5.3,,54,35.5
E3SOPT001,2.27,12.7,,20.3,12.7
AZ252-BK,0.336,6.970000000000001,60,11.36,7.7700000000000005
0571C005,,,70,,
12A8644,0.1899,,,,
C13S051159,0.00128,37,,13.9,22.2
C13S051126,0.00145,37,120,100,83
003R99615,2.82,45.8,,27.5,16.7
C13S051124,0.00145,37,120,100,83
106R01220,0.6577000000000001,39.5,39.5,14.5,8.5
64040HW,2.2,,,,
113R00723,1.34,37,37,22,13.5
106R01218,0.6577000000000001,39.5,,14.5,8.5
64016SE,100,,,,
C13S051125,0.00145,37,,14,22
108R00579,1.63,50,,21.5,15
113R00657,2.4,38,38.5,23.5,23
PA248QV,13.45,,,,Yes
VZ279HEG1R,3.9,3.77,,61.3,36.2
XG27WQ,9.3,11.5,,61.9,37.6
272S1AE/00,9.38,5.1,,61.3,36.6
61F6MAT2EU,7.5,4.48,,52.2,31.6
ARMPIVOT2USB3,4.15,59.4,,3.5,62
ARMSLIM2USB3,3.5,55,,12,44
OR1000ERM1U,17.4,51.5,1.83,54.5,15.8
OR1500ERM1U,23.1,51.5,1.83,54.5,15.8
ARMDUALPS,5.5,22,45.7,33.7,48.3
ARMPIVOTB2,3.2,32,70,48,3.1
ARMWALLDSLP,4.6,32.5,50,35.5,42.5
61CFRAT2EU,5.6,26.18,,0.2,48.339999999999996
SM-R825FSDABTU,0.047,4.4,21,4.4,
OL1000HV,12.7,43.8,,88,41
PX703HD,2.62,22.2,12,31.2,10.8
345B1C/00,15.1,11,,80.7,36.7
ARMQUADSS,7.4,55,,35,12
VA24DQLB,12.13,,,,Yes
61EAGAT6EU,9.26,4.69,1.8,61.4,35.4
243B9/00,5.19,21.6,,54.1,52.2
4XD0U47635,,,1.3,,
90YH01X1-B3UA00,0.898,25,1.2,24,10
55031991,0.048,,,,
210979-02,0.021,,,,
212732-05,0.02,,,,
38260,5.24,30,,43,4.4
40969,21.08,70,,82.8,214.6
90YH02HW-B2UA00,0.387,,1.5,,
211317-101,0.11,,,,
209214-02,0.16,,,,
CM1284,2.46,43.72,,16.4,4.4
01561-001,0.09,2.7,5,2,2
FPWARPS,12.6,91,91,46,14
38172,1.01,5.8,,28.2,18.5
CS1182DP,3.92,,,,
210-AOHY,,18.29,,18.29,5.33
108R00727,0.2268,16.5,16.5,16,4
43501902,1.3,15,,31.8,12.3
H1F0H02BW101,73,11.6,,201.9,120.9
H1F0H00BW101,45,9.5,,154.6,94.3
H1F0H01BW101,57,10.9,,177,107.1
8001711,15.3,37.08,,45.72,25.4
8001745,16.8,37.08,,45.72,25.4
8001802,15.3,37.08,,45.72,25.4
8001851,16.8,37.08,,45.72,25.4
8001703,16.8,37.08,,45.72,25.4
CLT-T508/SEE,2.3,,45.4,63.9,39.2
B11B258401BY,3.7,16.9,,29.6,16.7
C11CJ89401,7.3,37.5,,34.6,34.7
C11CJ88401,7.3,37.5,,34.6,34.7
KH1516AI,,,50.29,,
KN2124VA,5.48,41.21,,43.36,4.4
KN4132VA,5.73,41.21,,43.36,4.4
KN4140VA,5.54,41.21,,43.36,4.4
11EF0016UK,4.2,30.4,,10,27
11EF0015UK,4.2,30.4,,10,27
11EF0010UK,4.2,30.4,,10,27
82C700E4UK,1.85,25.15,,36.22,1.9899999999999998
38987-01,0.021,,,,
84691-02,0.072,,,,
2200-48820-025,,2.2,,9.4,9.1
2200-48830-025,,2.4,,9.2,10.3
2200-46350-025,,6.5,,5,5
2200-48350-019,,7,,7.5,6
2200-48840-025,,2.2,,9.4,9.1
DA-70868,0.6,12,0.3,38.5,1.8
Z74-000C0000EM00,17.9,,,,
TD2130NZU1,1.34,21.5,1,11,17.2
C11CD67301A0,135,177.5,,104.5,81.5
C11CD66301A0,67,81.3,,124.5,111.7
QM2430-BK-433K2,0.23,9.1,,4.1,16.3
C31CD38025A1,1.7,25,,19,23.5
16527751,,,50,,
1T02TVCNL0,,31,,11,12
50G0804,60,62.4,,53.8,47.9
50G0800,6.6,59.4,,49.4,15.8
50G0852,8.1,56.1,,50,42.8
42C7550,5.48,50,,47.5,20.2
42C7650,60,50,,47.5,20.2
82GJ0000UK,1.25,20.4,,29,1.9899999999999998
KN1108VA,3.52,28.78,,43.839999999999996,4.4
STJW1000400,22.7,1.16,6.85,4.8,4.29
ZA1000GM1A001,1.2,2.4,15.3,29.2,14
SEDC500R/7680G,0.09234,10,,6.99,0.7
SAT5200-480G,,10,,6.9799999999999995,0.7
WD161KRYZ,0.69,2.6100000000000003,,10.16,14.7
STHS4000800,1.7,11.8,,5.63,21.7
STHS16000800,1.7,11.8,,5.63,21.7
MZ-77Q2T0BW,0.046,10,,6.9799999999999995,0.6799999999999999
TS-131K/3TB-RED,2.02,21.9,,7.3,16.9
TS-131K/8TB-RED,2.02,21.9,,7.3,16.9
TS-131K/10TB-IW,2.02,21.9,,7.3,16.9
TS-131K/8TB-IW,2.02,21.9,,7.3,16.9
TS-131K/1TB-RED,2.02,21.9,,7.3,16.9
TS-131K/4TB-IW,2.02,21.9,,7.3,16.9
TS-231K/6TB-RED,1.46,21.9,,10.2,16.9
TS-231K/8TB-IW,2.49,21.9,,10.2,16.9
TS-231K/20TB-IW,2.49,21.9,,10.2,16.9
TS-231K/24TB-IW,2.49,21.9,,10.2,16.9
TS-231K/16TB-IW,2.49,21.9,,10.2,16.9
TS-231K/16TB-RED,1.46,21.9,,10.2,16.9
TS-253D-4G/20TB-IW,1.48,22.6,,10.5,16.8
TS-253D-4G/20TB-RED,1.48,22.6,,10.5,16.8
TS-253D-4G/2TB-RED,1.48,22.6,,10.5,16.8
TS-253D-4G/8TB-IW,1.48,22.6,,10.5,16.8
TS-253D-4G/16TB-RED,1.48,22.6,,10.5,16.8
TS-253D-4G/6TB-RED,1.48,22.6,,10.5,16.8
TS-253D-4G/24TB-IW,1.48,22.6,,10.5,16.8
TS-253D-4G/16TB-IW,1.48,22.6,,10.5,16.8
TS-431K/12TB-RED,2.01,21.9,,16,16.9
TS-431K/40TB-IW,3.47,21.9,,16,16.9
TS-431K/48TB-IW,3.47,21.9,,16,16.9
TS-431K/4TB-RED,3.47,21.9,,16,16.9
TS-431K/16TB-IW,3.47,21.9,,16,16.9
TS-431K/32TB-RED,3.47,21.9,,16,16.9
TS-453D-4G/48TB-IW,3.6,22.6,,17,16.8
TS-453D-4G/32TB-IW,3.6,22.6,,17,16.8
TS-453D-4G/40TB-IW,3.6,22.6,,17,16.8
TS-453D-4G/4TB-RED,3.6,22.6,,17,16.8
TS-453D-4G/12TB-RED,2.37,22.6,,17,16.8
TS-453D-4G/32TB-RED,3.6,22.6,,17,16.8
TS-131K/12TB-IW,2.02,21.9,,7.3,16.9
TS-453D-4G/16TB-IW,3.6,22.6,,17,16.8
TS-431K/32TB-IW,3.47,21.9,,16,16.9
TS-431KX-2G/12TB-RED,3.47,21.9,,16,16.9
TS-431KX-2G/40TB-RED,3.47,21.9,,16,16.9
TS-431KX-2G/16TB-IW,3.47,21.9,,16,16.9
TS-431KX-2G/32TB-IW,3.47,21.9,,16,16.9
TS-431KX-2G/32TB-RED,3.47,21.9,,16,16.9
TS-431KX-2G/4TB-RED,3.47,21.9,,16,16.9
TS-431KX-2G/40TB-IW,3.47,21.9,,16,16.9
TS-431KX-2G/48TB-IW,3.47,21.9,,16,16.9
FPWARTS2,18.8,55,56.5,93.5,22
38214,,1.6,24,1.6,0
450148,0.17,,,,
39392,0.27,11,,11,3
39376,1.05,10.1,,7.5,2.5
RT10A-L0N-17C12S0E,1.2,19.830000000000002,,27.189999999999998,1.95
CE611,0.34,8.69,,12.8,2.5
NX.VMQEK.007,1.1,23,,32.5,1.6600000000000001
5KTP1,8.67,39.4,,48.7,26.4
BL-FU220E,0.453592,10.16,,10.16,10.16
CS3070-SR10007WW,,3.4,,1.9,0.9
LI4278-TRBU0100ZWR,,5,,2.8,3.8
SM-R180NZNAEUA,0.0422,1.65,,2.73,1.49
SM-R180NZKAEUA,0.0422,1.65,,2.73,1.49
02-SSC-5649,0.97,15,,22.5,3.5
242E1GAJ/00,4.83,4.3,,54,32.5
345E2AE/00,10.2,4.9,,81.7,36.5
62A5MAT4EU,5.7,4.17,1.8,54.2,32.6
DS-43308,1.65,17.1,,43,2.8
LS600W,7,27.6,19.16,38.6,11.6
242B9TL/00,11.1,5,,55.4,33.8
275E2FAE/00,7.59,3.8,,61.4,35.4
162B9TN/00,3.44,4.2,,37.8,24.1
9H.LJNLB.QBE,6.2,20,,57.1,52.1
9H.LJPLB.QBE,8.5,20,,57.1,52.5
VA2732-MHD,6,4.6,,61.5,36.4
VA2732-H,6,4.6,,61.5,36.4
VP229HE,6.31,,,,
9S6-3BA41T-029,3.33,22.82,,54.02,41.160000000000004
9S6-3CA81A-046,7.5,22.5,,74.5,49
PG259QN,9.9,25.4,,68.8,50.8
DELL-E2421HN,5.95,5.24,,55.1,32.6
62A9GAT1UK,7.35,4.55,,61.4,Yes
11JHRAT1EU,4.91,7.39,,61.4,41.3
V11H923640,13.2,37.5,0.39,45.8,21
E9PX7F911EZ1,4.5,26.5,,33.7,12.25
V11H973040,3.88,23.7,16.9,30.2,8.2
V11H979040,2.8,25.2,1.67,30.2,9.2
V11HA12040,5.13,31.5,16.9,30.9,12.2
60005203,5.5,4.25,,53.8,32
210-ALLIANZ,9.05,4.28,,61,36.3
E2020H,3.94,5.01,1.5,47.2,27.5
XG32VC,13.607759999999999,4.65,,28.1,16.8
90HC00D1-MWP0E0,0.036,,2.2,,
208748-101,0.056,,,,
9S6-3PA3AT-005,8.2,18.3,,76.5,49
PX701-4K,2.8,10.8,15.843,31.2,22.2
V11HA23040,2.8,17.5,1.3900000000000001,17.5,6.5
V11HA14040,3.79,17.5,1.3900000000000001,17.5,13.5
DELL-UP2716DA,9.52,5.14,,61.1,36.2
DELL-UP3221Q,24.3,7.61,,71.2,43.6
271V8LA/00,5.55,4.5,,61.3,36.3
272V8LA/00,5.66,4.5,,61.3,36.3
346E2CUAE/00,13.1,11,,80.7,36.7
V11H976040,4.04,23.7,16.9,30.2,8.2
E1P0A3PBE1Z2,2.8,24.4,,31.6,10.8
TF3239MSC-B1AG,17.2,59,,18.7,90
BXNUC9I5QNX,,21.6,,23.8,9.6
580-AGFF,0.34,22.7,,29.2,0.53
NX.VN1EK.001,1.49,21.2,,29.5,2.09
MTFDHAL3T2TDR-1AT1ZABYY,0.235,10.05,,7.01,1.5
MTFDHAL3T8TDP-1AT1ZABYY,0.235,10.05,,7.01,1.5
ES1686DC-2123IT-64G,32.7,63.06,,48.31,13.2
ST14000NM002G,22.9,5.79,,4.01,1.03
TS-883XU-RP-E2124-8G/32TB-EXOS,11,56.2,,48.2,8.83
TS-883XU-RP-E2124-8G/48TB-EXOS,11,56.2,,48.2,8.83
TS-883XU-RP-E2124-8G/96TB-EXOS,11,56.2,,48.2,8.83
ST8000NM000A,0.716,14.7,,10.18,2.6100000000000003
ST4000NM006A,,5.8,,4,1
STHG4000402,0.4,2,,9.120000000000001,12.4
IS-FL-DP2-256-128,0.037,1.94,,8.74,1.34
IS-FL-DP2-256-64,0.037,1.94,,8.74,1.34
IS-FL-DP2-256-256,0.037,1.94,,8.74,1.34
IS-FL-DP2-256-32,0.037,1.94,,8.74,1.34
IS-FL-DP2-256-512,0.037,1.94,,8.74,1.34
XS1600LE70004,5.82,3.95,,2.76,0.591
SA3400,,28.5,,19,2
WDBFBE0240JBK-EESN,2.29,16,,10,18
SA3400/96TB-IWP,,72.4,,48.2,8.8
SA3400/96TB-EXOS,,72.4,,48.2,8.8
4XB0W79581,0.12,14.4,,17.7,5.3
ST10000NM0086,22.9,5.79,,4.01,1.03
718292-001,15.9,4.67,,2.98,0.614
693648-B21,25.6,,,,
658071-B21,1.360776,4.36,,1.04,7.25
RT10-BAT-EXT1,0.474,1.65,,,
KA7240S,1.26,22.71,200,17.15,5.4799999999999995
RT10A-L1N-17C12S1E,1.2,19.830000000000002,,27.189999999999998,1.95
RT10-BAT-STD1,0.276,1.1,,,
RT10A-L0N-18C12S0E,1.2,19.830000000000002,,27.189999999999998,1.95
2200-86430-001,,,2.1,,
P20182-B21,14.7870992,28.8,,17.5,3.44
P20172-B21,14.7870992,28.8,,17.5,3.44
7Z01A02CEA,35.4,76.4,,44.5,8.7
VFY:T2555SC020IN,,17.7,,44.8,73.6
VFY:T2555SC030IN,,17.7,,44.8,73.6
90YH01K0-B2EA00,0.4,12,2,13.8,19
V12HA06A06,10,50,,30,35
PVP-00002,0.775,0.85,,29.2,20.1
P19177-B21,,27.8,,17.1,1.69
38205,0.156,,,18,
P19564-B21,13.0180904,25,,17.5,3.44
920-009319,7.96,19.9,29.5,21.5,30.1
38350,0.56,,22,16,5
38179,0.56,12.45,22,16,5
NX.HPXEK.001,1.26,20.6,,29.6,1.9899999999999998
920-009318,0.605,26,,23.8,18.9
P17080-B21,,15,,17.1,1.7
P17078-B21,,15,,17.1,1.7
920-009316,0.605,26,,23.8,18.9
920-009314,7.96,19.9,29.5,21.5,30.1
BL-FP370A,,12,,6.75,
DS-55315,0.63,24.3,,19.6,6
DS-55314,,12,,6.75,
38213,0.345,,9,15.7,2
38288,,,,10.2,
42710,0.19,,6.7,12,2.7
516816-B21,25.6,9.02,,7.01,4.65
507614-B21,1.360776,7.43,,4.36,1.04
652572-B21,15.9,4.67,,2.98,0.614
DN-93619-24,0.0195,3.45,,1.45,2.1
90YE00A1-B0NA00,3.08,15,,16,8.6
HCD-6070R,0.32,,3.2,,9.85
HCP-6320A,2.2,,4.44,,21.8
HCO-6070R,0.914,,25.98,,
HCV-6070R,,,,,10.61
IFP2410,7.56,43.5,,64.3,14
QNP-6230,3.3,,,,29.360000000000003
3450C005,1.2,,11.7,,
TBR038GL,6.32,20.5,47,36,47.5
CS782DP-AT,5.43,23.9,49.7,32.8,19.6
989-000171,2.77,8.3,22,20.7,11
39317,2.2,11,,41,5
CF-VZSU53W,0.12,,,,
0A36290,0.32,5.5,,20.7,2.05
1T02VMANL0,,31.5,,12,11
40N4250,3.32,38.1,,41.12,10.39
E658394,6.3,19.34,,42.96,42.96
E658788,6.75,19.34,,52.69,38.38
E862573,0.327,1.7399999999999998,,8.55,16.7
E9PX7D701EZ1,3.18,22.86,21.85,30.439999999999998,10.16
90MP01Y0-BKEA00,0.94,14.2,,36.8,6.1
ARCHER MR600 V2,,14.1,,20.2,3.3600000000000003
8586-RDX,,11.9,,8.7,2.3
8731-RDX,,11.9,,8.7,2.3
CT2000MX500SSD1,,,,,0.7
STFR2000403,0.1,13.51,,8.6,1.8699999999999999
7SD7A05737,0.063,10,,7,0.7
7SD7A05763,0.07,10,,7,0.7
MZ-76P512E,0.08618,0.686,,10,6.9799999999999995
IS-DT2-256-12000-C-G,1.24,11.2,,18.55,4.35
MTFDDAK800MBB-1AE1ZA,,10.02,,6.9799999999999995,0.7
2A-137G,0.02,5.59,1310,14.459999999999999,1.3
PHD20-2240-01,0.454,8.6,,17,4
16619126,0.383,4.68,15,11.84,8.28
4571C009,,,24,,
U8P80E,0.5,3.2,,7.6,13.4
452-BCDO,0.422,10.9,,15.5,2.1100000000000003
B11B205231BU,10.3,36,120,100,157.8
IS-DT2-256-14000-C-X,1.24,11.2,,18.55,4.35
IS-DT2-256-14000-C-G,1.24,11.2,,18.55,4.35
DEM-QX01Q-SR4,272,13.1,102,122,199
EAP660 HD,,24.3,,24.3,6.4
DGS-1520-28,2.33,44.1,,20.740000000000002,4.4
DWM-312W,0.5,3.2,,7.6,13.4
DXS-1210-28S,3.27,20.95,,44.1,4.4
90MB15V0-M0EAY0,,24.4,,30.5,
AT-GS950/16-50,2.38,25.6,,35.2,4.32
90IG05N0-MO3R20,0.295,9,,9,8
TL-SG3428MP,,18,,44,4.4
DBA-3621P,1.37891968,7.8740000000000006,,16.002,45.974000000000004
DIS-100G-10S,0.498,2.8,,19,10
NBG7815-EU0102F,1.8,23.5,,37.5,7.5
NBG6818-EU0102F,1.8,23.2,,38.2,7.6
LTE5388-M804-EUZNV1F,1.6,17,,24.7,12
16568,3.1297848,25.4,,44.196,4.318
16571,4.50870448,25.4,,44.196,4.318
ARMTBLTIW,1,51.1,58,26.2,53.2
TR-004/16TB-IW,1.85,21.9,,16.02,16.85
TR-004/24TB-IW,1.85,21.9,,16.02,16.85
TR-004/48TB-IW,1.85,21.9,,16.02,16.85
TR-004/32TB-IW,1.85,21.9,,16.02,16.85
TR-004/8TB-IW,1.85,21.9,,16.02,16.85
TR-004/40TB-IW,1.85,21.9,,16.02,16.85
939-001817,,17.78,,24.384,5.842
4XB0G88764,0.75,14.76,,10.16,2.65
ST900MP0006,0.23,10.05,,6.9799999999999995,1.5
490-BEQY,,,,14.48,6.890000000000001
90DC0020-B39000,18,56.5,22,25,59.1
CA-H210i-BR,6,37.2,31.1,21,34.9
UVC30-DESKTOP,,5.9,3,,
UVC30-ROOM,,5.9,1.6,,
01811-031,,15.9,850,40.4,16.8
4111C005,0.395,,8.88,,
9518A007,0.385,,8.98,,
DGS-2000-52MP,6.26,43,,44,4.4
DGS-2000-28P,3.75,25,,44,4.4
DGS-2000-52,3.46,21,,44,4.4
TL-SG3428,,18,,44,4.4
DWL-7620AP,,1.5,,8.1,8.1
UWB-XG,3.2,,,47.11,9.43
90SB0660-M0UAY1,0.97,24.4,,30.5,
QWA-AC2600,,2.06,,9.03,16
RBwAPG-60adkit,,8.5,,18.5,3
RB912R-2ND-LTM&R11E-LTE,,7.7,,13.9,2.85
RBOmniTikPG-5HacD,,5.8,,12.9,41.6
REXP-1220U-RP/48TB-EXOS,,52,,43.9,8.8
RX418/16TB-EXOS,4.28,32.5,,48,4.4
SUV500/1920G,0.052,6.9799999999999995,,10.01,0.7
ASK3-NX-128GB,0.022,0.95,,8.1,1.8399999999999999
TS-431XEU-2G/24TB-IW,5.78,29.1,,43.9,4.4
TS-431XEU-2G/32TB-IW,5.78,29.1,,43.9,4.4
TS-431XEU-2G/16TB-IW,5.78,29.1,,43.9,4.4
TS-431XEU-2G/48TB-EXOS,5.78,29.1,,43.9,4.4
WDBA2F0050BBL-WESN,,4.2,,3,0.8
ES1686DC-2142IT-96G,32.7,63.06,,48.31,13.2
STHR500800,0.1,9.790000000000001,,6.49,1.7
0F30146,,5.8,,4,1
Y13PY,,,,10.16,
01EN100,1,,,,
ST12MHDLAN,2.02,24.6,,29.5,8.6
ST12MHDLANRX,0.969,15.6,,23.5,6.5
38104,,,,225,
REXP-1220U-RP/24TB-IWP,,52,,43.9,8.8
REXP-1220U-RP/96TB-IWP,,52,,43.9,8.8
RX1217/144TB-IWP,,66.4,,43.05,8.8
REXP-1220U-RP/48TB-IWP,,52,,43.9,8.8
REXP-1220U-RP/72TB-IWP,,52,,43.9,8.8
TS-451+-2G/32TB-IW,,23.5,,18,17.7
TS-451+-2G/40TB-IW,,23.5,,18,17.7
MG07SCA12TE,0.72,14.7,,10.18,2.6100000000000003
MG06SCA800E,0.77,14.7,,10.18,2.6100000000000003
4XB7A13623,0.066,10,,7,0.7
4XB7A13625,0.063,10,,7,0.7
IS-DAP2-256-SSD-256-C-X,0.18,8.4,,12.4,2
IS-DT2-256-10000-C-X,1.24,11.2,,18.55,4.35
IS-DT2-256-3000-C-X,1.24,11.2,,18.55,4.35
IS-DT2-256-8000-C-X,1.24,11.2,,18.55,4.35
IS-DAP2-256-1000-C-X,0.225,8.4,,12.4,2
IS-DAP2-256-5000-C-X,0.331,8.4,,12.4,2.8
IS-DT2-256-2000-C-X,1.24,11.2,,18.55,4.35
IS-DAP2-256-2000-C-X,0.225,8.4,,12.4,2
IS-DT2-256-1000-C-X,1.24,11.2,,18.55,4.35
IS-DT2-256-4000-C-X,1.24,11.2,,18.55,4.35
IS-DAP2-256-3000-C-X,0.331,8.4,,12.4,2.8
IS-DAP2-256-500-C-X,0.225,8.4,,12.4,2
IS-DAP2-256-SSD-128-C-X,0.18,8.4,,12.4,2
IS-DT2-256-6000-C-X,1.24,11.2,,18.55,4.35
IS-DAP2-256-4000-C-X,0.331,8.4,,12.4,2.8
IS-DAP2-256-SSD-512-C-X,0.18,8.4,,12.4,2
IS-DT2-256-12000-C-X,1.24,11.2,,18.55,4.35
DEM-QX10Q-LR4,272,13.1,102,122,199
MMA1B00-B150D,,,850,,
MTFDDAK3T8QDE-2AV1ZABYY,0.07,0.7,,6.9799999999999995,10.05
MZ-76E3T8E,0.06,6.99,,10.01,0.6900000000000001
DA-90386,120,,,,Electric
IA-330,3.2,26.8,,27.2,26
IA-310,2.3,26.5,,26.5,12.5
IA-320,2.6,26.8,,27,20.4
IA-340,3.5,27.2,,27.2,26.4
EP-54V-72W,0.65,19.2,,11.5,4.37
E393160,0.12,11.4,,17.5,6.9
U280-016-RMINT,7.21,48.260000000000005,48.260000000000005,42.42,19.81
APCRBC159,12.6,15.2,,36.8,49.5
01796-001,1.3,30.5,,16.4,22.5
H1857P901SA,3.8,,15.8,,
ISC-CDL1-WA15GE,,7,,12,5.5
H1057P68N01,3,,24.5,,
H2440P70N01,5.6,,30.6,,
USY-00002,4.56,,,19.84,24.130000000000003
