sku,weight (kg),depth (cm), length (cm),width (cm),height (cm)
HKLP50,0.28395,33,15.2,1.9,2.2
WALLSTS1,8.7,80,,66.8,50
UNIDOCKU33,1.1,18.7,,12.3,21.4
VS440HDMI,3.1,58.1,,26.3,9
SDOCK2U33RE,1.05,,,19,21.3
USBAUBSCHM,0.068,20.2,,15.2,2
RJ45SPLITTER,0.03,22,0.33,20,3
SLSODDU33B,0.399,15.1,,20.8,4.4
ICUSB1284D25,0.119,22,1.9,20,2.2
SFPLCCAP10,0.0020099999999999996,1.52,,1.3,0.74
R150WN1X1T,0.335,16.5,,11,4
RK2620WALHM,75,65,59.5,60,140
ESATAPLATE2,0.0592,12.4,,2,21.5
NETRS2321POE,0.259,,19.2,29.6,7
USB32DVCAPRO,0.462,21.7,,15,5.2
AWE81EU,4.36,36.5,37.5,18.5,27.8
DECO M4(3-PACK),2.33,23.5,,35.3,16
TL-WA860RE,,6.58,,11,7.5200000000000005
TL-WPA4220 TKIT,,5.4,,9.4,4
TL-WPA4220,,5.4,,9.4,4
B097-048-INT,19.6,48.769999999999996,50.3,44.5,30.2
W53H,,2.5,,4.84,15
CPE80,2.6,,,,
Z71-000C0000EM00,12.2,,,,
VPN100-EU0101F,1.4,,,,
UBB,0.376,14,,14,9
2200-40000-001,1.09,,,,
EAX80-100EUS,3.93,12.6,36.4,29.4,34.2
E7-L2YAE-HE,14.1,,,,
960-000842,0.088,2.9,1.52,6.85,4.04
920-002921,4.7,48.5,49.5,15.2,21.6
910-005084,0.11,4.04,1.83,6.65,13.030000000000001
910-005273,0.08,4,1.8,6.35,12.5
910-005470,0.121,4,,7.5,13.2
CSE-111LT-330CB,,55.88,,42.672000000000004,4.318
MBD-A1SA7-2750F-B,,17,,21,
ICX7150-24-4X1G,,11,,17.3,1.7
81JW0001US,1.47,23.23,,32.57,2.08
NX.C5TEK.001,1.5,22.9,,32.67,1.7899999999999998
62VTM,1.32,20.7,,29.7,1.4300000000000002
VG279Q1R,6.1,3.77,,61.3,36.2
U280-032-RMINT,8.35,50.29,,42.93,20.07
DWC-1000,10.8,39.6,110,27.3,8
Q2078W,0.28,11.1,960,11.3,2.1
TS-451DEU-2G/48TB-IW,5.79,29.5,,43,4.4
RB953GS-5HNT-RP,,10.5,,18.3,2.4
1102TT3NL0,14.6,41.6,210,54.9,30.8
PSU 500W_3,1.13,11,,17.1,6
6598-832-209,0.067,12.4,,5.5,18.65
5PX2200IRTN,28.5,52.2,,44.1,8.620000000000001
P21143-B21,0.68,,,,
C11CG37411,22.2,45.2,,56.7,41.8
B535-232,0.325,13.8,,21.9,2.56
MZ-77E1T0B/EU,0.086,7,,10,0.7
9S7-154322-251,2.38,26.7,,35.8,2.34
PY47F,4.7,31.910000000000004,,40.260000000000005,3.18
ZD4A042-C0EE00EZ,,,450,16.8,
SDSSDE60-1T00-G25,0.634,3.25,22.6,11.1,16.5
DX1215II,9.02,34,,30,27
JL254A-REF,3.1,24.630000000000003,,44.25,4.39
AP4423A,5.51,23.6,35.6,60,11.4
P14608-B21,0.15,6.55,,4.34,7.37
871244-B21B,1.3,39,,28,11
E510MA-BR847WS,2.57,46,,6.5,29
90YV0ID1-M0NA00,3.65,22.6,,42,12.6
GV-N4080AORUSX W-16GD,,23.6,,14.6,4
1626012,0.83,15,1.25,11.3,11
RE700X,,3.6,,7.8,14.9
S10-04G0050-EC4,0.398,10.5,2,15.6,6.25
UVC-G4 DOORBELL PRO POE KIT,0.264,16.06,,5.17,3.5100000000000002
USB3C-MDP-5M,,,5,,
RB-524,,,0.15,,
4OPT-101H,,,1.5,,
DV-202,,,2,,
CDEX-221K,,,1,,
214573-01,0.16,17.7,0.762,14.2,5.5
40971,2.5,12.5,,22,45
32121,0.313,5.5,,18.5,14
P2662,0.055,1.2,,10.8,19.5
520-10704-EU,,5.59,,33.53,4.0600000000000005
S37-0400020-SV1,0.7,8,2.2,17,20
V12H005A01,0.0002,20,,5,12
CS-1900,4,26.5,,26.7,22.5
70437,0.293,12,,15.5,6
TS-DP110M-32G,0.069,3.25,,6.3100000000000005,7.0200000000000005
980-001301,10,42.6,44.2,38.2,30.6
14101-72,1.69,16,28.5,37.9,16.8
VM-FAN556,1.92,57.5,57.5,45.3,13
9894858,0.21,5.2,,16.2,9.8
GSR212,0.0862,19.69,1.01,38.739999999999995,19.69
980-9I46T-00N003,,,3,,
UACC-READER-PRO-AM-W,0.043,3.1100000000000003,,4.04,16
CUBI NUC 1M I7 150U BB,0.000625,22,,20.5,9.4
WS-EUK04,,3.75,,8.6,8.58
TW1025LASC-B1PNR,1.1,2.8,,25.95,17.85
XO2TBK.CEUSLLK,1.5,16.5,,16.5,28.2
UC SPK01M,0.39,,,,
2135,23,167,,50.5,13
61U6300000AC,7.18,38.9,,39.2,23.9
MXE03B/A,1.55,22.119999999999997,,31.26,1.55
Q2G-H4K2,0.494,18.11,,13.969999999999999,3.18
NP964QGK-KG1UK,1.66,25.22,,35.54,1.28
SFX/CW1308-6-LSF-WHT-100,,,100,,
G35CA-1370KF061W,15,43.3,,27.9,50.1
9S7-182272-062,3.6,30.75,,40.4,3.2
9S7-17S151-647,3.1,11.9,,46.1,37.6
FA607PI-QT008W,2.27,25.2,,35.5,2.82
82WS003FUK,2.8,26.360000000000003,,36.339999999999996,2.59
G634JZR-N4086W,2.55,26.4,,35.4,3.04
NH.QP5EK.003,3.25,31.160000000000004,,40.4,2.8899999999999997
NH.QLZEK.00F,4.05,54.3,,8,34.1
LU-WD-016-23-EF,0.07659999999999999,,2.6399999999999997,,
RRS-00150,3.3,36,,29.2,27.5
21FE000XUK,2.2,26.2,,36.5,2.4699999999999998
EI-T5600BWEGEU,0.01375,5.24,,2.88,0.8
ET-L2ZAE-HG,22.7,75.46000000000001,,45,8.9
EX-6002,0.6,,,,
JL683B#ABB,3.49,26.47,,44.25,4.39
GV-N408SAORUSX ICE-16GD,3.23,50.85,,32,12.75
Strimer plus V2 8 pins,,,0.3,,
LVT-SC-R,0.00002,0.5,,1,0.5
43387,0.16,15.4,,11.2,4
TBLT4MM50CM,0.022,22,29.2,12.8,2
064AOTHERB66,0.03,,0.2,,
SPE-1630,2.32,32,,37,4.4
952-000123,2.41,28.160000000000004,31.5,29,19.2
DN-18650,0.08,16.5,,13,7.5
LFH0005/60,0.017,,,,
2215-69385-001,0.121,10,,13.5,5
DS21,0.23,2.8,,5.2,9.5
AN-25178,,,,7.5,19
AP-BOOMA-B1,1.18,5.75,,9.65,108.1
LVT551520,1.9,,1000,,
VR-3,0.944,30,,20,17
Q2013A,0.11,,,28.45,22.61
WDBAWY5000ABK-WESN,0.0785,10.7,,5.08,1.3
SP.72801GC01,0.992,,,,
DN-94004,0.59,,2.5,12,29
ASK-HT-S144H,0.18,2,16,10.5,26.5
XMW-553516G1-W6W,,35,,21,41
QAU-00104,0.49,17.6,,17.8,7.4
P51932-421,,75.31,,43.46,4.29
CW45-STRAP-S,,,,26.6,
GV-N507TWF3OC-16GD,3,39.8,30.4,23,8.5
GV-N710D5-2GL,,6.9,14.5,,1.5
GV-N407TSAI TOP-16GD,1.68,32.2,,21.4,7.5
GV-N1030D4-2GL,,1.47,14.99,,6.890000000000001
GP-UD850GM PG5,,14,70,15,8.5
GV-N406TWF2OC-8GD,,4.1,20.1,,12
GV-N5080AORUS M-16GD,3,45.3,36,24.5,16
GV-R76GAMING OC-8GD,,5,28.7,,11.5
VCG508016TFXPB1-O,,10.290000000000001,32.87,40.489999999999995,19.89
877619-031,21,64.8,,17.4,46.25
P06781-425,,47.5,,17.5,36.83
P03707-425,13.6,47.519999999999996,,17.5,36.82
867963-B21,,70.7,,43.46,4.29
P11051-421,21,17.4,,64.8,46.25
P06454-B21,13,70.7,,43.46,4.29
826567-B21,14.8,,,44.55,8.74
826565-B21,14.8,73.03,,44.55,8.74
867962-B21,,27.8,,17.1,1.69
P06785-425,,47.5,,17.5,36.83
P06049-B21,7.88,38.22,,43.46,4.32
826566-B21,14.8,73.03,,44.55,8.74
873830-421,,25.4,,23,23.5
P19779-B21,,27.8,,17.1,1.69
P20174-B21,,28.8,,17.5,3.44
P06479-B21,,38.22,,43.46,4.32
P03686-425,,44,,19.5,48.05
P01880-B21,13,70.7,,43.46,4.29
877622-421,24,64.8,,44.5,17.4
867964-B21,,,,43.46,4.29
P06478-B21,,38.22,,43.46,4.32
P03685-425,,44,,19.5,48.05
P19775-B21,,27.8,,17.1,1.69
P03684-425,,44,,19.5,48.05
P06419-B21,14.8,73.03,,44.55,8.74
P06421-B21,14.7870992,28.8,,17.5,3.44
P02462-B21,14.8,73.03,,44.55,8.74
P02464-B21,14.8,73.03,,44.55,8.74
P03630-B21,,70.7,,43.46,4.29
878968-B21,,61.489999999999995,,43.46,4.29
879513-B21,13,63.470000000000006,,44.54,8.73
J9995A,0.93,20.65,,26.160000000000004,4.45
JL074A,,17,,17.4,1.7
JL383A,0.91,15.95,,25.4,4.39
JL381A,2.72,24.61,,44.25,4.39
JL385A,4.4,24.61,,44.25,4.39
JL382A,3.31,24.61,,44.25,4.39
JL170A,2.66,24.64,,44.35,4.4
