sku,weight (kg),length (cm),width (cm),height (cm)
VS440HDMI,2.4,,18.5,4.2
SDOCK2U33RE,1.05,,19,21.3
USBAUBSCHM,0.016,,1.01,1.9
RJ45SPLITTER,0.03,0.33,20,3
SLSODDU33B,0.277,,13.6,2
ICUSB1284D25,0.119,,20,2.2
SFPLCCAP10,0.002,,1.8,0.7
R150WN1X1T,,,,
RK2620WALHM,75,,60,140
ESATAPLATE2,0.0592,,2,21.5
NETRS2321POE,0.963,19.2,29.6,7
USB32DVCAPRO,0.462,,15,5.2
AWE81EU,1,,4,26.5
DECO M4(3-PACK),2.33,,9.07,19
TL-WA860RE,,,11,7.5200000000000005
TL-WPA4220 TKIT,,,9.4,4
TL-WPA4220,,,9.4,4
B097-048-INT,3.58,49,26.919999999999998,8.379999999999999
108R00829,,,,
W53H,,,4.84,15
CPE80,2.6,,,
104523-111,,,,
Z71-000C0000EM00,12.2,,,
VPN100-EU0101F,1.4,,,
UBB,0.376,,14,9
2200-46162-025,,,,
2200-40000-001,1.09,,,
2215-64200-001,,,,
E048069,,,,
EAX80-100EUS,1.4,,32.7,25.8
E7-L2YAE-HE,14.1,,,
960-000842,0.088,1.52,6.85,4.04
920-002921,,,,
910-005084,,,,
910-005273,0.08,1.8,6.35,12.5
910-005470,0.121,,7.5,13.2
CSE-111LT-330CB,,,42.672000000000004,4.318
MBD-A1SA7-2750F-B,,,21,
ICX7150-24-4X1G,,,17.3,1.7
81JW0001US,1.47,,32.57,2.08
NX.C5TEK.001,,,,
62VTM,0.23,,29.7,1.4300000000000002
VG279Q1R,6.1,,62.9,49.9
U280-032-RMINT,5.94,,43.94,8.66
T5D-00295,,,,
KLQ-00211,,,,
C7977AN,,,,
MHL73ZM/A,,,,
DWC-1000,2.5,35.4,27.3,8
6GQ-00092,,,,
Q2078W,0.28,960,11.3,2.1
TS-451DEU-2G/48TB-IW,5.79,,,
RB953GS-5HNT-RP,,,18.3,2.4
1102TT3NL0,60,210,140,40.3
PSU 500W_3,1.13,,17.1,6
6598-832-209,,,5.5,18.65
5PX2200IRTN,28.5,,44.1,8.620000000000001
P21143-B21,0.68,,,
C11CG37411,64,,56.7,41.8
TN3480,,,,
B535-232,0.325,,21.9,2.56
MZ-77E1T0B/EU,,,,
9S7-154322-251,2.38,,35.8,2.34
PY47F,0.37,,40.260000000000005,2.77
ZD4A042-C0EE00EZ,,450,16.8,
SDSSDE60-1T00-G25,0.106,,10.16,15.24
DX1215II,9.02,,30,27
JL254A-REF,3.1,,44.25,4.39
T3U55A#B19,,,,
AP4423A,3.74,2.44,43.2,4.4
P14608-B21,0.15,,4.34,7.37
871244-B21B,1.3,,28,11
E510MA-BR847WS,2.57,,6.5,29
TN821XLY,,,,
90YV0ID1-M0NA00,3.65,,42,12.6
GV-N4080AORUSX W-16GD,,,,
1626012,0.83,,11.3,11
RE700X,,,7.8,14.9
S10-04G0050-EC4,,,,
NUADR090FLWSKFN00C,,,,
KLQ-00461,,,,
UVC-G4 DOORBELL PRO POE KIT,0.264,,5.17,3.5100000000000002
CT1000T500SSD5,,,,
USB3C-MDP-5M,,5,,
RB-524,,0.15,,
3-6M3F,,,,
4OPT-101H,,1.5,,
DV-202,,2,,
CDEX-221K,,1,,
214573-01,0.16,,14.2,5.5
40971,2.5,,,
32121,0.313,,18.5,14
NPR5PK5-10000S,,,,
P2662,0.013,,10.8,19.5
520-10704-EU,,,33.53,4.0600000000000005
S37-0400020-SV1,0.7,,,
V12H005A01,0.0002,,5,12
01798-001,,,,
VIQF-SOTI-LTIER-5Y,,,,
KAI-RED,,,,
CS-1900,4,,26.7,22.5
AC-PIR,,,,
K68008EU,,,,
70437,0.293,,15.5,6
TS-DP110M-32G,0.069,,6.3100000000000005,7.0200000000000005
980-001301,8.99,,36.2,27.8
14101-72,0.08,28.5,22.5,1
VM-FAN556,3.27,,45.3,13
1MX79AAE,,,,
DN-FO-KC,,,,
9894858,,,,
PGFX4,,,,
GSR212,0.0862,,38.739999999999995,19.69
980-9I46T-00N003,,3,,
UACC-READER-PRO-AM-W,0.043,,4.04,16
CUBI NUC 1M I7 150U BB,0.00145,,20.5,9.4
WS-EUK04,,,8.6,8.58
TW1025LASC-B1PNR,1.1,,25.95,17.85
XO2TBK.CEUSLLK,1.5,,16.5,28.2
UC SPK01M,0.39,,,
2135,23,,50.5,13
ContentCamMount-USB,,,,
61U6300000AC,7.18,,39.2,23.9
MXE03B/A,,,,
Q2G-H4K2,0.494,,13.969999999999999,3.18
NP964QGK-KG1UK,1.66,,35.54,1.28
SFX/CW1308-6-LSF-WHT-100,,,,
G35CA-1370KF061W,15,,27.9,50.1
9S7-182272-062,3.6,,40.4,3.2
23ND-WH-WW-STANDARD-RET,,,,
9S7-17S151-647,,,46.1,37.6
FA607PI-QT008W,2.27,,35.5,2.21
82WS003FUK,2.8,,36.339999999999996,2.2
G634JZR-N4086W,2.55,,35.4,2.26
NH.QP5EK.003,,,,
NH.QLZEK.00F,4.05,,8,34.1
LU-WD-016-23-EF,0.07659999999999999,1.6,,
RRS-00150,3.3,,29.2,27.5
21FE000XUK,2.2,,36.5,2.4699999999999998
LIC-GOLD-ZZ2Y06F,,,,
MT2N3ZM/A,,,,
EI-T5600BWEGEU,0.01375,,2.88,0.8
ET-L2ZAE-HG,22.7,,45,8.9
DA-71540-1,,,,
EX-6002,0.6,,,
SDPA5NN-0000-GBSNB,,,,
JL683B#ABB,3.49,,44.25,4.39
GV-N408SAORUSX ICE-16GD,3.23,,32,12.75
Strimer plus V2 8 pins,,0.3,,
LVT-SC-R,0.00002,,,
43387,0.064,,10,1.64
TBLT4MM50CM,0.022,,12.8,2
064AOTHERB66,0.03,0.2,,
SPE-1630,2.32,,37,4.4
952-000123,0.5057,,15.219999999999999,8.76
DN-18650,0.057,,5.1,7
LFH0005/60,0.017,,,
SLEEV-20WHI,,,,
2215-69385-001,0.121,,13.5,5
DS21,,,,
AN-25178,,,,
AP-BOOMA-B1,1.18,,9.65,Yes
STP-EM300ZL,,,,
LVT551520,2.1,1000,,
VR-3,0.944,,20,17
010-12953-00,,,,
720865-B21,,,,
Q2013A,0.11,,28.45,22.61
V-9916M,,,,
6GQ-01150,,,,
WDBAWY5000ABK-WESN,,,,
B7038AAE,,,,
K67973WW,,,,
692-500,,,,
SP.72801GC01,0.992,,,
DN-94004,0.59,2.5,12,29
571897-002,,,,
PASS4000,,,,
AR7589,,,,
ASK-HT-S144H,0.18,,10.5,26.5
XMW-553516G1-W6W,,,21,41
QAU-00104,0.49,,17.8,7.4
P51932-421,,,43.46,4.29
CW45-STRAP-S,,,,
GV-N507TWF3OC-16GD,3,,23,8.5
GV-N710D5-2GL,,14.5,,1.5
GV-N407TSAI TOP-16GD,1.68,,21.4,7.5
GV-N1030D4-2GL,,,,
GP-UD850GM PG5,,,,
GV-N406TWF2OC-8GD,,,,
GV-N5080AORUS M-16GD,3,,24.5,16
GV-R76GAMING OC-8GD,,,,
VCG508016TFXPB1-O,,,40.489999999999995,19.89
877619-031,21,,17.4,46.25
P06781-425,,,17.5,36.83
P05520-B21,,,,
P03707-425,13.6,,37.5,36.82
867963-B21,,,43.46,4.29
P11051-421,21,,64.8,46.25
P06454-B21,13,,43.46,4.29
826567-B21,14.8,,44.55,8.74
826565-B21,14.8,,44.55,8.74
867962-B21,,,17.1,1.69
P03632-B21,,,,
P06785-425,,,17.5,36.83
P06049-B21,7.88,,43.46,4.32
826566-B21,14.8,,44.55,8.74
873830-421,,,23,23.5
P19779-B21,,,17.1,1.69
P20174-B21,,,17.5,3.44
P03631-B21,,,,
P06479-B21,,,43.46,4.32
P06420-B21,,,,
P03686-425,,,19.5,48.05
P01880-B21,13,,43.46,4.29
877622-421,24,,44.5,17.4
867964-B21,,,43.46,4.29
P06478-B21,,,43.46,4.32
P03685-425,,,19.5,48.05
P19775-B21,,,17.1,1.69
P03684-425,,,19.5,48.05
877621-421,,,,
P05524-B21,,,,
P06419-B21,14.8,,44.55,8.74
P06421-B21,14.7870992,,17.5,3.44
P06453-B21,,,,
P02462-B21,14.8,,44.55,8.74
P02464-B21,14.8,,44.55,8.74
P03630-B21,,,43.46,4.29
878968-B21,,,43.46,4.29
879513-B21,13,,44.54,8.73
J9995A,0.93,,26.160000000000004,4.45
JL074A,,,17.4,1.7
JL383A,0.91,,25.4,4.39
JL381A,2.72,,44.25,4.39
JL385A,4.4,,44.25,4.39
JL382A,3.31,,44.25,4.39
JL170A,2.66,,44.35,4.4
JH295A,,,,
