sku,weight (kg),depth (cm),width (cm),height (cm)
40B00135UK,1.2,19.5,27,8.5
4J0A2AA#ABU,0.76,14.3,27.5,14.85
SR3B9B,0.2,13.7,4.3,11.2
DELL-P2721Q-D/B,9.7,,,
61F1GAT2UK-O/B,13,52.8,84.5,19
9VG71AA,10.4,44.4,69.5,22.5
223R2B,7.55,21.8,47.4,40.8
226Y0B,14.2,37.7,49.6,48.9
GS1900-24E-GB0102F,2.05,22.3,32.5,7.1
CX5400FMA-AI0112,3.5,45.5,7.3,29
POE12-60W-GB0101F,1.12,14.2,16.8,4.7
G533ZW-LN148W,4.82,46.5,9,33.5
NR7101-GB01V1F,2.82,42,28,10.8
GS1900-24E-GB0103F,2.05,22.3,32.5,7.1
GS1900-24-GB0102F,2.85,21.7,56.1,8.2
NWA55AXE-GB0102F,0.89,18.8,22.1,5.9
GS1100-10HP-GB0102F,1.97,30.4,22.8,6.7
6599-833-309,,17.6,5.1,20.6
GS1915-24E-GB0101F,2.05,22.3,32.5,7.1
WSM20-GB0101F,1.72,28.1,23.8,15.1
NR7101-GBZNN1F,2.82,42,28,10.8
62A7KAT1UK,4.38,11.8,59.4,39
VA27DQ,6.8,,,
9VF96AA,8,20.7,52.16,48.98
9VJ40AA#ABU,9.12,42,60.5,22.4
MB166B,1.65,7.6,43.4,29
PA248CNV,8.5,17.7,73.5,44.2
9VF99AA,8.4,20.7,53.94,49.49
64L88EA#ABU,3.4,23.5,49.8,13.2
DELL-WD19DCS,,31.5,30,6.2
FX506HEB-HN145W,4.2,42.6,10.3,31.2
40B10135UK,1.23,19.5,27,8.5
40B20135UK,1.25,15.8,21,7.5
50H55AA,0.18,6.5,23.5,4.5
5TW10AA#ABU,1.49,15.6,19.2,16.5
6T159EA#ABU,,44.9,6.9,30.5
6T1A1EA#ABU,,44.9,6.9,30.5
40B50090UK,0.96,15.8,21,7.5
82RL002MUK,3.01,34,57.2,7.4
6S758EA#ABU,,48.3,6.9,30.5
6Q8C1ES#ABU,,48.3,6.9,30.5
G634JZ-N4003W,5.03,33.5,10.6,42
FX506HC-HN057W,4.2,42.6,10.3,31.2
26D32AA,1.49,15.6,19.2,16.5
TN245Y,0.8,10.5,38.8,15
1PV87A#B19,14.3,39.8,49.7,46.6
XGS4600-52F-ZZ0101F,6.6,35.5,61.6,10.7
MG-105-ZZ0101F,0.92,13.3,21.5,7.9
MG-108-ZZ0101F,1.12,13.2,25.6,7.8
NWA90AX-EU0102F,0.6,15.5,24,6
GS1915-8-GB0101F,1.1,22.7,30.2,6.4
LTE5398-M904-EU01V1F,1.6,17,24.7,12
WAX655E-EU0101F,2.92,28.4,42.7,11.1
USGFLEX700-EU0102F,4.8,16.3,51.9,39.2
XGN100F-ZZ0101F,0.15,13.7,17,3
XGN100C-ZZ0101F,0.18,13.7,17,3
USGFLEX100-EU0111F,1.4,10,28.4,19
ATP100-EU0112F,1.4,10,28.4,19
E410MA-EK007WS,2.37,42.9,6.5,27
SRCASE10U,9.53,57.4,55.88,53.85
U442-DOCK7D-B,0.64,11.99,38.51,3.99
B030-008-17-IP,19.1,83.01,67.79,14.73
DMCS3770L,17.3,103.63,48.51,7.87
DMCS3270XP,26.8,113.59,53.01,24.51
B021-000-19-HD2,18,83.18,59.18,15.49
SR42UBDPWD,183.2,126.36,84.46,215.9
SR18UB,56.7,86.36,60.96,104.14
SR4POST48HD,56.2,238.76,27.94,17.78
SRW26USDP,72.6,76.2,71.12,139.7
SRX42UBWDEXP,144.2,108.84,85,212.09
N845-02M-8L-MG,0.07,1.27,17.78,22.86
Archer C80,0.8,24,35,8.2
Archer AX23,0.89,24,33,7.3
Archer AX10,0.78,24,33,7.3
STKP12000400,1.34,7.7,21.2,21.8
M2W,3.12,28,29,16.8
OPTIX MAG342CQR,9.36,21,91,48.5
C31CG62214P1,5.64,38.2,29.7,29.4
5X7J8EA#ABU,2.95,13.2,49.8,23.5
90MB1CP0-M0EAY0,2.25,29.3,36.8,29
5F0K3EA#ABU,9.24,40,28.7,49.9
106R01510,0.48,34,9.5,9
VG34VQL1B,12.1,97.4,51,22
FLP-W1-PL2-MG,3.4,30.3,60,10
HLL2350DWZU1,8.3,28.3,43.8,51.9
W2013A,1.84,15.5,48.3,19.8
D9P29A,4.7,23.5,46.9,46.9
90MB1B80-M0EAY0,3.08,29.1,36.7,7.4
W2011X,1.84,15.5,48.3,19.8
STKK8000400,1.61,8,23.6,23.3
C315V_DNIUK,30.8,59.4,55.8,57
FLX-B1-PM1-MD,2.43,30.5,54.3,6.7
STKG2000400,0.14,14.7,10.45,3.25
01LW010,0.32,20,32.2,4
808452-002,0.48,16.3,32.9,3.9
VFM-DSB,4.82,25.7,47,8.8
X1702ZA-AU119W,3.67,51.5,6.5,30.5
9TT78AA#ABB,4.7,12.3,58.8,37.3
KMPD5,2.68,7.6,39.3,34.5
106R01434,0.66,46,7.5,7
DN-19 SRV-42U-8/12B,145,125,85,211
FLP-W4-TA1-MD,3.04,30.3,60,10
LH43BEAHLGKXXU,11.8,14.3,108.1,67
P2V68A,0.51,4.1,28.3,11.8
6U3H9EA#ABU,7.25,20.5,39.4,49.9
C9469A,1.09,12,32.4,6.4
VA27DCP,6.8,16.3,64.9,49.8
W2003X,1.84,15.5,48.3,19.8
PA147CDV,2.3,9.2,44,29
90YV0IJ0-M0NA00,2.13,8.7,42,22.6
90YE00P2-B0NA00,3.22,,,
257G4B#687,11,32.5,49.7,40.9
1C4Z5AT#ABU,7.6,19.5,53.17,52.14
TS-264-8G,2.68,,,
9553-415-111,,17.25,10.4,23.6
F9J81A,1.05,16.83,26.04,11.75
FLP-B4-TA2-MX,3.27,30.3,60,10
2775-429,,15.5,15.3,4.9
V513-004R,2.52,,,
CM1164A-AT-E,4.43,54,13.1,23.3
26699-989-989,,6.05,22.5,11.2
FLP-W4-PM2-MX,3.27,30.3,60,10
64M15EA#ABU,9.02,24.5,59.5,41.4
PE6216G-AX-G,6,141.5,18.7,17.9
9H.LHXLA.TBE,5.2,66,41,13
CF281A,2.47,19.3,39.1,30
Q7516A,2.7,19.4,49.7,33
M0J86AE,0.35,22,4.8,5.2
FLX-W1-A62-MX,2.66,30.5,54.3,6.7
AD12YDC-L-01-B-PVC,32,69,85,37
FLP-B1-PM2-MX,3.27,30.3,60,10
UH3237-AT,0.48,42,11.5,3.8
641U4AW#ABU,11.7,29,58,37.6
CB386A,3.9,16.8,60.3,32.7
55UR78006LK.AEK,18.9,16.2,136,81
CS1942DP-AT-E,3.36,54,11.6,23.3
C11CD67301EB,138,177.5,120,81
G513QY-HQ008W,5.13,46.5,9,33.5
DELL-E2723H,6.77,,,
PE1324G-AX,5.53,146.5,20.5,16.6
AB673817,,16.3,15.8,2.8
6A1N8EA#ABU,,44.9,6.9,30.5
W2121X,1.21,14.7,39.5,16.1
PG32UQX,17.3,28.4,86.3,61
C13T05H64010,0.2,16.2,5.2,14.2
PA248CRV,8.5,12.6,61,41.4
FLP-B1-PM1-MD,3.04,30.3,60,10
OL1000HV-AT-G,18.5,43.8,8.8,41
6B2D2EA#ABU,3.4,23.5,49.8,13.2
M28U,9.7,14.8,89,51
FLP-W1-GT4-MX,3.27,30.3,60,10
7ZU79A#B19,39.6,60,75,59.8
439Z3EA#ABU,,48.3,6.9,30.5
C9463A,0.11,14.3,2.8,13.2
5HB06A#B19,28,57.5,115.5,40.5
AD19-03-B-PVC,2.95,66,87,42
PE4104G-AT-G,1.49,28.3,10,17.3
5HB11A#B19,55.3,57.5,147,59
C11CJ60407,8.97,50,41,31
5F0G0EA#ABU,9.24,40,28.7,49.9
FLP-W1-PD4-MD,3.04,30.3,60,10
C13S041643,11.2,117.5,17.5,16.5
90YV0IB0-M0NA00,2.99,26.6,42.59,9.9
5V8L3EA#ABU,12.5,18.6,62.8,67.5
C11CJ28401,21.2,50,56,44.5
FLX-W4-PD4-MD,2.43,30.5,54.3,6.7
9559-450-111-1,,4.5,17.35,20.4
PE0324SG-AT,4.16,140.8,12.5,14.6
A61CH62101,1.27,23,23,16.5
90YV0I53-M0NA00,0.64,22,30.3,5.5
PE0118SG-AT-G,2.25,69.6,12.3,15
FLP-B1-PD5-MD,3.04,30.3,60,10
CF252XM,2.7,32.7,36.3,12.3
FLP-B4-SP6-MG,3.4,30.3,60,10
C11CJ71401CA,4.66,44.5,41.5,25
B5L36A,2.3,20,50,28.8
C11CE40301A3,214.5,204,83,150
C11CJ89402,9.27,43.5,40.5,41.5
CF226XD,2.7,20.4,36.2,22.7
DN-81312,0.01,26,26,
C31CJ57152,2.7,23.5,19.5,26
5051C005,0.28,9.4,9.4,11.7
5253C003,178,91.5,182,104.2
TMFYT,0.4,15.9,37.7,6.2
3062C003AA,69,91.3,115.2,70.5
XG32UQ,13.2,22.6,90,52.6
9VJ40AT#ABU,9.12,20.69,53.2,50.96
90MB1C70-M0EAY0,3.52,31.2,37,10.8
W1A78A#B19,26.2,49.7,59.7,49
AD12YDC-L-01-G-PVF,32,69,85,37
VM8584K2-AT,1.15,42.6,28.5,5.7
48R39EA#ABU,,48.3,6.9,30.5
65QNED816RE.AEK,33.6,20.3,160,97
CF363A,1.16,14.7,39.5,16.1
26D32AA#ABU,1.49,15.6,19.2,16.5
STNDMTV100,39.2,81,131,18
FLX-B1-PD5-MD,2.43,30.5,54.3,6.7
DN-95345,2.92,18.8,25.8,
FLP-W1-SG-MX,3.27,30.3,60,10
5Z7D8AA,,25.1,65.3,21
KA7183-AX,0.12,12.4,4.2,12.9
90LM0510-B04E70,8.7,20.9,68.2,44.8
FLP-B1-M3-MN,2.86,30.3,60,10
FLP-W1-TS2-MD,3.04,30.3,60,10
90MP01Y6-BKEA00,0.94,14.2,36.8,6.1
FLX-W4-PM1-MD,2.43,30.5,54.3,6.7
W2004A,0.97,12.4,48.3,16.8
50H55AA#ABB,0.18,6.5,23.5,4.5
SP-1900P,5.5,27.5,23.5,39.5
FLP-B1-AR1-MD,3.04,30.3,60,10
C13S050609,0,13.4,7.2,14.6
5578-230-310,0.14,9.3,14.1,4.3
FLX-W4-TA1-MD,2.43,30.5,54.3,6.7
E493782,8.07,19,69.2,45.2
5099-299-2159,,5,18.5,24.9
CS1708I-AT-E,3.83,54,11.6,23.3
C11CJ66404,6.08,44,41,23.5
XG309CM,11.2,22.6,94,41.2
CS1922M-AT-E,1.84,28.3,10,17.3
21Y56AA#ABU,16.7,23.49,80.94,51.8
90RC00F2-M0UAY2,2.71,23.2,46.4,13.8
5TW10ET,1.49,15.6,19.2,16.5
C13S050691,0,19,12,12
DCP1610WZU1,9,43.6,48.1,40.6
20797-999-999,,13.7,11.5,4.1
CF400XD,1.54,20.4,36.3,11.1
FLP-B4-PL2-MG,3.4,30.3,60,10
C31CE94115,1.96,24,19.5,23.5
X49C1,0.32,12.7,30.1,4.7
C12C811141,0,29.5,5.5,15.5
9H.LKRLB.QBE,9.7,,,
CS1782A-AT-E,2.12,32.5,9.8,21
TF4339MSC-B1AG,,20,107,70
C31CJ57112,2.7,23.5,19.5,26
HDMI-SPLITTER-44K60S,0.5,15,21.3,5.5
ADS4300NZU1,3.32,32,39.1,24.3
6S6R6EA#ABU,,44.9,6.9,30.5
CM992A,0.63,11.4,17.4,5.3
CS1844-AT-E,4.35,54,11.6,23.3
CF452A,1.47,16.3,37.8,19.2
VFM-W6X4,4.2,4,68,23.5
90LJ00E5-B00070,1.3,,,
P1B10A,25.2,74.5,79.4,61.5
CF380XD,1.8,21.8,38.5,12.5
W1Y45A,22.1,37.9,49.7,58.3
ADS4100ZU1,3.31,24.3,39.1,32
4B5Z5AA#ABU,1.4,140,,
C9466A,1.09,12,32.4,6.4
90IG05Q0-BM9100,1.7,31.7,36.5,9.9
5093-299-2159,,5,18.5,24.9
6N4D6E9#ABU,11.8,22.7,71.4,60.34
FLP-W4-PD3-MD,3.04,30.3,60,10
W2123A,1.16,14.7,39.5,16.1
FLX-W4-A62-MX,2.66,30.5,54.3,6.7
9VH72AT#ABB,7.7,20.07,48.87,48.06
20797-989-989,,20.8,11.5,4.1
CF362A,1.16,14.7,39.5,16.1
W2120X,1.27,14.7,39.5,16.1
22A56B#687,11,32.5,49.7,40.9
FLP-B4-SG-MX,3.27,30.3,60,10
64W18AA#ABU,5.49,18.05,53.89,39.78
CF226A,1,10.2,36.2,19.8
FLX-B1-PD3-MD,2.43,30.5,54.3,6.7
CE400A,1.74,16.4,39,20.6
FLP-B4-GT4-MX,3.04,30.3,60,10
FLX-W4-GT4-MX,2.66,30.5,54.3,6.7
C13S042137,9.6,159,11.5,11
CF373AM,2.4,30,36.5,11
4H293EA#ABU,1.58,48.3,6.9,30.5
90LM05M1-B01370,6.4,16.8,61,49.4
CE247A,3,19,48.3,27.6
C11CA92001A0,15.5,75,52,29.5
FLP-W1-TA1-MD,3.04,30.3,60,10
TN3390,1.33,,,
C12C811401,0,40.9,21.6,19.1
W1A56A#B19,10.5,27.4,44.3,46.4
AR8765,11.8,116.8,33,27.2
OL1500HV-AT-G,20.9,43.8,8.8,41
F9K17A,0.51,4.1,28.3,11.8
FLX-B4-PM1-MD,2.43,30.5,54.3,6.7
FLP-B4-PD3-MD,3.04,30.3,60,10
6Q8C2ES#ABU,,48.3,6.9,30.5
CS1708A-AT-E,3.85,54,11.6,23.3
FLX-W4-TS2-MD,2.43,30.5,54.3,6.7
DP.BKCWW.P02,,28.8,45.5,40
CF371AM,2.4,30,36.5,11
DELL-S2722DZ,9.46,81.99,13.99,44.7
PE0224SG-AT-G,2.81,117.7,14.5,16.6
90IG07Q0-MU9100,1,32.6,43.3,7.3
PE0316SG-AT,3.53,106.1,14.5,16.6
38237,0.91,18.3,27.7,6.8
C31CK03102MK,15,44,40,42.5
F9K01A,0.51,4.1,28.3,11.8
6GX01E#B19,12.4,37.9,49.7,40.9
FLX-B4-A62-MX,2.66,30.5,54.3,6.7
3869C003,145,98.4,159.3,116.8
6T1B3EA#ABU,,55.2,6.9,34.5
2H2N1B#629,8.66,25.4,57,46.4
P2V79A,0.51,4.1,28.3,11.8
PA348CGV,17,30,93,48.8
20X22AA,0.34,25.1,65.3,21
CS1788-AT-E,4.48,54,13.1,23.3
FLX-W4-SP6-MG,3.05,30.5,54.3,6.7
DELL-U3223QZ,16.1,,,
SHINE 800 PRO,1.85,49.2,17.5,21.7
W1B44A,3.12,36.35,51.75,22.54
FLP-B4-PM2-MX,3.27,30.3,60,10
952-000038,0.37,12.5,4.8,12.5
G3Q75A#B19,13.2,39.2,49,49
ER7SIDE4212,,103.5,12.8,119
6T1G4EA#ABU,,44.9,6.9,30.5
C2422HE,8.82,,,
DELL-E2724HS,7.73,,,
FLX-W1-PD6-MD,2.43,30.5,54.3,6.7
55UR91006LA.AEK,23.7,18.7,136,81
5HB10A#B19,56,57.5,147,59
TF2234MC-B7AGB,6.8,16,61,40.5
229W7B#629,10.4,29.8,50.6,40.8
PE6108G-ATA-G,4,49.9,11.6,32.4
AR8101BLK,3.42,36.8,59.7,3.8
FLX-B1-M4-MN,2.25,30.5,54.3,6.7
90MB1BA0-M0EAY0,2.55,27.3,33.8,68
CL5708IM-ATA-EE,16.7,71.8,66.8,13.5
P2418HZ,8.25,,,
9H.F84TK.DE1,87,25,216,134
CF287AS,1.35,10.2,36.2,22.7
90MB1BM0-M0EAY0,,26.5,28,71
G34WQC A,12.1,56.3,93.8,27.2
G513RM-HQ071W,5.13,46.5,9,33.5
T0B29A,0.4,5.21,22,4.8
FLP-B4-PD4-MD,3.04,30.3,60,10
6S708EA#ABU,,52,6.9,34.5
5F078EA#ABU,11.3,47.8,29.9,51.7
CE611-AT-E,1.18,28.3,10,17.3
FHA-TV-WALL-MOUNT,6.1,44,58.5,9.5
4ZB95A#B19,12.5,41.3,47.1,30.5
E989314,31.5,32.5,151.5,37
FLP-W4-AR2-MD,3.04,30.3,60,10
F9J79A,0.49,4.1,28.3,11.8
FLP-B4-AR1-MD,3.04,30.3,60,10
FLP-B4-M4-MN,2.86,30.3,60,10
FLP-B4-TE1-MD,3.04,30.3,60,10
C11CE42301A2,214,198,82,148
5093-299-2219,,5,18.5,24.9
SV162A,2.83,23.6,40.8,13.9
TF3239MSC-W1AG,17.2,90,18.7,59
86UQ801C0LB.AEK,58.1,22.8,211.5,121.5
F9A29D#B19,65.7,57.5,157.8,64.6
EMIH02,3.8,,,
FA507RM-HQ019W,4.18,42.6,10.3,31.2
FLP-W4-M4-MN,2.86,30.3,60,10
B6Y07A,1.09,12,32.4,6.4
4099-410-299,,5,18.5,24.9
587NR,3.3,49.1,9,33.4
6593-829-409,0.28,21,18.1,5.3
FLX-W1-PD5-MD,2.43,30.5,54.3,6.7
ST124HDMI2,2,21.4,41.1,9
FLP-W1-TE1-MD,3.04,30.3,60,10
F2A73A,20.9,70.2,72.7,46.1
C11CJ63405,7.75,44.5,41.5,27.5
CF361A,1.16,14.7,39.5,16.1
1C4Z7AT#ABU,9.1,20.5,61.23,53.04
TF5539UHSC-B1AG,46.5,24.5,140,93
E125897,5.8,18.2,62.2,46.6
Q2612AD,1.8,21,35.7,13.4
64W41AA#ABU,8.03,20.23,61.1,50.97
SBWD960AEU,0.64,22.86,20.32,6.6
4KW32ET,,49.9,39.9,23
27599-999-899,,7.5,19.9,23.8
G3Q47A#B19,9.2,27.8,43.8,46.6
4099-419-299,,5,18.5,24.9
F2A72A,8.86,28.4,49.7,46.6
F9J80A,0.49,4.1,28.3,11.8
818G6EA#ABU,,44.9,6.9,30.5
G27FC A-EK,8.9,24.8,70,48.1
CL5708N-ATA-EE,17,83.3,66.8,13.5
FLX-B4-PM2-MX,2.66,30.5,54.3,6.7
C13S042138,9.6,159,11.5,11
491C7AA#ABU,0.77,22.3,16.1,5.15
VM8584K1-AT,1.14,42.6,28.5,5.7
90MB1B90-M0EAY0,,7.7,34.3,27.1
TF4939UHSC-B1AG,36.7,24.5,128,83.5
CE271A,2.62,18.8,49.2,22.5
KA8280-AX-E,1.45,32.5,9.8,21
FLX-W4-PD5-MD,2.43,30.5,54.3,6.7
FLP-B1-PD3-MD,3.04,30.3,60,10
XXJT5,5.24,13.8,45.57,32.65
QE65Q60CAUXXU,28.3,16.4,161.2,95
818G7EA#ABU,,44.9,6.9,30.5
27599-999-989,,7.5,19.9,23.8
CE278AD,1.58,22.6,37.5,12.5
MFCL2710DWZU1,14.7,58,51.7,43.4
W2011A,1.84,15.5,48.3,19.8
CB380A,1.55,13,58.4,19.5
90MB1CQ0-M0EAY0,2.14,7,34,27.5
FLX-W1-AR2-MD,2.43,30.5,54.3,6.7
W1A80A#B19,26.8,49.7,59.7,49
C9733A,2.9,16,50,26.5
FX506HE-HN011W,3.29,42.6,10.3,31.2
G24F 2-UK,7.83,14.8,75.5,47
ACF502,12.5,99.1,74.9,15.2
5F0N7EA#ABU,5,38.4,10,30.8
LH7554UHS-B1AG,42,,,
U2422HE,8.3,,,
UM.KX2EE.F02,7.93,19.8,62,52.2
CF289A,1.12,10.2,36.2,19.8
FS-B1-PM2-MX,14.2,32,114,15
C31CH63512,5.04,41,39,24.5
L0R10A,0.26,3.5,21.5,4.7
55036454,0.18,10,10,4.5
1VD88A#B19,128,77,195.5,71
6PA56A4#ABU,12.9,21.56,61.36,52.59
SV096A,1.99,31.7,37.2,19.2
952-000010,2.6,26.6,24.3,11.5
90RC00D1-M0UAY0,1.78,19.9,30.9,13.8
P2V70A,0.51,4.1,28.3,11.8
C13S042133,15.2,161,17,17
CM3000DVA-HT0026,1.84,38.2,7.3,22.4
CZ993A#BHC,3.6,11.9,49.5,24.3
CF280XD,2.6,22.7,34.4,22.8
D7H14A,19.2,50.3,60,67.1
FLP-B1-A62-MX,3.27,30.3,60,10
6A7H7EA#ABU,7.25,20.5,39.4,49.9
GA402NV-N2030W,2.86,46.5,9,33.5
647V0EA#ABU,3.71,55.2,6.9,34.5
SRTGRK1,3.4,52.5,9.1,9.1
CM1284-AT-E,4.26,54,13.1,23.3
E392977,7.75,28.5,46.3,44.8
9H.LKJLB.QBE,12.7,,,
5578-230-110,0.14,9.3,14.1,4.3
FLP-B4-PM1-MD,3.04,30.3,60,10
6Q947ES#ABU,,48.3,6.9,30.5
B6Y10A,1.09,12,32.4,6.4
9GC16AA,0.98,41.9,7.62,18.74
PE0116SG-AT-G,2.29,81,20.7,16.6
4H2A4EA#ABU,1.71,48.3,6.9,30.5
L0R09A,0.27,3.5,21.5,4.7
CF440AM,2.7,32.7,38.5,12.5
CN632A,0.5,4.1,28.3,11.8
7KW56A#B19,19.5,39.8,49.7,46.6
C3875A,4.21,,,
DR3200,1.14,,,
FLX-B4-M3-MN,2.25,30.5,54.3,6.7
F9A30D#B19,80.7,57,157.8,64.5
VM8604-AT,0.97,42.6,28.5,5.7
7ZU85A#B19,44.7,60,75.5,65
FX506HF-HN001W,4.2,42.6,10.3,31.2
DELL-P2723DE,9.78,,,
C13S042105,3.61,67,50,2
FLX-B1-AR2-MD,2.43,30.5,54.3,6.7
W1A53A#B19,10.5,27.4,44.3,46.4
W2012A,1.84,15.5,48.3,19.8
90YE00L2-B0NA00,4.07,24,37.8,13
609945-001,0.04,16.6,16,7.4
90MB1CV0-M0EAY0,1.58,27.3,33.8,6.8
7KW64A,17.4,29.8,49.8,51
90LM05L1-B03370,10.8,21.6,73.5,46.4
FLX-B1-AR1-MD,2.43,30.5,54.3,6.7
C11CE40301A1,199,204,83,109
3G652E#B19,9.8,27.8,43.8,46.6
XUB2492HSU-W5,6.7,16.2,62,41.5
VG249Q1A,5.6,16.4,60,45.5
W2032X,0.9,10.9,36.3,12.3
QE50Q60CAUXXU,15.9,13.1,124.6,76.1
Q3985A,5,30.8,66.1,32.4
100-99180000-60,0.16,13.2,4,11.2
1FH51AT#ABB,11.2,21.4,61,38.4
90MB1B20-M0EAYC,,18.2,22.6,6
CE770-AT-E,1.85,32.5,9.8,21
B-ELPLP96,0.07,16,14.5,13.5
6B8Y1AA,0.93,13.5,29,43.2
UC3022-AT-E,1.64,26.5,9.5,22
EMIB08,5.88,,,
W2122A,1.16,14.7,39.5,16.1
90RC00J2-M0UAY0,2.52,24,30.6,13
B11B249401PU,0,39.5,24,24.5
43UQ75006LF.AEK,10.2,15.2,106,66
CE516A,5,49.6,59.6,23.4
PA32DC,19.9,29.8,87.8,61.6
CF410XD,1.9,24.2,36.3,12.3
90MB1DZ0-M0EAY0,1.18,26.6,33.1,7.6
90YV0IZ1-M0NA00,1.73,22.6,42,8.7
PA247CV,8.3,45,63.2,21.6
90YH02W5-B2UA00,1.03,11.4,20.8,24
8PE64AA,0.09,15.8,2.5,23.3
FLX-B4-TA4-MX,2.66,30.5,54.3,6.7
FPWARTS1,14.2,74,54.6,9.5
M0H91A,0.68,20.1,26.4,11.6
B11B240401BU,30,78,61.5,53
KD55X85KU,24,16,134.8,84.2
EA1540,1.25,11,8.5,4.5
CS1824-AT-E,2.54,32.5,9.8,21
FLP-B4-TA4-MX,3.27,30.3,60,10
90MB1CN0-M0EAY0,,29.3,36.8,29
C11CG68401PX,138.5,80,70,220
C31CJ57132,2.22,23.5,19.5,26
P2V78A,0.51,4.1,28.3,11.8
CF031A,1.84,16.4,39,21.4
CE505X?KITOF3,1.3,11.3,34,22.5
XG7QBK,2.7,14.5,32,14.3
6F235EA#ABU,,44.9,6.9,30.5
FLP-B1-TA1-MD,3.04,30.3,60,10
SU559A,1.95,27.6,42.3,15
90YV0GB7-M0NA00,0.9,22,30.3,5.5
CD8069504394701,,11.6,4.4,10.1
CE341A,2.72,18.8,49.2,22.5
V11H956640,13.3,59,53.2,34.4
QE55QN95BATXXU,33.2,17.9,142.7,84.3
PHD20-2261-01,0.25,8.6,17,4
PG48UQ,20,18,123,88
C11CE42301A0,192.4,205,81.5,108
FLX-W1-M3-MN,2.25,30.5,54.3,6.7
CS1924-AT-E,2.54,32.5,9.8,21
FLP-W4-SP6-MG,3.4,30.3,60,10
DCPJ1140DWZU1,8.6,22.8,47.7,45.7
F9J77A,0.49,4.1,28.3,11.8
FLX-B1-TE1-MD,2.43,30.5,54.3,6.7
61U3100000AC,0.62,13.8,13.8,14.9
VM8514-AT,1.02,42.6,28.5,5.7
7899-829-209,0.65,5.7,23.2,21.5
DN-81623,0.15,26,26,
CE250XD,3.5,32.6,39.4,21.1
981-000883,0.64,21.4,10.5,21
HW-Q600B-XU,12,25.5,108.6,46
Q5951A,2.2,14.8,40,26.8
EWS377-FIT,1.07,24.5,24.5,8.5
48S01EA#ABU,,48.3,6.9,30.5
4D22M,0.56,40,32,6
90YV0IZ2-M0NA00,1.73,8.85,40.5,23.3
6599-833-399,,18.5,9.6,21.2
VA27ECPSN,8.52,17,68,47.5
W1470X,2.71,18,38,28.7
CS1716I-AT-E,3.98,54,11.6,23.3
C31CJ57131,2.25,23.5,19.5,26
90MB1CK0-M0EAY0,1.58,27.3,33.8,6.8
KE6922R-AX,1.75,41.4,20.7,11.7
US3310-AT,0.63,15.5,5.5,22.3
UE65CU8000KXXU,28.4,16.4,161.2,95
90MB1BV0-M0EAY0,1.9,6.8,33.8,27.3
GE289,1.2,24,32,7
TC3-AMP,1.1,,,
SRW6UDP,20,76.2,68.58,50.8
CL6708MW-ATA-EE,16.5,82.5,66,13.5
FLX-W4-M4-MN,2.25,30.5,54.3,6.7
27599-989-999,,7.5,19.9,23.8
CS1744,,10.16,34.29,20.96
SU382A,3.77,27.3,36.1,19.3
90SB0A70-M0UAY0,1.1,,,
B11B204231BY,34.6,88,75,55
FLX-B1-TA2-MX,2.66,30.5,54.3,6.7
VK330-AT,0.81,33,25,5.7
US3342-AT,0.55,15.5,5.5,22.3
FLP-B4-PD5-MD,3.04,30.3,60,10
PE0218SG-AT-G,2.02,69.6,12.3,15
CF473X,1.62,16.3,37.8,19.2
FLP-B4-AR2-MD,3.04,30.3,60,10
TP1401KA-EC081WS,3.4,45.2,7.3,27.2
DN-81625,0.17,26,26,
ECW336,1.13,24.5,24.5,8.5
UE43CU7100KXXU,11.8,14.3,108.1,67
W2000X,2,15.5,48.3,19.8
C4820A,0.17,3.6,11.4,26.4
20797-989-899,,13.7,11.5,4.1
C31CJ57111,2.7,23.5,19.5,26
W2003A,1.14,15.5,48.3,19.8
PE7108G-ATA-G,,49.9,11.6,32.4
SU945A,1.51,20.1,35,15.9
FLP-W4-TA4-MX,3.27,30.3,60,10
FLP-B4-M3-MN,2.86,30.3,60,10
UE55CU8000KXXU,22,14.8,139.9,84.6
WBEXTWAR1YR-SP-04,0.11,,31.5,24.1
5093-299-2119,,5,18.5,24.9
CS1734B-AT-E,2.09,28.3,10,17.3
SB-1900P,,15.5,105.5,10.5
CE018A,0.11,14.3,2.8,13.2
S0946420,11.5,48.5,39.5,35
9VH72AT,7.7,20.07,48.87,48.06
C1Q10A,0.45,29.8,14.9,9.3
4JXDM,,29,30,6.2
SMC1500I-2U,31.9,60.3,59.4,25.1
HLL5050DNU1,13,45,48.5,37.7
FLX-W1-SG-MX,2.66,30.5,54.3,6.7
9H.LKNLB.QBE,8.7,,,
C2H57A,5.2,24.5,59,33.2
DN-19 22U-6/8-1,65.2,85,65,
X670 GAMING X AX,2.47,27,33.5,8
FLX-B4-M4-MN,2.25,30.5,54.3,6.7
90MP02Y0-BMUA10,0.27,16,11,7.5
CL5800N-ATA-EE,18.2,83.3,66.8,13.5
T3V27A,11.3,66,75.3,25.6
DELL-P3223DE,15.3,,,
HLL9470CDNZU1,34.7,55.7,62.82,63.35
2Z606F#B19,10.5,27.4,44.3,46.4
AP8481,10.5,,,
90YV0ID0-M0NA00,3.65,22.6,42,12.6
DN-19 42U-6/10-1,120,105,65,
FLP-B4-TS2-MD,3.04,30.3,60,10
5X7H6EA#ABU,2.95,13.2,49.8,23.5
C31CH76102MK,27.6,70.5,52,49.5
