sku,weight (kg),depth (cm),width (cm),height (cm)
C11CF37402,8.91,54,45,28
C11CF39402A1,9.28,34,4,8
C11CF39403,8.91,53.4,44.6,28.1
C11CF39401,0.01,53.4,28.1,44.6
C11CF40403,12.2,73.5,45.1,29.5
B11B204131BY,18.5,84.4,63.5,36
B11B204331BY,35,87.5,74.5,53.4
C31C518052,5.04,37.5,24,25
C31C246012,7.4,40.7,33.2,28.5
C33S045701,31.9,62,52,23
C11CE21301,0.02,74.5,41,49
C11CE22301BX,0.03,79.6,39.6,52.3
C11CE20001A0,311.4,298.4,107.5,113.5
C11CE85301DA,16.1,72,53,35
C11CG43402,0.01,59.5,24,44.5
C31C514057A0,4.06,37.5,24,25
C31CD84312,43.5,79,57,53.5
C31CD84012,43.5,79,57,53.5
C31CC79421,1.56,23.8,19.7,17.9
C31C412465,2.8,25,19.3,24
C51CD69130,0,26.7,8.8,21
C31CE74101A0,1.67,23.5,19.5,17.5
C51CD06200,0,24.6,21,16
C51CD69200,0,26.5,21.3,8.4
C11CF12302A1,45.5,153,73,65.5
C11CF86301A1,114,151,82,113
C11CF85301A1,98.5,121,82.5,113
C11CC65011BY,16.1,53,52,45.5
B11B242401BY,1.94,38.5,14,12
C11CG02401,0.02,54.5,49,53.5
C11CE85301,0.02,72,35,53
C31CE14552A0,1.5,24,19.9,14.7
C31CE14552,1.47,24,19.9,14.7
C31CA85033A0,2.5,23.5,19,23
C31CA85050,1.98,23.1,19.5,23.6
C31CD70752,1.59,23.5,19,17.2
C31CD70321A0,1.68,23.9,19.6,17.3
C31CF69321,0.01,39,31.5,30
C31CF69301,0.01,39,30.5,29.7
C31CF70321,0.01,39,31,35.5
C31CE94121A0,2.62,24,19.5,23.5
C31CG62204,5.47,38.5,29.4,28.5
C31CG62111,6.25,38.5,29.5,29.4
C31CG62213,5.67,38.2,29.4,29.2
C31CG62214,5.64,38.2,29.7,29.4
C31CG62101,6.21,38.5,29.7,29.1
C31CG62203,5.52,38.2,29.3,28.7
C31CE95141,2.23,23.8,19.2,23.1
C31CE74122A0,1.57,23.5,19.7,18
C31CH51012,2.49,23.5,19.2,28
C31CH51012A0,2.2,33.5,19.2,28
C31C514007,3.82,32.5,30,21.5
C31C513057,4.3,37.5,24,25
C31C517007,4,40,25,24.2
C31C515052,3.86,37.5,24,25
C31CA85813,2.56,24.5,20,23
C31CA85052,2.02,24.2,19.3,23.6
C31C249012,7.42,40.7,33.2,28.5
C31C514007A0,3.99,37.5,24,25
C31C176252,6.42,42,35.5,32
C31C151283,7.2,42.5,36,33
C11CA13051,8.49,55,38,29
C13S045302,9,112,14,14
C31CA85032,2.56,24.2,19.3,23.6
C31C514057BD,4.8,37,23.5,29.3
C31C412412,2.8,25,19,24
C31C412652A0,3,25.5,19.5,24
C31CA85044A1,2.56,23.5,20,23.5
C31CD38972A0,2.86,25,19.4,25
C31CE95112,2.03,23.8,19.4,23.2
C31CE95121A0,2.4,23.5,19,23
C31CE95112A0,2.04,23.5,19,23
C31CD38025B2,2.76,25,19,23.5
C31CE94551,2.62,24,19.5,23.5
C31CE94102A0,2.66,23.5,19.5,23.5
C31CD70652A0,1.64,24,19.5,17.2
C31C514057BE,3.82,33,30,22
C31CD38024C0,2.88,25.1,18.9,23.8
C31CD38024C1,2.8,25,19,24
C31CD38025C0,2.86,25,19,23.5
C31CE94751,2.62,24,19.5,23.5
C31CE74112,1.61,23.7,19.7,17.9
B11B252402,0,33,6.5,14
B11B253402,0,33,6.7,14.1
B11B226401,0,36.5,28.5,25
40CC150,41.9,73.8,64.3,56.8
36S0208,15.8,47,43,37.6
36S0308,16,47,43,37.6
36S0508,18.1,47,43,42.2
50G0225,29.9,65,55,56.5
50G0945,29.9,65,55,56.5
36SC550,17.8,47,43,42.2
42C0093,23.9,49.5,,59.4
42CC173,23.8,59.5,49.5,40.2
40C9587,64,73.5,70,95.5
36S0908,26.6,60.5,55.2,68.2
42C7343,30.5,59.4,55.8,57
42CC593,31.2,59.4,55.8,57
40N9163,22.7,55.6,44,51.9
40N9153,22.7,55.6,44,51.9
C600V_N,33.8,63.4,58,60.7
P00930-B21,0.05,1.91,19.05,8.89
STDR5000203,0.41,14.6,10.5,4.3
STDR5000202,0.41,14.6,10.5,4.3
STHP5000403,12.2,5.75,4.17,1.77
STHN1000403,0.23,3.75,10.4,14.6
STHN2000405,0.23,3.75,10.4,14.6
STEB10000400,1.36,8.58,8.35,2.68
STEB8000402,1.36,21.8,21.2,6.8
STHB2000401,0.27,13.45,17.15,2.1
STCM1000400,0.19,10.45,14.7,3.25
STCM250400,0.19,10.45,14.7,3.25
STHH2000400,8.08,1.48,4.09,5.75
STHN2000401,0.23,3.75,10.4,14.6
STHH1000402,0.23,3.75,10.4,14.6
STHP5000402,12.2,5.75,4.17,1.77
STHN1000400,0.23,3.75,10.4,14.6
STHP5000400,12.2,5.75,4.17,1.77
STHN1000402,0.23,3.75,10.4,14.6
STHN2000400,7.94,5.75,4.09,1.48
STHH2000402,0.23,3.75,10.4,14.6
STHN2000402,7.94,1.48,4.09,5.75
STHP4000402,12.2,5.75,4.17,1.77
STEA5000402,11.1,1.7,4.17,5.86
ZP250CM3A001,0.06,13.42,10.9,2.4
STJD500400,0.13,2.95,10.45,14.6
STGH2000400,0.31,4.6,12,18.3
STEA2000417,10.2,1.54,5.41,7.32
ZA2000GM1A001,0.1,2.4,10.9,15.5
ZA500GM1A001,0.1,2.4,10.9,15.5
ZA4000GM1A001,0.1,2.4,10.9,15.5
STJP500400,0.2,14.7,10.45,3.25
STJL1000400,0.26,3.1,10.3,14
STJL4000400,0.33,3.95,10.3,14.2
STJL5000400,0.33,3.95,10.3,14.2
STJL2000400,0.26,3.1,10.3,14
ZA2000CM1A003,0.1,2.4,10.9,15.5
LX500,1.1,,,
AG156W9B,0.16,0.33,38.74,25.4
AG140W9B,0.15,0.33,38.74,25.4
ASDX64GUII3CL10-C,0.02,8,1.5,11.7
AT-X510-52GPX,8.2,,,
AT-FS980M/52,5.6,,,
AT-IE510-28GSX-80,6.8,,,
AR3150,168.2,,,
AR201,14,220,16,10
AR8567,1.52,30.6,43,3.7
AR4000MV,80,,,
AR7721,2.59,84.8,6.4,16.3
AR7723,2.95,111.3,6.4,16.3
AR8123BLK,17.7,8.9,83.8,81.3
AR8679,11.9,128.3,63.5,6.7
AR4000MV12U,1.3,,,
NBRK0250,2.39,,,
AP9505I,0.5,14,23.5,7.6
AR8429,0.38,3.8,59.4,9.9
AR8561,8.19,44,71,31.5
AR3140,168.2,,,
AR7706,1.06,24.1,16.5,5.1
AP7769,,9.9,56.2,5.5
AR3104,106.8,,,
AP7768,1.14,9.9,56.5,5.4
AR2400FP1,221.1,223,68.3,81
SRTRK3,4.2,21.6,28.5,11.8
SBPSU30K40HC1M1-WP,12.3,,,
AR3350,183.2,,,
AR100HD,52.3,,,
AR8122BLK,10.5,8.9,57.6,77.5
SURTRK,3.18,,,
AR4018IA,170,,,
AP9630,0.34,15.9,23.5,5.1
AR3300,149.1,,,
AR8132A,0.34,,,
AR8166ABLK,1.82,8.9,52.7,8.9
AR7600,0.45,,,
AR2400,131.5,116,74,218.1
NBES0303,0.49,16.4,23.2,16.4
SRTRK1,3.64,5.59,27.4,2.8
AR7502,7.75,14,21.6,223.5
SYBFXR3RMI,30.9,,,
AR8105BLK,4.27,44.5,57.2,10.2
AR8571,9.89,44,86,31.5
AP5717,19.5,,,
AR203A,40.8,11.3,25.4,208.3
PNOTEPROC6-EC,,,15.8,6.9
APCRBC136,3.75,22.9,22.9,22.9
AR8136BLK,1.64,24.9,52.6,10.5
AR3100,144.6,115.6,75.2,211.8
AR8442,2.09,14,6.4,83.2
AR8008BLK,1.41,52.7,8.9,8.9
AR8775,22.1,116.8,33,43.9
AR7313,25,17.2,117.8,91.4
AR8602A,1.1,52.6,15.7,9.4
AP4423,5.51,,,
