sku,weight (kg),depth (cm),width (cm),height (cm)
81JW0001US,1.47,23.23,32.57,2.08
NX.C5TEK.001,1.5,22.9,32.67,1.79
62VTM,1.32,20.7,29.7,1.43
VG279Q1R,6.1,18.3,62.9,49.9
U280-032-RMINT,5.94,30.18,43.94,8.66
Q2078W,0.28,11.1,11.3,2.1
TS-451DEU-2G/48TB-IW,5.79,29.5,43,4.4
RB953GS-5HNT-RP,,10.5,18.3,2.4
1102TT3NL0,14.6,41.6,39,30.8
PSU 500W_3,1.13,11,17.1,6
6598-832-209,,12.4,5.5,18.65
5PX2200IRTN,28.5,52.2,44.1,8.62
P21143-B21,0.68,,,
C11CG37411,22.2,45.2,56.7,41.8
B535-232,0.33,13.8,21.9,2.56
MZ-77E1T0B/EU,0.09,7,10,0.7
9S7-154322-251,2.38,26.7,35.8,2.34
PY47F,4.7,31.91,40.26,
SDSSDE60-1T00-G25,0.11,3.25,10.16,15.24
DX1215II,9.02,34,30,27
JL254A-REF,3.1,24.63,44.25,4.39
AP4423A,,23.6,43.2,4.4
P14608-B21,0.15,6.55,4.34,7.37
871244-B21B,1.3,39,28,11
E510MA-BR847WS,2.57,46,6.5,29
90YV0ID1-M0NA00,3.65,22.6,42,12.6
GV-N4080AORUSX W-16GD,,23.6,14.6,4
1626012,0.83,15,11.3,11
RE700X,,3.6,7.8,14.9
S10-04G0050-EC4,0.21,10.5,15.6,6.25
UVC-G4 DOORBELL PRO POE KIT,0.26,16.06,5.17,3.51
214573-01,0.16,17.7,14.2,5.5
40971,2.5,12.5,22,45
32121,0.31,5.5,18.5,14
P2662,0.06,1.2,10.8,19.5
520-10704-EU,,5.59,33.53,4.06
S37-0400020-SV1,0.7,8,17,20
CS-1900,4,26.5,26.7,22.5
70437,0.29,12,15.5,6
TS-DP110M-32G,0.07,3.25,6.31,7.02
980-001301,8.99,42.6,36.2,27.8
VM-FAN556,3.27,57.5,45.3,13
9894858,0.21,5.2,16.2,9.8
GSR212,0.09,19.69,38.74,19.69
UACC-READER-PRO-AM-W,0.04,3.11,4.04,16
CUBI NUC 1M I7 150U BB,0,22,20.5,9.4
WS-EUK04,,3.75,8.6,8.58
TW1025LASC-B1PNR,1.1,2.8,25.95,17.85
XO2TBK.CEUSLLK,1.5,16.5,16.5,28.2
UC SPK01M,0.39,,,
2135,23,167,50.5,13
61U6300000AC,7.18,38.9,39.2,23.9
MXE03B/A,1.55,22.12,31.26,1.55
Q2G-H4K2,0.49,18.11,13.97,3.18
NP964QGK-KG1UK,1.66,25.22,35.54,1.28
G35CA-1370KF061W,15,43.3,27.9,50.1
9S7-182272-062,3.6,30.75,40.4,3.2
9S7-17S151-647,3.1,11.9,46.1,37.6
FA607PI-QT008W,2.27,25.2,35.5,
82WS003FUK,2.8,26.36,36.34,
G634JZR-N4086W,2.55,26.4,35.4,
NH.QP5EK.003,3.25,31.16,40.4,2.89
NH.QLZEK.00F,4.05,54.3,8,34.1
LU-WD-016-23-EF,0.08,,,
RRS-00150,3.3,36,29.2,27.5
21FE000XUK,2.2,26.2,36.5,2.47
EI-T5600BWEGEU,0.01,5.24,2.88,0.8
ET-L2ZAE-HG,22.7,75.46,45,8.9
EX-6002,0.6,,,
JL683B#ABB,3.49,26.47,44.25,4.39
GV-N408SAORUSX ICE-16GD,3.23,50.85,32,12.75
LVT-SC-R,0,0.5,1,0.5
43387,0.06,5,10,1.64
TBLT4MM50CM,0.02,22,12.8,2
064AOTHERB66,0.03,,,
SPE-1630,2.32,32,37,4.4
952-000123,0.51,28.16,15.22,8.76
LFH0005/60,0.02,,,
DS21,0.23,2.8,5.2,9.5
AN-25178,,,7.5,19
AP-BOOMA-B1,1.18,5.75,9.65,
LVT551520,1.9,,,
VR-3,0.94,30,20,17
Q2013A,0.11,,28.45,22.61
WDBAWY5000ABK-WESN,0.08,10.7,5.08,1.3
SP.72801GC01,0.99,,,
DN-94004,0.59,,12,29
ASK-HT-S144H,0.18,2,10.5,26.5
XMW-553516G1-W6W,,35,21,41
QAU-00104,0.49,17.6,17.8,7.4
P51932-421,,75.31,43.46,4.29
CW45-STRAP-S,,,26.6,
GV-N507TWF3OC-16GD,3,39.8,23,8.5
GV-N710D5-2GL,,6.9,,1.5
GV-N407TSAI TOP-16GD,1.68,32.2,21.4,7.5
GV-N1030D4-2GL,,1.47,,6.89
GP-UD850GM PG5,,14,15,8.5
GV-N406TWF2OC-8GD,,4.1,,12
GV-N5080AORUS M-16GD,3,45.3,24.5,16
GV-R76GAMING OC-8GD,,5,,11.5
VCG508016TFXPB1-O,,10.29,40.49,19.89
