sku,weight (kg),depth (cm),width (cm),height (cm)
BRACKET25SAT,0.12,22.5,12.5,2
EOC1110K,1.57,19.5,23.8,16.4
RS232EXTC1GB,1,31.5,5.7,13.8
POEEXT2GAT,0.24,14,7.7,2.7
USB110EXT2,0.17,12.8,12.8,6
POEEXT1GAT,0.34,20.5,13.5,7
POEINJ4G,1.63,30.5,18,9
UPOESPLT1G,1.86,28.4,33.4,7
MCMGBSCSM10,0.56,28.5,13.8,6.6
MCM110SC2GB,0.28,17.5,14.5,6.5
ET91000SC2,0.77,13.8,20.5,8.9
MCM1110SFP,0.54,13.9,28.4,6.8
MCM10GSFP,0.35,20.7,14.4,3.8
ET91000LC2,0.77,13.8,20.6,8.9
ET91000SM10,0.77,13.6,20.6,9
ET90110ST2,0.76,13.7,20.7,9
ET91000LCOAM,0.79,20.6,13.6,9.2
ET90110WDM2,1.36,27.9,21.1,10.1
MCM1110MMLC,0.56,28.4,14,6.8
ET90110SM302,0.77,13.7,20.6,8.9
ET10GSFP,0.68,15.2,9.7,4.5
MCMGBSCMM055,0.56,13.3,28,6.6
MCM110ST2GB,0.28,17.5,14.5,6.5
ET90110SC2,0.78,23.3,19,7.7
ET1000S40LC2,0.75,13.8,20.5,8.9
ET91000SM402,0.7,20.5,14,9.1
ET91000SFP2,0.79,20.8,13.7,9.2
ET91000SM20,0.78,20.7,13.7,9
IES51000,0.52,17.6,13.9,8.3
IES101002SFP,2.2,46.5,20.9,6.7
IES101G2SFPW,0.63,17.8,13.9,3
IES5102,0.31,19.8,17.8,7.9
IES81GPOEW,0.93,3,17.3,9.2
IES51000POE,0.37,13,9,2.8
IES61002POE,0.83,6.3,10.6,13.5
DS51002GB,0.12,18,12,
IES81000POE,1.75,37.1,19.7,6.9
IES81GW,0.96,30,17,9
IES101GP2SFW,0.93,30,17,9
455883B21ST,0.05,12.1,7.5,3.2
SFP1000ZXST,0.05,12,9,3
SFP1000TXST,0.05,12,9,3
SFP10GBZRST,0.05,11.5,9,3
SFP100BLXST,0.1,11.7,9.2,3.3
SFP100BBXUST,0.05,11.7,9.2,3
EW3B0000710-ST,0.02,1.39,5.84,1.37
EW3Z0000586-ST,0.02,1.39,5.84,1.37
10065-ST,0.02,1.37,6.8,1.38
SFPFE20KT3R5,0.07,6.5,1.4,1.2
XBR-000182-ST,0.02,1.39,5.84,1.37
3CSFP91ST,0.04,10.2,9.3,3.2
SFP1000BXUST,0.05,11.6,9.2,3.4
10052-ST,0.02,1.37,5.66,1.25
10057-ST,0.02,1.37,5.66,1.25
AR-SFP-1G-LX-ST,0.05,11.5,9,3.1
AR-SFP-1G-SX-ST,0.05,11.5,9,3.1
AR-SFP-10G-LR-ST,0.05,11.5,9,3.1
J9153D-ST,0.02,1.39,5.84,1.37
QSFP40GESR4E,0.06,20.5,12,35
SFP-10GBASE-LR-ST,0.02,1.39,5.84,1.37
SFP1GSXEMCST,0.03,1.39,5.84,1.26
SFP1GBX10UES,0.05,11.5,9,3.1
SFP10GSREMST,0.05,11.5,9,3.1
10G-SFPP-BXD-ST,0.02,1.39,5.84,1.26
40G-QSFP-LR4-ST,0.05,1.83,12.2,0.85
44W4408-ST,0.05,11.5,9,3.1
SFP1FEFXST,0.07,6.5,1.4,1.2
XG-LR-ST,0.02,1.39,5.84,1.37
SFP1GEFEETST,0.08,23,20.7,1.5
J4859CST,0.05,9.3,11.8,3.2
JD089BST,0.05,9.3,11.9,3.5
SFP100BZXST,0.05,11.8,9.5,3.4
SFP10GBLRST,0.05,11.5,9,3
SFP1000EXST,0.05,11.6,9.2,3.2
JD094B-BX40-D-ST,0.02,1.39,5.84,1.26
SFP1GBX40DES,0.05,11.5,9,3.1
10301-ST,0.05,11.5,9,3.1
10G-SFPP-LR-ST,0.02,1.39,5.84,1.37
CTPSFP1GETST,0.08,23,20.7,1.5
EW3A0000712-ST,0.05,11.5,9,3.1
SFPGE10KT5R3,0.07,6.5,1.4,1.2
SFPP10GELRMS,0.07,6.5,1.4,1.2
RX550MSFPST,0.08,23,20.7,1.5
RXFXSMSFPST,0.07,6.5,1.4,1.2
453154B21ST,0.06,12.2,7.5,3.3
SFP1000LHST,0.05,11.7,9.2,3.4
SFP1000LXST,0.05,11.7,9.2,3.3
10056H-ST,0.02,1.37,5.66,1.25
EW3A0000711-ST,0.02,1.39,5.84,1.37
EW3P0000558-ST,0.02,1.39,5.84,1.37
JD094B-BX-D-ST,0.02,1.39,5.84,1.26
JD092A-ST,0.02,1.39,5.84,1.37
SFP1GZXEMCST,0.05,11.5,9,3.1
10301-T-ST,0.05,11.5,9,3.1
SFPGE10KT4R3,0.08,23,20.7,1.5
SFPGE10KT3R5,0.08,23,20.7,1.5
XBR-000180-ST,0.05,11.5,9,3.1
SFP-10GB-BX-U-20-ST,0.02,1.39,5.84,1.26
JD094BST,0.02,5.84,1.39,1.26
SFP1000SXST,0.05,12,9,3
SFP1000BXDST,0.05,11.6,9.2,3.4
0231A0A6-ST,0.05,11.5,9,3.1
10057H-ST,0.05,11.5,9,3.1
AR-SFP-1G-LH-ST,0.02,1.37,5.66,1.25
AR-SFP-10G-SRL-ST,0.05,11.5,9,3.1
J9151D-ST,0.05,11.5,9,3.1
J9151E-ST,0.05,11.5,9,3.1
SFP-10GB-BX-D-20-ST,0.02,1.39,5.84,1.26
SFP-10GBASE-SR-ST,0.05,11.5,9,3.1
SFP10GLREMST,0.03,1.39,5.84,1.26
57-0000075-01-ST,0.05,11.5,9,3.1
J9151A-ST,0.05,11.5,9,3.1
J8177CST,0.05,9.2,11.8,3.4
J4858CST,0.05,9.3,11.9,3.3
EXSFP10GESRS,0.02,5.84,1.39,1.26
JD118BST,0.05,9.3,11.8,3.2
SFP100BFXST,0.05,12,9,3
SFP10GBSRST,0.05,11.5,9,3
SFP10GBTST,0.06,12,7.4,3
QSFP40LR4ST,0.04,7.2,1.84,1.3
0231A0A8-ST,0.02,1.39,5.84,1.37
EW3Z0000585-ST,0.02,1.39,5.84,1.37
EW3P0000557-ST,0.05,11.5,9,3.1
JD094B-BX-U-ST,0.02,1.39,5.84,1.26
JD094A-ST,0.02,1.39,5.84,1.37
10303-ST,0.02,1.39,5.84,1.37
10G-SFPP-LRM-ST,0.02,1.39,5.84,1.37
J9151A-BX-U-ST,0.02,1.39,5.84,1.26
LX-ST,0.05,11.5,9,3.1
PLUS-LR-ST,0.05,11.5,9,3.1
PLUS-SR-ST,0.05,11.5,9,3.1
SFPGE40KT5R3,0.08,23,20.7,1.5
SFPGE10KT3R4,0.07,6.5,1.4,1.2
SFPP10GELRST,0.07,6.5,1.4,1.2
SX-ST,0.02,1.39,5.84,1.37
GLCTEST,0.05,11.5,9,3.1
EXSFP1GESXST,0.04,9.1,11.8,3.3
SFP10GBLRMST,0.05,12,9,3
813874B21ST,0.06,6.98,1.34,1.38
10070H-ST,0.02,1.37,6.8,1.38
10051-ST,0.02,1.37,5.66,1.25
AR-SFP-1G-T-ST,0.02,1.37,6.8,1.38
EW3A0000710-ST,0.05,11.5,9,3.1
J9151A-BX-D-ST,0.02,1.39,5.84,1.26
QSFP40GSR4ES,0.04,1.39,5.84,1.26
SFP1GBX10DES,0.05,11.5,9,3.1
SFP1GLXEMCST,0.05,11.5,9,3.1
CG-ST,0.02,1.4,6.8,1.38
RX10KMSFPST,0.08,23,20.7,1.5
SFP1GELHST,0.08,23,20.7,1.5
SFPFE20KT5R3,0.07,6.5,1.4,1.2
XG-SR-ST,0.05,11.5,9,3.1
SFPSXMM,0.04,11.5,2.5,6.5
AJ716BST,0.05,9.3,11.8,3.3
EXSFP10GELRS,0.05,9.3,11.9,3.4
10056-ST,0.05,11.5,9,3.1
AR-SFP-10G-SR-ST,0.02,1.39,5.84,1.26
EW3F0000710-ST,,1.39,5.84,1.37
SFP10GUSREMS,0.05,11.5,9,3.1
SFP1GBX40UES,0.05,11.5,9,3.1
10302-ST,0.05,11.5,9,3.1
SFPP10GESRST,0.08,23,20.7,1.5
RX70KMSFPST,0.07,6.5,1.4,1.2
N6PATCH75YL,0.97,25,3.52,32.4
M45PAT15MBK,0.58,33,25.5,3.2
N6PATC3MGR,0.14,22,20,1.7
N6PATC5MGR,0.21,22,20,3.3
N6PATC2MOR,0.09,22,20,2.9
45PAT1MGR,0.05,22,20,1.6
45PAT3MOR,0.12,22,20,1.8
N6SPAT2MBL,0.09,22,20,2.2
N6PATC10MYL,0.41,33,25.5,2.6
45PAT50CMWH,0.03,22,20,1.2
45PAT50CMRD,0.03,22,20,1.6
N6PATC50CMRD,0.04,22,20,1.3
45PAT10MPL,0.37,33,25.5,2
6ASPAT3MBK,0.14,22,20,1
SFP10GPC2M,0.1,20,21.8,0.4
QFXQSFPDAC3M,0.26,32.5,25,2
N6PAT200CMBKS,0.05,20,22,1
N6PAT200CMBLS,0.05,20,22,1
6ASPAT150CMGR,0.08,20,22,0.82
N6PATC750CMWH,0.33,20,22,4
N6PATC750CMPL,0.33,20,22,0.82
N6PATC50CMYL,0.04,22,20,1.4
45PAT10MBL,0.37,33,25.5,2
45PAT7MBK,0.26,33,25.5,2
6ASPAT1MBK,0.06,22,20,1
6ASPAT2MBK,0.1,22,20,1
WIR6CMRBK,14,45,45,21
JD096CST,0.08,23,20.7,1.5
QSFP40GPC05M,0.11,32.5,25,2.5
SFP10GPC5M,0.3,32.5,25,0.6
EXSFP10GEDA5,0.31,33,25,2.5
J9285BST,0.41,27,25,2.5
6ASPAT10MAQ,0.38,,,
6ASPAT7MGR,0.3,20,22,
N6PAT100CMGRS,0.03,20,22,1
N6PAT250CMGRS,0.06,20,22,1
6ASPAT750CMBK,0.3,20,22,0.82
N6PATC150CMGN,0.08,20,22,2
N6PATC150CMRD,0.08,20,22,0.82
N6PATC150CMOR,0.08,20,22,0.82
N6PATC750CMRD,0.33,20,22,4
6ASPAT5MAQ,0.21,20,22,
N6PATCH100GR,1.2,33,25.5,4.8
N6PATCH100RD,1.3,25.6,4.6,33
N6PATCH50WH,0.7,25,2.4,32.5
N6PATCH75BL,0.95,33,25.5,4.5
N6PATC15MGR,0.65,33,25.5,4
N6PATC50CMBL,0.04,22,20,1.5
N6PATC10MBK,0.4,33,25.5,3.4
N6PATC2MGN,0.09,22,20,1.3
N6PATC2MYL,0.09,22,20,1.8
N6PATC2MPL,0.09,22,20,1.4
45PAT2MGN,0.09,22,20,1.5
45PAT2MBK,0.12,22,20,1.4
N6PATC5MGN,0.21,22,20,2.7
45PAT1MWH,0.05,22.3,20,1
N6SPAT1MBL,0.06,22,20,1.5
N6PATC7MWH,0.29,22,20,3.4
45PAT5MBK,0.2,33,25.5,3.2
WIRC6PATGRRL,13.3,21.8,37.8,38.5
N6PATC2MBK,0.1,22,20,1.2
N6PATC7MBK,0.3,22,20,2.7
M45PAT15MWH,0.52,33,25.5,3.2
N6PATC3MBK,0.13,22,20,1.4
WIR5ECMRBK,8.9,,,
N6PATC3MRD,0.14,22.5,20,2.3
N6PATC3MGN,0.14,22,20,1.9
45PAT3MGR,0.12,22,20,1.3
45PAT1MBL,0.05,22,20,1.2
N6PATC10MGR,0.42,33,25.5,4.2
N6SPAT50CMGR,0.04,22,20,1
N6SPAT50CMBK,0.04,22,20,1.4
45PAT5MGR,0.19,33,25.5,2
45PAT50CMYL,0.03,22,20,1
45PAT50CMGN,0.03,22,20,1.6
45PAT5MRD,0.2,33,25.5,1.9
N6PATC5MYL,0.23,22,20,2.6
45PAT7MYL,0.26,33,25.5,2
45PAT7MOR,0.26,33,25.5,2
45PAT7MBL,0.26,33,25.5,2
6ASPAT2MAQ,0.09,22,20,2
N6PATC5MPL,0.22,22,20,1
JG081CST,0.31,27,25,2.5
QFXQSFPDAC1M,0.15,32.5,25,1.5
QSFP4SFPPC3M,0.47,32.5,24.5,3
N6PAT50CMGRS,0.02,20,22,1
N6PAT300CMBLS,0.06,20,22,1
N6PAT150CMBLS,0.04,20,22,1
6ASPAT150CMAQ,0.08,20,22,1.5
6ASPAT150CMBK,,150,1.16,0.82
M45PATCH10BL,0.12,22,20,1.5
N6PATCH100PL,1.3,25.6,4.6,33
N6PATCH100YL,1.3,25.6,4.6,33
N6PATCH75GR,0.77,25,3.52,32.4
N6PATCH75RD,0.97,25,3.52,32.4
N6PATC15MRD,0.6,33,25.5,7.2
N6PATC15MPL,0.6,33,25.5,3.8
N6PATC15MWH,0.65,33,25,4
N6PATC1MYL,0.06,22,20,1.3
N6PATC5MRD,0.21,22,20,3
N6PATC50CMGR,0.04,22,20,1
45PAT2MRD,0.09,22,20,1.3
45PAT2MBL,0.09,22,20,1.7
N6PATC10MGN,0.42,33,25.5,2.8
N6PATC7MYL,0.29,22,20,3
45PAT50CMBL,0.04,22,20,1.6
N6PATC50CMPL,0.04,22,20,1.4
45PAT10MYL,0.37,33,25.5,2
45PAT10MGR,0.36,33,25.5,2
6ASPAT50CMBL,0.04,22,20,1
6ASPAT3MAQ,0.14,22,20,2
6ASPAT50CMGR,0.04,22,20,1
6ASPAT50CMBK,0.04,22,20,1
SFP10GPC1M,0.08,22,20,0.4
J9283BST,0.13,23,20.7,2
N6PAT50CMBKS,0.01,20,22,1
N6PAT50CMBLS,0.02,20,22,1
N6PAT250CMBLS,0.06,20,22,1
6ASPAT5MBL,0.21,20,22,0
N6PATC150CMGR,0.08,20,22,2
N6PATC750CMGN,0.34,20,22,0.82
N6PATC750CMYL,0.33,20,22,1.4
N6PATC750CMBL,0.33,20,22,0.82
M45PATCH50BL,0.54,33.5,25,4.5
N6PATCH100GN,1.3,25.6,4.6,33
N6PATC15MGN,0.6,33,25.5,3.2
N6PATC50CMBK,0.04,22,20,1.2
N6PATC1MBK,0.1,22,20,1.2
N6PATC7MBL,0.3,22,20,3.5
C6ASPAT14GR,0.2,19.5,3,21
N6PATCH75WH,0.95,33,25.5,3.7
WIRC5ECMRGRY,9.7,35.5,35.5,21.5
N6PATC2MWH,0.1,22,20,1.7
45PAT1MGN,0.05,22,20,1.2
45PAT2MYL,0.09,22,20,1.2
45PAT3MRD,0.11,,,
N6PATC1MOR,0.06,22,20,1.4
45PAT1MYL,0.05,22,20,1.2
N6SPAT3MBK,0.09,22,20,2.5
N6PATC10MWH,0.4,33,25.5,2.9
45PAT5MBL,0.2,20.6,24.5,1.3
N6PATC50CMOR,0.04,22,20,4.5
6ASPAT1MAQ,0.06,22,20,1
JD095CST,0.05,23,20.7,1.5
EXSFP10GEDA3,0.14,23,20.7,2
QSFP4SFPPC2M,0.36,32.5,25,3
J9281BST,0.08,23,20.7,1.5
SFP10GPC3M,0.15,300,1.4,1.2
QSFP40GPC5M,0.45,500,1.8,1.3
6ASPAT5MGR,0.21,20,22,
6ASPAT10MGR,0.4,,,
N6PAT300CMGRS,0.06,20,22,1
6ASPAT750CMAQ,0.3,20,22,0.82
N6PATC150CMBL,0.08,20,22,0.82
N6PATC750CMGR,0.33,20,22,4
6ASPAT5MBK,0.21,20,22,
WIRC6PATBLRL,13.3,21.9,37.9,38.5
WIRC5ECMR,9.5,35.5,21.7,35.2
N6PATC1MBL,0.1,22,20,1.2
N6PATCH3RD,0.05,22,20,1.2
N6PATC10MBL,0.4,33,25.5,3.4
N6PATC3MOR,0.14,22,20,3.1
N6PATC5MOR,0.21,22,20,3
N6PATC1MGN,0.06,22,20,1.4
N6PATC1MWH,0.05,22,20,1.1
45PAT3MYL,0.12,22,20,2
45PAT3MBL,0.12,22,20,1.5
45PAT1MBK,0.05,22,20,1.2
45PAT1MOR,0.05,22,20,1.8
N6SPAT3MGR,0.16,22,20,1
45PAT50CMBK,0.03,22,20,1.4
45PAT5MYL,0.2,33,25.5,1.1
45PAT50CMOR,0.03,22,20,1.4
45PAT5MGN,0.2,33,25.5,2.1
N6PATC1MPL,0.06,22,20,1.9
N6PATC50CMWH,0.04,22,20,1.1
N6PATC10MPL,0.41,33,25.5,3.5
45PAT7MRD,0.26,33,25.5,2
45PAT10MRD,0.36,33,25.5,2
JG326AST,0.09,32.4,24.7,1
QSFP4SFPPC1M,0.24,23,20.7,1.5
N6PAT100CMBLS,0.03,20,22,1
6ASPAT750CMBL,0.3,20,22,0.82
N6PATC750CMBK,0.33,20,22,0.82
N6PATC750CMOR,0.33,20,22,4
N6PATC150CMPL,0.08,20,22,0.82
M45PATCH25BL,0.28,33,25.5,2.7
N6PATCH100WH,1.3,,,
N6PATC15MBL,0.6,22,20,2.2
N6PATC3MBL,0.14,22,20,2
N6PATC5MBL,0.2,22,20,2.8
N6PATC5MWH,0.21,22,20,2.8
N6PATC2MRD,0.09,22,20,1.2
N6PATC3MYL,0.14,22,20,1.6
45PAT3MBK,0.12,22,20,1.9
N6PATC7MGR,0.29,22,20,2.6
45PAT2MOR,0.12,22,20,1.6
N6PATC7MGN,0.29,22,20,3.3
N6SPAT2MGR,0.09,22,20,1
N6SPAT5MGR,0.2,22,20,1
N6SPAT1MBK,0.06,22,20,1.6
N6SPAT5MBK,0.21,22,20,1
N6PATC7MOR,0.29,22,20,2.6
N6PATC10MRD,0.4,33,25.5,2.6
45PAT5MOR,0.2,22,20,1.6
N6PATC3MPL,0.14,22,20,2.5
45PAT7MWH,0.26,33,25.5,2
45PAT7MGR,0.26,33,25.5,2
45PAT7MPL,0.26,33,25.5,2
6ASPAT3MGR,0.14,22,20,1
6ASPAT2MBL,0.1,22,20,1.5
6ASPAT3MBL,0.14,22,20,2
6ASPAT2MGR,0.09,22,20,1
6ASPAT1MGR,0.06,22,20,1
SFP10GAC7M,0.25,700,1.4,1.2
QSFP40GPC1M,0.15,32,20.7,2
QSFP40GAC7M,0.5,33.5,28,3
SFP10GAC10M,0.35,25,33,0.6
N6PAT200CMGRS,0.05,20,22,1
6ASPAT7MBK,0.29,20,22,0
N6PAT250CMBKS,0.06,20,22,1
6ASPAT150CMBL,0.08,20,22,0.82
6ASPAT750CMGR,0.3,20,22,0.82
N6PATC150CMBK,0.08,20,22,0.82
N6PATC150CMWH,0.08,20,22,0.82
M45PATCH6GR,0.08,22,20,1.5
N6PATCH100BK,1.3,33,25,4.5
N6PATCH100BL,1.2,33,25.5,5
N6PATC2MBL,0.1,22,20,1.4
45PAT15MGR,0.54,33,25.5,3
N6PATC5MBK,0.2,22,20,2.8
N6PATC15MBK,0.6,33,25.5,5.2
WIR6CMRBL,13.2,45.6,44.8,23.5
WIR5ECMRWH,9.9,35.3,35.2,22.7
N6PATC3MWH,0.14,22,20,1.9
N6PATC1MGR,0.06,22,20,1.6
N6PATC2MGR,0.1,22,20,2.6
N6PATC50CMGN,0.04,22,20,1.2
45PAT2MWH,0.08,22,20,2.3
45PAT2MGR,0.09,22,20,1.6
45PAT3MWH,0.12,22,20,2
45PAT3MGN,0.12,20,1.5,11.5
N6PATC1MRD,0.06,22,20,1.2
45PAT1MRD,0.05,22,20,1.6
N6SPAT50CMBL,0.04,22,20,1
N6SPAT5MBL,0.2,22,20,2.8
N6SPAT2MBK,0.09,22,20,1.3
N6PATC10MOR,0.41,33,25.5,3.5
N6PATC7MRD,0.29,22,20,3.2
M45PATCH6BK,0.08,22,20,1.2
45PAT5MWH,0.2,22,20,1.7
45PAT50CMGR,0.03,22,20,1
N6PATC7MPL,0.31,22,20,2.3
45PAT10MBK,0.37,33,25.5,2
6ASPAT1MBL,0.06,22,20,1
6ASPAT50CMAQ,0.04,22,20,1
QSFP40GPC3M,0.27,32.5,25,2.5
EXQSFP4050CM,0.12,32.5,25,1.5
JD097CST,0.14,23,20.7,2
SFP10GPC05M,0.07,22,20,0.4
EXSFP10GE1M,0.07,100,1.4,1.2
6ASPAT10MBK,0.4,,,
6ASPAT10MBL,0.38,,,
N6PAT100CMBKS,0.03,20,22,1
N6PAT150CMGRS,0.04,20,22,1
N6PAT300CMBKS,0.06,20,22,1
N6PATC150CMYL,0.08,20,22,0.82
6ASPAT7MBL,0.28,20,22,
USB31000S,0.14,16.5,13,4
PEX1000MMSC2,0.21,21.8,17.1,4.9
ST1000SPEXD4,0.14,14.3,17,3
US1GC30B,0.1,14.5,17.1,3
USB31000S2H,0.1,14.2,17,3
ST1000SPEX43,0.18,14.5,20.9,4
PEX10000SFPI,0.18,17.2,14.2,3.2
US1GC303APD,0.12,14.2,17,3
ST100S,0.13,14.3,17,2.9
ST1000SPEX2L,0.13,14.4,17.3,3.1
ST1000SPEXI,0.1,17,14.2,2.8
ST3300G3UA,0.15,17.1,14.3,3.2
US1GC30A,0.11,17.3,14.3,3.2
PEX10GSFP4I,0.18,17,14.2,3
US1GC301AUW,0.04,27.5,3.5,1.7
ST1000SPEX2,0.13,17.1,14.2,3.2
USBBT1EDR2,0.08,17.2,14.2,3.3
USB32000SPT,0.15,14.1,17.1,3.1
USB150WN1X1W,0.04,8.5,5.6,0.6
ST3300GU3B,0.37,15.2,21.7,5.3
ST4000SPEXI,0.16,14.3,17.1,3.1
US1GC301AU2R,0.1,14.4,17.2,3
PEX10000SRI,0.12,13.5,1.8,12
ST10GPEXNDPI,0.2,28.6,22.1,11.6
US100A20FXSC,0.11,17,14,2
PEX40GQSFDPI,0.13,18.1,12.1,2.1
US1GC30DB,0.1,5.1,14.1,3
PEX100S,0.12,14.4,17.2,3
USB1000IP,0.36,16,22,4.7
USB31000SPTW,0.13,14.3,17,2.9
US1GC30W,0.08,17.2,14.3,3.2
USB31000SA,0.1,20.4,11.2,2.1
ST20000SPEXI,0.24,14.7,20.8,4
HB30C3A1GEA,0.1,17.2,14.5,3.2
ST5GPEXNB,0.14,17,14.2,3
EC2000S,0.15,11.58,3.4,2.1
ST1000SMPEX,0.15,17.5,14.4,3.2
USB300WN2X2C,0.07,14.3,17.1,3.2
PEX20000SFPI,0.18,17,14.3,3
HB30C3A1GE,0.34,22,15.2,5.3
USB433ACD1X1,0.07,17.4,14,3.1
HB30C3AGEPD,0.04,9.5,4.1,17
US1GA30SXSC,0.05,14.2,17,3
US5GC30,0.11,14.2,17,3
USB31000NDS,0.1,17.3,14,3.2
PEX1000MMSC,0.08,10.9,8.3,2
USB150WN1X1,0.04,17.2,11.1,1.4
ST2000SPEXI,0.17,14.4,17.2,2.9
PEX1000SFP2,0.2,21.7,17.1,5.2
ST4000PEXPSE,0.43,29.6,18.8,6.6
US2GC30,0.1,17,14.2,3
US2GA30,0.04,1.6,2.7,8
ST1000BT32,0.14,14.3,17,3
ST2000PEXPSE,0.25,16.5,23.1,4.5
USBBT1EDR4,0.07,13.4,17.3,3.3
USB31000SPTB,0.13,14.5,17.2,3
USB2100,0.13,14.6,17.2,3.2
PEX10000SFP,0.1,13.5,1.8,12
ST10GSPEXNB,0.1,8.3,12,2.1
ST10000SPEXI,0.2,20.9,14.5,4
US5GA30,0.08,2.85,3.89,2.4
USB31000SW,0.12,13.3,16.2,4.5
USB433WACDB,0.1,14.4,17.1,3.2
PEXUSB3S3GE,0.06,7.7,1.8,12
US1GC301AU,0.09,17,14.3,3
US1GC30PD,0.11,17.4,14.7,3.2
US1GA30SFP,0.05,26.5,17,3
US100A20SFP,0.11,26.7,5,3
US1GC30SFP,0.1,14.2,17,3
PEX40GQSFPI,0.24,20.7,11.4,3.8
ST10GSPEXNDP,0.39,12.1,15.9,2.05
LENYMCHDVUGK,0.16,16.8,14.1,3.2
CTKRPR,2.45,33.6,18.9,12
USB3SDOCKHDV,0.88,29.6,19.5,6.6
CDP2HDUACP,0.12,17.5,14.6,3.2
DKT30CHD,0.05,6.5,6.2,1.5
TB3DK2DPPDUE,0.47,22,8,2.7
MST30C2HDPPD,0.32,17,9,4.6
TB33A1C,1.6,28.5,18.5,11.6
MST30C2HHPDU,0.26,22,8,2.4
DK30CHDPPDUE,0.26,22,8,2.5
DK30CHDPDUE,0.2,9.8,9.1,3.2
TB3DK2DHVUE,1.3,25.4,18.7,6.5
DK30C2HAGPD,0.28,20.8,14.5,3.8
DK30CH2DEPUE,1.7,32,16,8
DKT30CHVAUSP,0.13,46,6.1,1.5
USB3SMDOCKHV,0.19,14.3,16.7,4.3
DKT30CDVPD,0.13,17.2,14.2,3
DKT30CSDHPD,0.08,11.6,4.6,1.6
USB31GEHD,0.15,14.6,17.2,3.3
USB3SDOCKDD,1.02,18.6,25.5,9.5
USB3DOCKHDPC,1.1,19.8,25.1,7.1
USB3DOCKH2DP,0.38,27,8.2,3.4
USB3VDOCK4DP,0.15,13.9,7.9,2.6
DKT30CHV,0.15,22.3,12.6,3.4
TB3DKDPMAWUE,0.45,22,8,2.7
DK30CH2DPPDU,1.45,29.6,16.1,7.1
DKT3CHSD4GPD,0.15,17,11.6,2.5
DKT30CHVSCPD,0.14,14.2,17.9,3
TB3CDK2DPUE,1.5,16,27.2,11.5
CDP2VGAUACP,0.11,17.1,14.5,3.4
TB31PCIEX16,3.1,36,29,14.5
DKT30CHCPD,0.14,17,14.2,3
DKT30CHPD,0.2,21.2,14.6,4.1
DK30A2DH,0.9,31.8,13,5.2
TB3DKM2HD,0.15,12.4,6.1,1.9
USB3SDOCKHD,0.9,27.3,19,10.9
DKT30CHVW,0.07,11.4,5.4,1.7
DK30ADD,0.8,30.7,14,6
USBA2DPGB,0.22,11.4,20,3.8
TB3DKM2DP,0.15,12,6,1.9
DKT30CSDHPD3,0.16,17.4,14.3,3
TB3DK2DPM2,1.4,28.8,13.8,12.5
DKT30CHVGPD,0.17,17,14.2,3
DKT30CHPDW,0.19,21.3,14.7,4.2
TB3DOCK2DPPU,1.5,29.5,14.5,9
DKT30CVAGPD,0.13,17.2,14,3
DK30C2DAGPD,0.3,20.8,14.5,4.2
DKT30CHVCM,0.08,10.5,6.2,1.6
DK30C2DPPDUE,0.28,22,8,3
MOD4DOCKACPD,2.1,25.1,21.1,1
PANELHU24,0.49,49,5.7,4.7
C6PANEL24,0.68,49,5.5,4.5
POEINJ1GW,1.04,19,23,7.6
SVA20N2NEUA,0.14,7.5,4,4.3
IM12D1500P,0.2,13.8,9.2,5.7
ITB20D3250,0.84,16.6,24.2,5.5
SVA5N3NEUA,0.2,17.7,13.1,3.5
SVA9M2NEUA,0.23,7.2,14.6,6.1
PXT101EUR,0.2,12.6,3.6,21
USB2TYPEH,0.03,22.5,12.5,0.8
PXT1001M,0.19,22,20,1
CPUFANADAPT,0.01,12.5,9,1.2
PXTNB2SUK6,0.14,29,21,14.5
PXTNB3SUK1M,0.16,22,20,1
PXTNB2SEU1M,0.07,22,20,1.5
PXT101UK,0.24,22,20,4.9
SVUSBPOWERUK,0.27,10,6,7
USB2TYPEM,0.03,22.5,12.5,0.9
PXTNB3SUK2M,0.21,29.4,14.3,1
PXTNB3SEU2M,0.21,22,20,4
USB2TYPEH2M,0.05,22.5,12.5,1.4
PXT101UK3M,0.33,22.5,20,6
PXTNB3SEU1M,0.13,22,20,1
USB2TYPEN1M,0.03,11.8,14.4,1
PXTUKC192M,0.35,29,14.5,4
PXT101YEU2M,0.31,29,21,14.5
USB2TYPEM2M,0.05,22.5,12.5,1.2
PXTNB2SUK1M,0.12,22,20,1
PXT101YUK,0.34,33.3,25.4,1
ETCHS2UPSU,1.75,35.6,21.4,6.9
PM1115U2,0.33,21.5,14.9,5.4
ICUSB128410,0.17,22,20,1.6
ICUSB1284,0.14,22,20,2.6
PROJCEILMNT2,2.2,35.2,57.77,35.2
PROJWALLMNT,3.41,19.5,18,73.5
CMHOOK1UN,0.08,22.5,12.5,4.5
CMBRUSH1U,0.51,48.9,5.1,2.8
UNIRAILS3U,4.12,48.7,10.5,15
CMDUCT2U,0.97,7.9,48.2,8.81
RKPNLHS4U,1.2,53,19.5,4.3
RKPNLTL1U,0.4,54.5,6,3.7
CABSCREWM52B,0.89,26.6,13.8,1.4
CABSHELFV1U,2.3,53,27.5,5.7
4UDRAWER,9.75,52.8,44.6,20.9
ADJSHELF,5.5,73,52,6.5
CABSCREWM5,0.21,,,
