sku,product_type,weight,additional_attributes
GSR212,simple,0.09,"ts_dimensions_height=19.69,ts_dimensions_length=19.69,ts_dimensions_width=38.74"
CUBI NUC 1M I7 150U BB,simple,0,"ts_dimensions_height=9.4,ts_dimensions_length=22,ts_dimensions_width=20.5"
XO2TBK.CEUSLLK,simple,1.5,"ts_dimensions_height=28.2,ts_dimensions_length=16.5,ts_dimensions_width=16.5"
2135,simple,23,"ts_dimensions_height=13,ts_dimensions_length=167,ts_dimensions_width=50.5"
61U6300000AC,simple,7.18,"ts_dimensions_height=23.9,ts_dimensions_length=38.9,ts_dimensions_width=39.2"
9S7-17S151-647,simple,,"ts_dimensions_height=37.6,ts_dimensions_length=11.9,ts_dimensions_width=46.1"
NH.QLZEK.00F,simple,4.05,"ts_dimensions_height=34.1,ts_dimensions_length=54.3,ts_dimensions_width=8"
RRS-00150,simple,3.3,"ts_dimensions_height=27.5,ts_dimensions_length=36,ts_dimensions_width=29.2"
GV-N408SAORUSX ICE-16GD,simple,3.23,"ts_dimensions_height=12.75,ts_dimensions_length=50.85,ts_dimensions_width=32"
TBLT4MM50CM,simple,0.02,"ts_dimensions_height=2,ts_dimensions_length=22,ts_dimensions_width=12.8"
952-000123,simple,0.51,"ts_dimensions_height=8.76,ts_dimensions_length=28.16,ts_dimensions_width=15.22"
DN-94004,simple,0.59,"ts_dimensions_height=29,ts_dimensions_width=12"
ASK-HT-S144H,simple,0.18,"ts_dimensions_height=26.5,ts_dimensions_length=2,ts_dimensions_width=10.5"
QAU-00104,simple,0.49,"ts_dimensions_height=7.4,ts_dimensions_length=17.6,ts_dimensions_width=17.8"
GV-N507TWF3OC-16GD,simple,3,"ts_dimensions_height=8.5,ts_dimensions_length=39.8,ts_dimensions_width=23"
GV-N407TSAI TOP-16GD,simple,1.68,"ts_dimensions_height=7.5,ts_dimensions_length=32.2,ts_dimensions_width=21.4"
GV-N5080AORUS M-16GD,simple,3,"ts_dimensions_height=16,ts_dimensions_length=45.3,ts_dimensions_width=24.5"
VCG508016TFXPB1-O,simple,,"ts_dimensions_height=19.89,ts_dimensions_length=10.29,ts_dimensions_width=40.49"
JW811A,simple,30,"ts_dimensions_height=2.17,ts_dimensions_length=8.58,ts_dimensions_width=8.78"
BR1200GI,simple,13.2,"ts_dimensions_height=38.7,ts_dimensions_length=48.8,ts_dimensions_width=23.8"
SC420I,simple,10.2,"ts_dimensions_height=31.8,ts_dimensions_length=50.8,ts_dimensions_width=26.2"
SURT1000RMXLI,simple,27.8,"ts_dimensions_height=28.6,ts_dimensions_length=59.4,ts_dimensions_width=63"
SRT8KXLI,simple,126.8,"ts_dimensions_height=46.1,ts_dimensions_length=100,ts_dimensions_width=60"
SC450RMI1U,simple,11.7,"ts_dimensions_height=16.4,ts_dimensions_length=58.9,ts_dimensions_width=47.6"
SC620I,simple,13.2,"ts_dimensions_height=31.8,ts_dimensions_length=50.8,ts_dimensions_width=26.2"
SUA750RMI1U,simple,25.4,"ts_dimensions_height=19.1,ts_dimensions_length=77.5,ts_dimensions_width=55.9"
SMX750I,simple,26.5,"ts_dimensions_height=24.6,ts_dimensions_length=62,ts_dimensions_width=58.9"
SMT1000RMI2UC,simple,31.4,"ts_dimensions_height=25.1,ts_dimensions_length=60.3,ts_dimensions_width=59.4"
SMX1000I,simple,27.3,"ts_dimensions_height=24.6,ts_dimensions_length=62,ts_dimensions_width=58.9"
SMX1500RMI2U,simple,30,"ts_dimensions_height=24.6,ts_dimensions_length=62,ts_dimensions_width=58.9"
SMT1500RMI1U,simple,29.1,"ts_dimensions_height=20,ts_dimensions_length=79.4,ts_dimensions_width=57.5"
SMT1500RMI2UNC,simple,31.8,"ts_dimensions_height=25.1,ts_dimensions_length=60.3,ts_dimensions_width=59.4"
SMT2200RMI2UNC,simple,49.6,"ts_dimensions_height=25.4,ts_dimensions_length=98,ts_dimensions_width=60"
SMX2200HVNC,simple,47.6,"ts_dimensions_height=33,ts_dimensions_length=63.3,ts_dimensions_width=58.6"
SMT2200IC,simple,61.9,"ts_dimensions_height=69.9,ts_dimensions_length=76.2,ts_dimensions_width=38.1"
SRT1500RMXLI,simple,29.6,"ts_dimensions_height=24.6,ts_dimensions_length=74.9,ts_dimensions_width=59.4"
SRT2200RMXLI,simple,34,"ts_dimensions_height=24.6,ts_dimensions_length=81,ts_dimensions_width=59.9"
SRT3000RMXLW-IEC,simple,39.9,"ts_dimensions_height=24.6,ts_dimensions_length=87.1,ts_dimensions_width=59.9"
SRT6KRMXLI,simple,67,"ts_dimensions_height=37,ts_dimensions_length=96,ts_dimensions_width=61"
SRT8KRMXLI,simple,130,"ts_dimensions_height=46.1,ts_dimensions_length=100,ts_dimensions_width=60"
SRT10KXLI,simple,126.8,"ts_dimensions_height=46.1,ts_dimensions_length=100,ts_dimensions_width=60"
SRT10KRMXLI,simple,130,"ts_dimensions_height=46.1,ts_dimensions_length=100,ts_dimensions_width=60"
SYA12K16RMI,simple,290,""
BR900G-GR,simple,12.4,"ts_dimensions_height=48.7,ts_dimensions_length=33.7,ts_dimensions_width=22.5"
SMT3000RMI2U,simple,51.7,"ts_dimensions_height=25.4,ts_dimensions_length=98,ts_dimensions_width=60"
SUA750IX38,simple,14.6,""
BK350,simple,6.36,""
ADS3600WZU1,simple,6.3,"ts_dimensions_height=33,ts_dimensions_length=25.4,ts_dimensions_width=38.2"
ADS2200ZU1,simple,4,"ts_dimensions_height=28.6,ts_dimensions_length=24.5,ts_dimensions_width=39.3"
ADS2700WZU1,simple,3.9,"ts_dimensions_height=28.6,ts_dimensions_length=24.5,ts_dimensions_width=39.3"
ADS1700WZU1,simple,1.9,"ts_dimensions_height=20,ts_dimensions_length=15.7,ts_dimensions_width=38"
