sku,product_type,weight,additional_attributes
SFP-10GBASE-SR-ST,simple,0.05,"ts_dimensions_height=3.1,ts_dimensions_length=11.5,ts_dimensions_width=9"
57-0000075-01-ST,simple,0.05,"ts_dimensions_height=3.1,ts_dimensions_length=11.5,ts_dimensions_width=9"
J9151A-ST,simple,0.05,"ts_dimensions_height=3.1,ts_dimensions_length=11.5,ts_dimensions_width=9"
J8177CST,simple,0.05,"ts_dimensions_height=3.4,ts_dimensions_length=9.2,ts_dimensions_width=11.8"
J4858CST,simple,0.05,"ts_dimensions_height=3.3,ts_dimensions_length=9.3,ts_dimensions_width=11.9"
JD118BST,simple,0.05,"ts_dimensions_height=3.2,ts_dimensions_length=9.3,ts_dimensions_width=11.8"
SFP100BFXST,simple,0.05,"ts_dimensions_height=3,ts_dimensions_length=12,ts_dimensions_width=9"
SFP10GBSRST,simple,0.05,"ts_dimensions_height=3,ts_dimensions_length=11.5,ts_dimensions_width=9"
SFP10GBTST,simple,0.06,"ts_dimensions_height=3,ts_dimensions_length=12,ts_dimensions_width=7.4"
EW3P0000557-ST,simple,0.05,"ts_dimensions_height=3.1,ts_dimensions_length=11.5,ts_dimensions_width=9"
LX-ST,simple,0.05,"ts_dimensions_height=3.1,ts_dimensions_length=11.5,ts_dimensions_width=9"
PLUS-LR-ST,simple,0.05,"ts_dimensions_height=3.1,ts_dimensions_length=11.5,ts_dimensions_width=9"
PLUS-SR-ST,simple,0.05,"ts_dimensions_height=3.1,ts_dimensions_length=11.5,ts_dimensions_width=9"
SFPGE40KT5R3,simple,0.08,"ts_dimensions_height=1.5,ts_dimensions_length=23,ts_dimensions_width=20.7"
GLCTEST,simple,0.05,"ts_dimensions_height=3.1,ts_dimensions_length=11.5,ts_dimensions_width=9"
EXSFP1GESXST,simple,0.04,"ts_dimensions_height=3.3,ts_dimensions_length=9.1,ts_dimensions_width=11.8"
SFP10GBLRMST,simple,0.05,"ts_dimensions_height=3,ts_dimensions_length=12,ts_dimensions_width=9"
EW3A0000710-ST,simple,0.05,"ts_dimensions_height=3.1,ts_dimensions_length=11.5,ts_dimensions_width=9"
SFP1GBX10DES,simple,0.05,"ts_dimensions_height=3.1,ts_dimensions_length=11.5,ts_dimensions_width=9"
SFP1GLXEMCST,simple,0.05,"ts_dimensions_height=3.1,ts_dimensions_length=11.5,ts_dimensions_width=9"
RX10KMSFPST,simple,0.08,"ts_dimensions_height=1.5,ts_dimensions_length=23,ts_dimensions_width=20.7"
SFP1GELHST,simple,0.08,"ts_dimensions_height=1.5,ts_dimensions_length=23,ts_dimensions_width=20.7"
XG-SR-ST,simple,0.05,"ts_dimensions_height=3.1,ts_dimensions_length=11.5,ts_dimensions_width=9"
SFPSXMM,simple,0.04,"ts_dimensions_height=6.5,ts_dimensions_length=11.5,ts_dimensions_width=2.5"
AJ716BST,simple,0.05,"ts_dimensions_height=3.3,ts_dimensions_length=9.3,ts_dimensions_width=11.8"
EXSFP10GELRS,simple,0.05,"ts_dimensions_height=3.4,ts_dimensions_length=9.3,ts_dimensions_width=11.9"
10056-ST,simple,0.05,"ts_dimensions_height=3.1,ts_dimensions_length=11.5,ts_dimensions_width=9"
SFP10GUSREMS,simple,0.05,"ts_dimensions_height=3.1,ts_dimensions_length=11.5,ts_dimensions_width=9"
SFP1GBX40UES,simple,0.05,"ts_dimensions_height=3.1,ts_dimensions_length=11.5,ts_dimensions_width=9"
10302-ST,simple,0.05,"ts_dimensions_height=3.1,ts_dimensions_length=11.5,ts_dimensions_width=9"
SFPP10GESRST,simple,0.08,"ts_dimensions_height=1.5,ts_dimensions_length=23,ts_dimensions_width=20.7"
N6PATCH75YL,simple,0.97,"ts_dimensions_height=32.4,ts_dimensions_length=25,ts_dimensions_width=3.52"
M45PAT15MBK,simple,0.58,"ts_dimensions_height=3.2,ts_dimensions_length=33,ts_dimensions_width=25.5"
N6PATC3MGR,simple,0.14,"ts_dimensions_height=1.7,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC5MGR,simple,0.21,"ts_dimensions_height=3.3,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC2MOR,simple,0.09,"ts_dimensions_height=2.9,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT1MGR,simple,0.05,"ts_dimensions_height=1.6,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT3MOR,simple,0.12,"ts_dimensions_height=1.8,ts_dimensions_length=22,ts_dimensions_width=20"
N6SPAT2MBL,simple,0.09,"ts_dimensions_height=2.2,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC10MYL,simple,0.41,"ts_dimensions_height=2.6,ts_dimensions_length=33,ts_dimensions_width=25.5"
45PAT50CMWH,simple,0.03,"ts_dimensions_height=1.2,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT50CMRD,simple,0.03,"ts_dimensions_height=1.6,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC50CMRD,simple,0.04,"ts_dimensions_height=1.3,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT10MPL,simple,0.37,"ts_dimensions_height=2,ts_dimensions_length=33,ts_dimensions_width=25.5"
6ASPAT3MBK,simple,0.14,"ts_dimensions_height=1,ts_dimensions_length=22,ts_dimensions_width=20"
SFP10GPC2M,simple,0.1,"ts_dimensions_height=0.4,ts_dimensions_length=20,ts_dimensions_width=21.8"
QFXQSFPDAC3M,simple,0.26,"ts_dimensions_height=2,ts_dimensions_length=32.5,ts_dimensions_width=25"
N6PAT200CMBKS,simple,0.05,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PAT200CMBLS,simple,0.05,"ts_dimensions_length=20,ts_dimensions_width=22"
6ASPAT150CMGR,simple,0.08,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PATC750CMWH,simple,0.33,"ts_dimensions_height=4,ts_dimensions_length=20,ts_dimensions_width=22"
N6PATC750CMPL,simple,0.33,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PATC50CMYL,simple,0.04,"ts_dimensions_height=1.4,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT10MBL,simple,0.37,"ts_dimensions_height=2,ts_dimensions_length=33,ts_dimensions_width=25.5"
45PAT7MBK,simple,0.26,"ts_dimensions_height=2,ts_dimensions_length=33,ts_dimensions_width=25.5"
6ASPAT1MBK,simple,0.06,"ts_dimensions_height=1,ts_dimensions_length=22,ts_dimensions_width=20"
6ASPAT2MBK,simple,0.1,"ts_dimensions_height=1,ts_dimensions_length=22,ts_dimensions_width=20"
WIR6CMRBK,simple,14,"ts_dimensions_height=21,ts_dimensions_length=45,ts_dimensions_width=45"
JD096CST,simple,0.08,"ts_dimensions_height=1.5,ts_dimensions_length=23,ts_dimensions_width=20.7"
QSFP40GPC05M,simple,0.11,"ts_dimensions_height=2.5,ts_dimensions_length=32.5,ts_dimensions_width=25"
SFP10GPC5M,simple,0.3,"ts_dimensions_height=0.6,ts_dimensions_length=32.5,ts_dimensions_width=25"
EXSFP10GEDA5,simple,0.31,"ts_dimensions_height=2.5,ts_dimensions_length=33,ts_dimensions_width=25"
J9285BST,simple,0.41,"ts_dimensions_height=2.5,ts_dimensions_length=27,ts_dimensions_width=25"
6ASPAT7MGR,simple,0.3,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PAT100CMGRS,simple,0.03,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PAT250CMGRS,simple,0.06,"ts_dimensions_height=1,ts_dimensions_length=20,ts_dimensions_width=22"
6ASPAT750CMBK,simple,0.3,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PATC150CMGN,simple,0.08,"ts_dimensions_height=2,ts_dimensions_length=20,ts_dimensions_width=22"
N6PATC150CMRD,simple,0.08,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PATC150CMOR,simple,0.08,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PATC750CMRD,simple,0.33,"ts_dimensions_height=4,ts_dimensions_length=20,ts_dimensions_width=22"
6ASPAT5MAQ,simple,0.21,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PATCH100GR,simple,1.2,"ts_dimensions_height=4.8,ts_dimensions_length=33,ts_dimensions_width=25.5"
N6PATCH100RD,simple,1.3,"ts_dimensions_height=33,ts_dimensions_length=25.6,ts_dimensions_width=4.6"
N6PATCH50WH,simple,0.7,"ts_dimensions_height=32.5,ts_dimensions_length=25,ts_dimensions_width=2.4"
N6PATCH75BL,simple,0.95,"ts_dimensions_height=4.5,ts_dimensions_length=33,ts_dimensions_width=25.5"
N6PATC15MGR,simple,0.65,"ts_dimensions_height=4,ts_dimensions_length=33,ts_dimensions_width=25.5"
N6PATC50CMBL,simple,0.04,"ts_dimensions_height=1.5,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC10MBK,simple,0.4,"ts_dimensions_height=3.4,ts_dimensions_length=33,ts_dimensions_width=25.5"
N6PATC2MGN,simple,0.09,"ts_dimensions_height=1.3,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC2MYL,simple,0.09,"ts_dimensions_height=1.8,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC2MPL,simple,0.09,"ts_dimensions_height=1.4,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT2MGN,simple,0.09,"ts_dimensions_height=1.5,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT2MBK,simple,0.12,"ts_dimensions_height=1.4,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC5MGN,simple,0.21,"ts_dimensions_height=2.7,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT1MWH,simple,0.05,"ts_dimensions_height=1,ts_dimensions_length=22.3,ts_dimensions_width=20"
N6SPAT1MBL,simple,0.06,"ts_dimensions_height=1.5,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC7MWH,simple,0.29,"ts_dimensions_height=3.4,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT5MBK,simple,0.2,"ts_dimensions_height=3.2,ts_dimensions_length=33,ts_dimensions_width=25.5"
WIRC6PATGRRL,simple,13.3,"ts_dimensions_height=38.5,ts_dimensions_length=21.8,ts_dimensions_width=37.8"
N6PATC2MBK,simple,0.1,"ts_dimensions_height=1.2,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC7MBK,simple,0.3,"ts_dimensions_height=2.7,ts_dimensions_length=22,ts_dimensions_width=20"
M45PAT15MWH,simple,,"ts_dimensions_height=3.2,ts_dimensions_length=33,ts_dimensions_width=25.5"
N6PATC3MBK,simple,0.13,"ts_dimensions_height=1.4,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC3MRD,simple,0.14,"ts_dimensions_height=2.3,ts_dimensions_length=22.5,ts_dimensions_width=20"
N6PATC3MGN,simple,0.14,"ts_dimensions_height=1.9,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT3MGR,simple,0.12,"ts_dimensions_height=1.3,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT1MBL,simple,0.05,"ts_dimensions_height=1.2,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC10MGR,simple,0.42,"ts_dimensions_height=4.2,ts_dimensions_length=33,ts_dimensions_width=25.5"
N6SPAT50CMGR,simple,0.04,"ts_dimensions_height=1,ts_dimensions_length=22,ts_dimensions_width=20"
N6SPAT50CMBK,simple,0.04,"ts_dimensions_height=1.4,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT5MGR,simple,0.19,"ts_dimensions_height=2,ts_dimensions_length=33,ts_dimensions_width=25.5"
45PAT50CMYL,simple,0.03,"ts_dimensions_height=1,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT50CMGN,simple,0.03,"ts_dimensions_height=1.6,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT5MRD,simple,0.2,"ts_dimensions_height=1.9,ts_dimensions_length=33,ts_dimensions_width=25.5"
N6PATC5MYL,simple,0.23,"ts_dimensions_height=2.6,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT7MYL,simple,0.26,"ts_dimensions_height=2,ts_dimensions_length=33,ts_dimensions_width=25.5"
45PAT7MOR,simple,0.26,"ts_dimensions_height=2,ts_dimensions_length=33,ts_dimensions_width=25.5"
45PAT7MBL,simple,0.26,"ts_dimensions_height=2,ts_dimensions_length=33,ts_dimensions_width=25.5"
6ASPAT2MAQ,simple,0.09,"ts_dimensions_height=2,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC5MPL,simple,0.22,"ts_dimensions_height=1,ts_dimensions_length=22,ts_dimensions_width=20"
JG081CST,simple,0.31,"ts_dimensions_height=2.5,ts_dimensions_length=27,ts_dimensions_width=25"
QFXQSFPDAC1M,simple,0.15,"ts_dimensions_height=1.5,ts_dimensions_length=32.5,ts_dimensions_width=25"
QSFP4SFPPC3M,simple,0.47,"ts_dimensions_height=3,ts_dimensions_length=32.5,ts_dimensions_width=24.5"
N6PAT50CMGRS,simple,0.02,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PAT300CMBLS,simple,0.06,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PAT150CMBLS,simple,0.04,"ts_dimensions_length=20,ts_dimensions_width=22"
6ASPAT150CMAQ,simple,0.08,"ts_dimensions_height=1.5,ts_dimensions_length=20,ts_dimensions_width=22"
M45PATCH10BL,simple,0.12,"ts_dimensions_height=1.5,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATCH100PL,simple,1.3,"ts_dimensions_height=33,ts_dimensions_length=25.6,ts_dimensions_width=4.6"
N6PATCH100YL,simple,1.3,"ts_dimensions_height=33,ts_dimensions_length=25.6,ts_dimensions_width=4.6"
N6PATCH75GR,simple,0.77,"ts_dimensions_height=32.4,ts_dimensions_length=25,ts_dimensions_width=3.52"
N6PATCH75RD,simple,0.97,"ts_dimensions_height=32.4,ts_dimensions_length=25,ts_dimensions_width=3.52"
N6PATC15MRD,simple,0.6,"ts_dimensions_height=7.2,ts_dimensions_length=33,ts_dimensions_width=25.5"
N6PATC15MPL,simple,0.6,"ts_dimensions_height=3.8,ts_dimensions_length=33,ts_dimensions_width=25.5"
N6PATC15MWH,simple,0.65,"ts_dimensions_height=4,ts_dimensions_length=33,ts_dimensions_width=25"
N6PATC1MYL,simple,0.06,"ts_dimensions_height=1.3,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC5MRD,simple,0.21,"ts_dimensions_height=3,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC50CMGR,simple,0.04,"ts_dimensions_height=1,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT2MRD,simple,0.09,"ts_dimensions_height=1.3,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT2MBL,simple,0.09,"ts_dimensions_height=1.7,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC10MGN,simple,0.42,"ts_dimensions_height=2.8,ts_dimensions_length=33,ts_dimensions_width=25.5"
N6PATC7MYL,simple,0.29,"ts_dimensions_height=3,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT50CMBL,simple,0.04,"ts_dimensions_height=1.6,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC50CMPL,simple,0.04,"ts_dimensions_height=1.4,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT10MYL,simple,0.37,"ts_dimensions_height=2,ts_dimensions_length=33,ts_dimensions_width=25.5"
45PAT10MGR,simple,0.36,"ts_dimensions_height=2,ts_dimensions_length=33,ts_dimensions_width=25.5"
6ASPAT50CMBL,simple,0.04,"ts_dimensions_height=1,ts_dimensions_length=22,ts_dimensions_width=20"
6ASPAT3MAQ,simple,0.14,"ts_dimensions_height=2,ts_dimensions_length=22,ts_dimensions_width=20"
6ASPAT50CMGR,simple,0.04,"ts_dimensions_height=1,ts_dimensions_length=22,ts_dimensions_width=20"
6ASPAT50CMBK,simple,0.04,"ts_dimensions_height=1,ts_dimensions_length=22,ts_dimensions_width=20"
SFP10GPC1M,simple,0.08,"ts_dimensions_height=0.4,ts_dimensions_length=22,ts_dimensions_width=20"
J9283BST,simple,0.13,"ts_dimensions_height=2,ts_dimensions_length=23,ts_dimensions_width=20.7"
N6PAT50CMBKS,simple,,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PAT50CMBLS,simple,0.02,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PAT250CMBLS,simple,0.06,"ts_dimensions_height=1,ts_dimensions_length=20,ts_dimensions_width=22"
6ASPAT5MBL,simple,0.21,"ts_dimensions_height=0,ts_dimensions_length=20,ts_dimensions_width=22"
N6PATC150CMGR,simple,0.08,"ts_dimensions_height=2,ts_dimensions_length=20,ts_dimensions_width=22"
N6PATC750CMGN,simple,0.34,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PATC750CMYL,simple,,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PATC750CMBL,simple,0.33,"ts_dimensions_length=20,ts_dimensions_width=22"
M45PATCH50BL,simple,0.54,"ts_dimensions_height=4.5,ts_dimensions_length=33.5,ts_dimensions_width=25"
N6PATCH100GN,simple,1.3,"ts_dimensions_height=33,ts_dimensions_length=25.6,ts_dimensions_width=4.6"
N6PATC15MGN,simple,0.6,"ts_dimensions_height=3.2,ts_dimensions_length=33,ts_dimensions_width=25.5"
N6PATC50CMBK,simple,0.04,"ts_dimensions_height=1.2,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC1MBK,simple,0.1,"ts_dimensions_height=1.2,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC7MBL,simple,0.3,"ts_dimensions_height=3.5,ts_dimensions_length=22,ts_dimensions_width=20"
C6ASPAT14GR,simple,0.2,"ts_dimensions_height=21,ts_dimensions_length=19.5,ts_dimensions_width=3"
N6PATCH75WH,simple,0.95,"ts_dimensions_height=3.7,ts_dimensions_length=33,ts_dimensions_width=25.5"
WIRC5ECMRGRY,simple,9.7,"ts_dimensions_height=21.5,ts_dimensions_length=35.5,ts_dimensions_width=35.5"
N6PATC2MWH,simple,0.1,"ts_dimensions_height=1.7,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT1MGN,simple,0.05,"ts_dimensions_height=1.2,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT2MYL,simple,0.09,"ts_dimensions_height=1.2,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC1MOR,simple,0.06,"ts_dimensions_height=1.4,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT1MYL,simple,0.05,"ts_dimensions_height=1.2,ts_dimensions_length=22,ts_dimensions_width=20"
N6SPAT3MBK,simple,0.09,"ts_dimensions_height=2.5,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC10MWH,simple,0.4,"ts_dimensions_height=2.9,ts_dimensions_length=33,ts_dimensions_width=25.5"
45PAT5MBL,simple,0.2,"ts_dimensions_height=1.3,ts_dimensions_length=20.6,ts_dimensions_width=24.5"
N6PATC50CMOR,simple,0.04,"ts_dimensions_height=4.5,ts_dimensions_length=22,ts_dimensions_width=20"
6ASPAT1MAQ,simple,0.06,"ts_dimensions_height=1,ts_dimensions_length=22,ts_dimensions_width=20"
JD095CST,simple,0.05,"ts_dimensions_height=1.5,ts_dimensions_length=23,ts_dimensions_width=20.7"
EXSFP10GEDA3,simple,0.14,"ts_dimensions_height=2,ts_dimensions_length=23,ts_dimensions_width=20.7"
QSFP4SFPPC2M,simple,0.36,"ts_dimensions_height=3,ts_dimensions_length=32.5,ts_dimensions_width=25"
J9281BST,simple,0.08,"ts_dimensions_height=1.5,ts_dimensions_length=23,ts_dimensions_width=20.7"
6ASPAT5MGR,simple,0.21,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PAT300CMGRS,simple,0.06,"ts_dimensions_length=20,ts_dimensions_width=22"
6ASPAT750CMAQ,simple,0.3,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PATC150CMBL,simple,0.08,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PATC750CMGR,simple,0.33,"ts_dimensions_height=4,ts_dimensions_length=20,ts_dimensions_width=22"
6ASPAT5MBK,simple,0.21,"ts_dimensions_length=20,ts_dimensions_width=22"
WIRC6PATBLRL,simple,13.3,"ts_dimensions_height=38.5,ts_dimensions_length=21.9,ts_dimensions_width=37.9"
WIRC5ECMR,simple,9.5,"ts_dimensions_height=35.2,ts_dimensions_length=35.5,ts_dimensions_width=21.7"
N6PATC1MBL,simple,0.1,"ts_dimensions_height=1.2,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATCH3RD,simple,0.05,"ts_dimensions_height=1.2,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC10MBL,simple,0.4,"ts_dimensions_height=3.4,ts_dimensions_length=33,ts_dimensions_width=25.5"
N6PATC3MOR,simple,0.14,"ts_dimensions_height=3.1,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC5MOR,simple,0.21,"ts_dimensions_height=3,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC1MGN,simple,0.06,"ts_dimensions_height=1.4,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC1MWH,simple,0.05,"ts_dimensions_height=1.1,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT3MYL,simple,0.12,"ts_dimensions_height=2,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT3MBL,simple,0.12,"ts_dimensions_height=1.5,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT1MBK,simple,0.05,"ts_dimensions_height=1.2,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT1MOR,simple,0.05,"ts_dimensions_height=1.8,ts_dimensions_length=22,ts_dimensions_width=20"
N6SPAT3MGR,simple,0.16,"ts_dimensions_height=1,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT50CMBK,simple,0.03,"ts_dimensions_height=1.4,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT5MYL,simple,0.2,"ts_dimensions_height=1.1,ts_dimensions_length=33,ts_dimensions_width=25.5"
45PAT50CMOR,simple,0.03,"ts_dimensions_height=1.4,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT5MGN,simple,0.2,"ts_dimensions_height=2.1,ts_dimensions_length=33,ts_dimensions_width=25.5"
N6PATC1MPL,simple,0.06,"ts_dimensions_height=1.9,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC50CMWH,simple,0.04,"ts_dimensions_height=1.1,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC10MPL,simple,0.41,"ts_dimensions_height=3.5,ts_dimensions_length=33,ts_dimensions_width=25.5"
45PAT7MRD,simple,0.26,"ts_dimensions_height=2,ts_dimensions_length=33,ts_dimensions_width=25.5"
45PAT10MRD,simple,0.36,"ts_dimensions_height=2,ts_dimensions_length=33,ts_dimensions_width=25.5"
JG326AST,simple,0.09,"ts_dimensions_height=1,ts_dimensions_length=32.4,ts_dimensions_width=24.7"
QSFP4SFPPC1M,simple,,"ts_dimensions_height=1.5,ts_dimensions_length=23,ts_dimensions_width=20.7"
N6PAT100CMBLS,simple,0.03,"ts_dimensions_length=20,ts_dimensions_width=22"
6ASPAT750CMBL,simple,0.3,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PATC750CMBK,simple,0.33,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PATC750CMOR,simple,0.33,"ts_dimensions_height=4,ts_dimensions_length=20,ts_dimensions_width=22"
N6PATC150CMPL,simple,0.08,"ts_dimensions_length=20,ts_dimensions_width=22"
M45PATCH25BL,simple,0.28,"ts_dimensions_height=2.7,ts_dimensions_length=33,ts_dimensions_width=25.5"
N6PATC15MBL,simple,0.6,"ts_dimensions_height=2.2,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC3MBL,simple,0.14,"ts_dimensions_height=2,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC5MBL,simple,0.2,"ts_dimensions_height=2.8,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC5MWH,simple,0.21,"ts_dimensions_height=2.8,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC2MRD,simple,0.09,"ts_dimensions_height=1.2,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC3MYL,simple,0.14,"ts_dimensions_height=1.6,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT3MBK,simple,0.12,"ts_dimensions_height=1.9,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC7MGR,simple,0.29,"ts_dimensions_height=2.6,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT2MOR,simple,0.12,"ts_dimensions_height=1.6,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC7MGN,simple,0.29,"ts_dimensions_height=3.3,ts_dimensions_length=22,ts_dimensions_width=20"
N6SPAT2MGR,simple,0.09,"ts_dimensions_height=1,ts_dimensions_length=22,ts_dimensions_width=20"
N6SPAT5MGR,simple,0.2,"ts_dimensions_height=1,ts_dimensions_length=22,ts_dimensions_width=20"
N6SPAT1MBK,simple,0.06,"ts_dimensions_height=1.6,ts_dimensions_length=22,ts_dimensions_width=20"
N6SPAT5MBK,simple,0.21,"ts_dimensions_height=1,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC7MOR,simple,0.29,"ts_dimensions_height=2.6,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC10MRD,simple,0.4,"ts_dimensions_height=2.6,ts_dimensions_length=33,ts_dimensions_width=25.5"
45PAT5MOR,simple,0.2,"ts_dimensions_height=1.6,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATC3MPL,simple,0.14,"ts_dimensions_height=2.5,ts_dimensions_length=22,ts_dimensions_width=20"
45PAT7MWH,simple,0.26,"ts_dimensions_height=2,ts_dimensions_length=33,ts_dimensions_width=25.5"
45PAT7MGR,simple,0.26,"ts_dimensions_height=2,ts_dimensions_length=33,ts_dimensions_width=25.5"
45PAT7MPL,simple,0.26,"ts_dimensions_height=2,ts_dimensions_length=33,ts_dimensions_width=25.5"
6ASPAT3MGR,simple,0.14,"ts_dimensions_height=1,ts_dimensions_length=22,ts_dimensions_width=20"
6ASPAT2MBL,simple,0.1,"ts_dimensions_height=1.5,ts_dimensions_length=22,ts_dimensions_width=20"
6ASPAT3MBL,simple,0.14,"ts_dimensions_height=2,ts_dimensions_length=22,ts_dimensions_width=20"
6ASPAT2MGR,simple,0.09,"ts_dimensions_height=1,ts_dimensions_length=22,ts_dimensions_width=20"
6ASPAT1MGR,simple,0.06,"ts_dimensions_height=1,ts_dimensions_length=22,ts_dimensions_width=20"
QSFP40GPC1M,simple,0.15,"ts_dimensions_height=2,ts_dimensions_length=32,ts_dimensions_width=20.7"
QSFP40GAC7M,simple,0.5,"ts_dimensions_height=3,ts_dimensions_length=33.5,ts_dimensions_width=28"
SFP10GAC10M,simple,0.35,"ts_dimensions_height=0.6,ts_dimensions_length=25,ts_dimensions_width=33"
N6PAT200CMGRS,simple,0.05,"ts_dimensions_length=20,ts_dimensions_width=22"
6ASPAT7MBK,simple,0.29,"ts_dimensions_height=0,ts_dimensions_length=20,ts_dimensions_width=22"
N6PAT250CMBKS,simple,0.06,"ts_dimensions_height=1,ts_dimensions_length=20,ts_dimensions_width=22"
6ASPAT150CMBL,simple,0.08,"ts_dimensions_length=20,ts_dimensions_width=22"
6ASPAT750CMGR,simple,0.3,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PATC150CMBK,simple,0.08,"ts_dimensions_length=20,ts_dimensions_width=22"
N6PATC150CMWH,simple,0.08,"ts_dimensions_length=20,ts_dimensions_width=22"
M45PATCH6GR,simple,0.08,"ts_dimensions_height=1.5,ts_dimensions_length=22,ts_dimensions_width=20"
N6PATCH100BK,simple,1.3,"ts_dimensions_height=4.5,ts_dimensions_length=33,ts_dimensions_width=25"
N6PATCH100BL,simple,1.2,"ts_dimensions_height=5,ts_dimensions_length=33,ts_dimensions_width=25.5"
