sku,weight (kg),length (cm),width (cm),height (cm)
344RT,2.31,,43,28.2
MNY9F,1.48,,32.31,2.08
JD9KR,1.24,,30.65,1.84
35K2N,1.29,,30.18,1.16
90PCH,2.15,,37.3,34.7
1WWJT,2.58,,45.2,29.4
8D1P4,1.32,,30.65,1.92
429-AAUQ,0.2,,13.7,14.4
784-BBBI,0.2,,,
C0WCT,5.33,,49.4,21.3
JX26T,2.8,,49.8,13.3
DFF7J,5.33,,48.7,26.4
450-15098,,2,,
450-19103,0.52,2,0.762,2.54
450-19028,0.23,1,,
450-18922,0.17,1,0.5509999999999999,0.8710000000000001
DELL-K9VXV,,0.9,,
492-BBUU,,0.99,,
9Y819,0.604,,17.3,3.7
450-19105,0.52,2,7.62,15.49
450-19034,0.23,1,,
C2WJH,,0.91,,
YY20N,,0.9,,
450-18650,0.85,2,10,20
450-ABJQ,,2,,
09T215,0.421,,15.2,3.2
450-18920,0.17,1,5.51,2.2
450-AECL,,1.83,,
NX061,0.108,,23,2.9
331-9053,0.848,1.8,9.9,2.54
450-ABIT,0.85,2,10,20
492-BBNO,,1,,
DELL-492-BBSC,,1.83,,
FWCRC,0.8479,1.82,9.9,2.54
WW4XY,0.576,,7.62,3.05
450-18119,,2,,
450-18655,0.85,2,10,20
DELL-0KR0P,,0.9,,
4H6NV,0.17,0.9,5.5,8.7
450-19041,,1,,
450-18647,,2,,
DELL-MVH4P,,2,,
DELL-VW0G0,,0.914,,
450-18168,,1.83,,
450-ABFS,0.23,1.5,,
C7HFG,,1.83,,
PA45W16-BA,0.12,,5.5,2.2
451-BBMV,0.417,,7.8,2.15
450-ABLC,,1.98,,
338-BJFI,,,76.8,
405-12172,,,6.44,16.759999999999998
470-AASD,,2,,
V0YR4,23.7,,90.8,4.279999999999999
6W0H5,23.7,,90.8,4.279999999999999
6M5NT,15.4,,17.5,36
YYK22,17.9,,90.8,4.279999999999999
5Y2M9,15.4,,17.5,36
CK6FT,15.9,,43.4,4.279999999999999
6G4X9,15.9,,43.4,4.279999999999999
9YP37,8.4,,17.66,33.5
MYH06,29.6,,78.9,45.4
VFC7D,15.4,,17.5,36
8P45Y,37.7,,96.8,8.68
7R2GD,21.6,,91.9,4.279999999999999
PN557W,0.020399999999999998,,,
P2418HT,,,,Yes
210-AKBD,9.5,,53.8,32.1
470-ABNE,,0.132,,
DUB-H7/E,208.8,120,110,114
DUB-1340/E,324.5,110,120,193
DUB-H4/E,265.9,120,110,136
DPS-800,,,19,1
DMC-700SC/E,7.43,110,120,149.1
DMC-300SC/B,391,110,120,194.3
DMC-300SC/E,8.39,110,120,194.3
DEM-310GT,0.064,102,7.4,4.9
GO-SW-8G/B,0.3013,110,10.4,9.4
DGS-1016D/E,1.71,110,18,10.8
DGS-1210-24,3.24,110,24.9,7.2
GO-SW-5E/E,0.15,110,6.5,9.8
DES-1018MP,,,11,1.7
DGS-1510-28XMP,,,17.3,1.7
DIS-100G-5PSW,0.7,120,18.1,7.5
DGS-3130-30TS/SI,4.47,110,38.8,9
DES-1024D/B,1.9,120,28.2,7.8
DES-1016D/B,1.8,120,28.2,7.8
DGS-1024D/B,2.5,110,26.2,10.2
DGS-1210-10P,,,11,1.7
DES-105/B,0.45,120,17,6.2
DGS-108/B,0.654,110,20.8,6.8
DGS-1210-10,,,11,1.7
DGS-1210-52MP,5.760618399999999,43.3,17.3,1.73
DGS-1210-28MP,,,17.3,1.7
DGS-3000-52X,2.4,,44,4.4
DGS-3130-30PS/SI,6.32,110,45,11.8
DBS-2000-28MP,3.94171448,43.3,17.3,1.73
GO-SW-5G/B,0.22190000000000001,110,10,8.2
DGS-1008P/E,1.69,120,18,10.8
DBS-2000-28P,3.75120584,43.3,17.3,1.73
DGS-1008D/B,0.28,110,10.4,9.4
DGS-1210-52,,,17.3,1.7
DGS-1210-48,4.69,110,35.4,9.8
DGS-1100-24P,,,11,1.7
DXS-1210-12TC,,,17.3,1.7
DGS-3130-54PS/SI,6.88,110,45,11.8
DGS-1008D/E,0.4,,13.8,3.4
DES-1008D/B,0.31,110,10.4,9.4
DES-1008PA,1.19,110,20.8,6.8
DGS-3120-24TC/SI,4.27,110,34.8,9.1
DGS-108/E,0.654,110,20.8,6.8
DGS-105/B,0.5,110,17,6.2
DGS-1210-24P,4.92,110,36.5,9.2
DIS-100G-5SW,,,4.4,1.1
DGS-3130-54S/SI,6.32,102,45,11.8
DGS-3130-54TS/SI,4.83,110,42.7,7
DGS-1005D/B,0.222,110,10,8.2
DGS-1016D/B,1.77,110,18,10.8
DGS-1005D/E,0.08,,11.1,3
DGS-1024D/E,2.43,110,26.2,10.2
DES-108/B,0.61,102,20.8,6.8
DGS-1100-26MP,4.4,110,37.7,9.2
DGS-1026MP,3.7,110,38.8,9
DGS-1510-52XMP,,,17.3,1.7
DGS-3130-30S/SI,4.47,110,38.8,9
DGS-1250-28XMP,4.76,110,39.3,8.9
DBS-2000-10MP,1.7690088,43.3,13,1.73
DBS-2000-52MP,6.2595696,43.3,17.3,1.73
DES-1210-28P,4.49,110,34.9,9.6
DGS-105/E,0.45,120,17,6.2
DGS-1210-08P,,,28,4.4
DGS-1008MP,2.85,110,26.2,10.2
DGS-1210-10MP,,,13,1.7
DIS-S301SX,2.26,40.2,2.91,1.93
DEM-311GT,,,1.2,2.3
DEM-432XT,,,0.6,0.5
DEM-431XT,,,0.6,0.5
DGE-528T,8.98,39.5,29,193.5
DWA-182,447.4,42.5,29.2,2.02
DWA-172,191.2,45.7,44.3,2.1
DWA-181,0.00221,,1.49,0.71
DWA-131,462.7,45.5,21.4,2.08
DWA-121,254.4,43.5,29.5,199.5
DUB-E100,378,36,32,186
DWA-582,,,3.1,1
DWA-171,371.3,44.9,20.8,2.08
DEM-CB300S,,9.84,,
DEM-CB100S,0.25,110,26.7,4.6
DPE-301GI,,,4.3,1
DPE-101GI,0.42,120,15.3,6.8
DPE-301GS,,4.3,2.5,1
PSM-12V-55-B,16,35,44,30
DCS-6210,0.4122,0.43,10.68,5.16
DNR16-4802-2,2.1,,30,6.3
DCS-4633EV,0.365,0.27999999999999997,,6.470000000000001
DCS-4701E,357.8,110,120,138.5
DCS-8525LH,0.33,0.23900000000000002,11.129999999999999,13.809999999999999
DWM-312,0.21,110,9.3,2.4
DWR-921/E,4.45,110,120,178
DWR-953,0.4,,17,8
DSR-250N,295.5,110,120,135.9
DIR-809/B,233.9,110,120,178.7
DWR-921/B,290,110,120,140
DAP-1360/B,0.6632,110,20.8,6.8
DAP-2360,,,6.5,7.4
DWL-6610AP,17.64,,16.002,6.8580000000000005
DWL-8610AP,,,19.8,4
DAP-1360/E,0.6,120,20.8,6.8
DAP-2310/E,0.578,110,18.8,5.5
DAP-2680,,,7.5,1.8
DBA-1210P,,,17.018,2.7940000000000005
DAP-2662,0.39,,20.8,7.3
DAP-1665,,,5.8,1.1
S0838860,1.3,120,80,120
S0717930,117,40.8,20.5,17.9
S0841390,0.8,,12.4,23.4
S0946320,197.6,120,8,122.4
1873306,1.99,7,16,12.190000000000001
S0883990,3.16,40,30,21
S0968960,5.3,,25.6,28.9
1852992,,0.635,1.91,
18432,0.391,,,
1805435,,5.5,1.2,
1868717,174.3,120,80,116.5
1868752,213.1,120,80,116.5
1868753,235.7,120,80,116.5
S0721620,,4,1.2,
S0720560,,7,1.2,
S0720980,,7,2.4,
S0720880,,7,1.9,
S0720610,,7,1.2,
18483,,5.5,1.2,
1868705,230.1,120,80,116.5
S0718060,,5.5,1.2,
18445,,5.5,1.9,
S0720530,,7,1.2,
1868741,176.2,120,80,116.5
1868751,176.2,120,80,116.5
1868772,213.1,120,80,116.5
18491,,3.5,1.9,
S0721650,,4,1.2,
18488,,3.5,1.2,
18051,,1.5,0.6,
S0721520,1.765,13.7,10.6,16.1
S0720830,,7,1.9,
1868773,235.7,120,80,116.5
1868775,226.3,120,80,116.5
1868709,189.4,120,80,116.5
S0720680,,7,0.9,
1805430,,5.5,2.4,
S0720730,,7,0.9,
18433,,5.5,1.9,
1868774,193.2,120,80,116.5
1868718,0.12,0.034,6.5,12
18443,,5.5,0.9,
S0721440,0.226,,6.5,8.3
S0722440,0.224,39.2,26.8,34.4
S0722370,0.132,,8.9,2.8
S0722400,0.314,,8.9,3.6
S0929120,0.117,,2.5,2.5
S0722430,0.236,,10.1,5.4
S0722550,0.151,,1.9,5.1
S0722530,0.091,,1.3,2.5
S0722520,0.159,,5.4,2.5
S0722560,0.24,,8.9,4.1
9SX5KI,65.5,,24.4,57.5
5PX2200IRTNBS,32.4,1.8,56,19
INDRELAY-MS,0.1,,6.6,13.2
RELAY-MS,0.07,,6.6,13.2
NETWORK-M2,0.07,,6.6,13.2
EBMCBL240,,1.8,,
EBMCBL96T,1.2,,29,16
EATS16,3.3,,44,4.3
EBAB04,2.2,3,5.2,5.3
EMIB04,3.98,3,5.2,5.3
ESWB22,4.6,3,5.3,5.2
5PX2200IRT,28.5,,44.1,8.620000000000001
5SC1000I,11.1,,15,21
9PX3000IRT3U,27.4,,44,13
5P1150I,11.1,,15,23
ELP650IEC,6.6,,8.2,26
EL1600USBIEC,7.8,,8.1,30.5
5PX1500RT,,,17.4,2
9PX2200IRTBPH,24.5,,44,13
9PX3000IRT2U,27.6,,44,8.65
5SC2200IRT,26.5,,44.1,8.620000000000001
3S550I,3.2,1.5,32.5,8.6
9PX5KIBP,48,,44,13
5SC500I,6.6,,15,21
9SX2000IR,26.5,,43.8,8.65
9SX3000IM,34,,21.4,34.6
ELP850IEC,7.3,,8.2,26
5PX1500IRTN,27.6,,44.1,8.620000000000001
5PX3000IRT3U,44.3,,44.1,13.069999999999999
1022540,265,,30.5,121.4
9SX1500IR,18.4,,43.8,8.65
5P850iR,13.8,,43.8,4.32
ELP1200IEC,9.9,,8.2,27.5
EL500IEC,2.9,,8.1,26.3
1022552,280,,30.5,121.4
9PX3000IRTN,27.6,,44,8.65
5SC1500IR,17.8,,44,8.620000000000001
9SX700I,11.5,,16,25.2
9PX6KIBP,48,,44,13
9PX11KIBP,86,,44,26
ELP1600IEC,11.3,,8.2,27.5
EL650IEC,3.6,,8.1,26.3
5SC1000IR,15,,44,8.620000000000001
9SX6KiRT,48,,13,44
5P850i,10.4,,15,23
9SX1000IM,15,,16,25.2
9PXEBM180,68,,44,13
5PXEBM72RT3U,37.3,,44.1,13.069999999999999
9PXEBM72RT2U,39.2,,44,8.65
9PXEBM48RT2U,29.8,,44,8.65
9SXEBM48T,24.5,,16,25.2
9SXEBM96T,48.7,,21.4,34.6
E971081,,,34.1,
E692448,,,41.6,
E850003,,,37.5,
E850204,4.3,,38.42,24.64
E850387,,,37.5,
E692244,,,41.6,
E693022,,,41.6,
E222793,,,34.1,
E850591,,,37.5,
E693211,,,41.6,
E926356,0.03,,11.89,1.6
E464915,9,,42,32.1
E401168,,,34.1,
E901355,0.53,,16.5,2.4
E143088,,,22,12.4
E155834,0.8842000000000001,,25,16.5
E155645,3.05,,28.46,19.91
E001006,0.52,,,
E668194,,,62,43
E400965,,,34.1,
E615169,0.32,,16.5,16
E466847,0.15,,18.1,7
E347918,13.5,,64.8,48.4
E936750,2.9,,38.62,24.89
E549028,,,39.72,35.42
E000444,20,,97.8,57.5
E611864,0.53,,16.5,2.4
E000739,2.24,,35.7,11.2
E326347,5.6,,,
E649473,8.3,,51.1,51
E877820,8.3,,51.1,51
E123955,4.3,,39.769999999999996,19.34
E077464,8.3,,51.1,51
E273226,7.3,,,31.9
E344758,7.3,,,31.9
E738607,7,,44.7,38
E326202,12.1,,73.6,44.3
E327528,8.2,,51.2,29.8
E179069,8.3,,,
E351806,12,,68,52.6
E126288,5.42,,68,33.72
A61CF26111,0.46,120,100,177.4
A61B133712B0,0.67,120,16.5,6.9
A61CF26101,0.46,,12.7,8
V11H961041,8.71,18.2,41,15.7
V11H901041,8.5,120,44,12
C31C514057,4.06,2.25,120,100
C31C246012B1,6.5,,25.2,20.1
C31C163272,1.84,,23.5,18.5
C31C163292,1.6,,18,10.2
C31C178262,1.9,,120,100
C31C515052B0,3.86,120,100,2.6
C11CA13041,0.008490000000000001,120,100,2.18
1512200,0.1,,19,3.6
B11B241401PU,1.1,,14.1,9.5
C11CH12301A1,168,,158,149
B11B239401PU,4.08,,40.5,19.5
C13T605600,0.00023999999999999998,120,100,130.5
C13T603B00,0.000397,120,100,91
C13T591100,0.015,120,100,198
C13T636300,0.001209,120,80,33
C13S020449,0.064,120,100,74.2
C13S020452,0.064,120,100,103.2
C13T580B00,0.000162,120,3.5,8
C13T653700,0.000397,120,80,51
C13T653A00,0.00039200000000000004,120,80,51
C13T694400,0.001048,120,100,57
C13T687200,0.00101,120,100,2.49
C13S020566,,,5,3
C13T755240,0.000185,120,100,3.79
C13T755440,0.000189,120,2.9,11.6
C33S020642,,,7,1.5
C33S020639,0.52,,10,3
C13T850200,5.06,120,100,180
C13T824500,0.000755,120,100,9.6
C13T804500,0.001216,120,100,9.6
C13T804600,0.0012,120,100,9.6
C13T804B00,0.001201,120,100,9.6
C13T32414010,,120,100,4.7
C13T908240,0.000189,120,100,81
C13T24244012,0.04,26,10.2,14.6
C13T29924012,0.042,26,10.2,14.6
C13T18024012,0.039,26,10.2,14.6
C13T26124012,0.04,26,10.2,14.6
C13T33444012,0.04,26,10.2,14.6
C13T13014012,0.077,26,10.2,14.6
C13T29934012,0.036,120,100,2
C13T913A00,0.0004,,4,11.5
C13T913D00,0.0004,,4,11.5
C13T913100,0.0004,,4,11.5
C13T34614010,0.041,26,10.2,14.6
C13T04C340,0.0072,60.3,39.8,15.3
C13T40D340,0.00011700000000000001,,3.5,11
C13T40D240,0.00011700000000000001,,3.5,11
C13T41F440,0.000575,,4.5,11.5
C13T03A34010,0.393,26,10.2,14.6
C13T591600,0.001216,120,6,14.5
C13T603400,0.0004,120,100,91
C13T603700,0.00040699999999999997,,3,11
C13T596100,0.000755,120,80,33
C13T596500,0.000743,120,80,30
C13T636400,0.001216,120,80,33
C13T653100,0.000393,120,80,39
C13T653400,0.00039,120,80,51
C13T692500,0.00029,120,100,33
C13T693300,0.00058,120,100,52.8
C13T694100,0.00098,120,100,57
C13T15914010,,120,100,191
C13T15944010,,120,100,191
C13T15994010,,120,100,191
C13T642100,0.00053,,5.5,14.5
C13T789140,0.000153,120,100,2.17
C13T76034010,,26,12,14.6
C33S020621,0.515,,10,3.5
C13T850500,5.06,120,100,180
C13T850800,5.06,120,100,180
C13T16344012,0.042,26,10.2,14.6
C13T13034012,0.05,26,10.2,14.6
C13T12934012,0.045,26,10.2,14.6
C13T27034012,0.039,26,10.2,14.6
C13T24344012,0.045,26,10.2,14.6
C13T913300,0.0004,,4,11.5
C13T00R340,4.78,48,31,15
C13T944140,0.0002,,4,12
C13T964140,0.00039,,4,16.4
C13T40C240,,,3.5,11
C13T03U44010,0.373,26,10.2,14.6
C13T44JB40,0.0096,47.5,35,16
C13T591700,0.001202,120,6,14.5
C13T580900,0.0050620000000000005,120,100,120
C13T603300,0.00040300000000000004,120,100,91
C13T544600,0.000426,120,100,198
C13T636500,0.001204,120,80,33
C13T636700,0.001204,120,80,33
C13T692200,0.00029,120,100,33
C13T642600,0.00053,,4.3,12
C13T08074021,0.00022700000000000002,120,100,135
C33S020601,,,4.5,3
C33S020604,,,4.5,3
C13T76054010,,26,12,14.6
C13T76064010,,26,12,14.6
C33S020620,0.515,,10,3.5
C33S020618,0.515,,10,3.5
C13T824A00,0.000764,120,100,2.67
C13T800800,0.0010400000000000001,,4.5,11.5
C13T800100,0.00103,,4.5,11.5
C13T29914012,0.04,26,10.2,14.6
C13T24334012,0.045,26,10.2,14.6
C13T26324012,0.045,26,10.2,14.6
C13T18124012,0.042,26,10.2,14.6
C13T24314012,0.039,120,100,2
C13T26314012,0.045,26,10.2,14.6
C13T16334012,0.042,26,10.2,14.6
C13T913500,0.0004,,4,11.5
C13T37964020,0.048,120,100,2
C13T02W24010,0.041,26,10.2,14.6
C13T04C440,0.0072,60.3,39.8,15.3
C13T40C340,,,3.5,11
C13T03A14010,0.447,26,10.2,14.6
T0713,0.05,120,100,130.5
C13T44QD40,0.0095,35,49,19
C13T44Q840,0.0095,35,49,19
C13T544300,0.00043,120,100,198
C13T591500,0.001206,120,6,14.5
C13T636600,0.00121,120,80,33
C13T596700,0.000762,120,80,30
C13T636A00,0.001202,120,80,116.4
C13S020451,0.064,120,100,74.2
C13T653600,0.00039400000000000004,120,80,51
C13T653900,0.00039400000000000004,120,80,51
C13T693500,0.0005859999999999999,120,100,42
C13T694300,0.0010429999999999999,120,100,57
C33S020464,0.214,120,100,2.04
C13T15984010,,120,100,191
C33S020484,,120,100,4.05
C13S020565,,,5,3
C13T76024010,,26,12,14.6
C13T76084010,,26,12,14.6
C33S020641,,,7,1.5
C13T804D00,0.001217,120,100,9.6
C13T804400,0.001213,120,100,9.6
C13T804100,0.001213,120,100,9.6
C13T804300,0.00122,120,100,11.8
C13T824D00,0.000764,120,100,177
C13T32474010,,120,100,4.7
C13T908440,0.00019,120,100,81
C13T800700,0.0010409999999999998,,5,11.5
C13T24254012,0.047,26,10.2,14.6
C13T29914022,,26,10.2,14.6
C13T913700,0.0004,,4,11.5
C13T35944010,0.072,26,12,14.6
C13T34794010,,,17,15
C13T945340,0.00020999999999999998,,3.5,12.5
C13T04B140,0.0112,60.3,39.8,15.3
C13T04B240,0.0083,60.3,39.8,15.3
C13T40C140,0.00011700000000000001,,3.5,11
C13T41R240,0.00028000000000000003,,3,11.5
C13T41R540,0.00031,,3.6,12.2
C13T41F240,0.000571,,4.5,11.5
C13T44Q440,0.0095,35,49,19
C13T44QA40,0.0095,35,49,19
C33S020410,,128.4,120,100
C13T603900,0.000406,,3.2,11.1
C13T602300,0.0004,120,100,120
C13T33624012,0.045,26,10.2,14.6
C13T27024012,0.04,26,10.2,14.6
C13T27124012,0.046,26,10.2,14.6
C13T24364012,0.04,120,100,2
C13T26334012,0.04,120,100,2
C13T27114012,0.094,26,10.2,14.6
C13T24264022,,120,100,2
C13T946140,0.00037,,3.5,16.5
C13T02V14010,0.04,26,10.2,14.6
C13T41F540,0.000579,,4.5,11.5
C13T603100,0.0004,120,100,91
C13T603500,0.00040300000000000004,,3.2,11.1
C13T614200,0.000425,120,100,198
C33S020404,0.1,120,80,2.25
C33S020407,0.145,120,80,3.75
C33S020405,0.1,120,100,103.2
C13T544700,0.00043,120,100,198
C13T596600,0.00066,120,80,30
C13T596800,0.00076,120,80,30
C13T692400,0.00029,120,100,33
C13T15934010,,120,100,191
C13T70214010,0.000147,120,100,43.6
C13T70244010,0.000124,120,100,43.6
C33S020490,0.2,120,100,4.05
C33S020603,,,4.5,3
C13S020563,,,8.8,4.5
C13T26704010,,120,100,160
C13T824100,0.000764,120,100,9.6
C13T824700,0.000759,120,100,9.6
C13T908340,0.00025,120,3,11.5
C13T838140,0.0008219999999999999,120,100,15
C13T612200,0.366,120,100,91
C13T603200,0.000397,120,100,91
C13T603C00,0.0004,120,100,91
C13T636900,0.001203,120,80,33
C13T636B00,0.00121,120,80,116.4
C13T653B00,0.00039200000000000004,120,80,51
C13T692100,0.00029,120,100,33
C13T694500,0.00106,120,100,57
C13T79044010,0.000118,120,100,46.5
C13T79134010,0.000107,120,100,46.5
C13T26614010,,120,100,160
C33S020619,0.515,,10,3.5
C13T850400,5.06,120,100,180
C13T824600,0.00076,120,100,9.6
C13T824200,0.00076,120,100,2.08
C13T824B00,0.000753,120,100,177
C13T804200,0.001203,120,100,9.6
C13T824300,0.00076,120,100,12.3
C13T800400,0.00106,,4.5,11.5
C13T33514022,,26,10.2,14.6
C13T13014022,,26,10.2,14.6
C13T913800,0.0004,,4,11.5
C13T913400,0.0004,,4,11.5
C13T03R240,4.66,48,31,15
C13T03R440,4.72,48,31,15
C13T37954020,0.049,120,100,2
C13T41R340,0.00028100000000000005,,3,11.5
C13T614800,0.000429,120,100,198
C13T44J940,0.0096,47.5,35,16
C13T605C00,0.00023999999999999998,120,2.5,11
C13T606100,0.000423,120,100,198
C33S020403,,120,100,148
C33S020406,0.1,120,4.6,6.5
C13T06114010,0.053,26,12,14.6
C13T591400,0.015,120,100,2.08
C13T58464010,0.75,120,15,14.2
C33S020268,0.2,120,100,128.4
C13T605900,0.000235,120,100,130.5
C13T596900,0.000747,120,80,30
C13T636100,0.001206,120,80,33
C13T653200,0.0004,120,80,51
C13T693400,0.000579,120,100,42
C13T694200,0.00106,120,100,57
C13T15974010,,120,100,191
C13T70234010,0.000121,120,100,43.6
C13S020564,,,5,3
C13T789240,0.00011,120,100,2.17
C33S020640,,,7,1.5
C13T850900,5.06,120,100,180
C13T824400,0.000762,120,100,2.67
C13T804A00,0.0012,120,100,9.6
C13T824900,0.00076,120,100,9.6
C13T907140,0.00043599999999999997,120,100,81
C13T800000,0.001042,,4.5,11.5
C13T12944012,0.039,120,100,2
C13T13044012,0.05,26,10.2,14.6
C13T27144012,0.046,26,10.2,14.6
C13T913200,0.0004,,4,11.5
C13T35924010,0.072,26,12,14.6
C13T02F14010,0.037,120,100,2
C13T02H14020,0.046,120,100,2
C13T944340,0.00019,,4,12
C13T944440,0.0002,,4,12
C13T40D140,0.00016800000000000002,,4.7,11
C13T03U14010,0.386,26,10.2,14.6
C13T44Q940,0.0095,35,49,19
C13T05534010,0.055,26,12,14.6
C13T605100,0.00023999999999999998,120,100,130.5
C13T612400,0.00040100000000000004,120,100,91
C13T591300,0.015,120,100,2.08
C13T596400,0.000749,120,80,30
C13T596300,0.000762,120,80,30
C13T596A00,0.000757,120,80,30
C13T636200,0.0012,120,80,33
C13T692300,0.00029,120,100,33
C13T693100,0.0005899999999999999,120,100,42
C33S020175,0.234,120,100,4.88
C13T15924010,,120,100,191
C13T70114010,0.00014099999999999998,120,100,51
C33S020602,,,4.5,3
C13T79124010,0.000107,120,100,46.5
C33S020591,0.235,,16.5,15
C13T850100,5.06,120,100,180
C13T804900,0.001206,120,100,9.6
C13T804700,0.0012050000000000001,120,100,9.6
C13T800200,0.001032,,4.7,11.5
C13T800500,0.0010329999999999998,,4.5,11.5
C13T24224012,0.034,120,100,2
C13T27014012,0.042,26,10.2,14.6
C13T24234012,0.04,26,10.2,14.6
C13T24214012,0.041,26,10.2,14.6
C13T26114012,0.04,26,10.2,14.6
C13T913600,0.0004,,4,11.5
C13T37814020,0.043,26,10.2,14.6
C33S020655,,,5,7.5
C13T945240,0.00020999999999999998,,3.5,12.5
C13T04A240,0.009699999999999999,60.3,39.8,15.3
C13T41F340,0.0005809999999999999,,4.5,11.5
C13T41R440,0.000307,,3.6,12.2
C13T44Q140,0.0095,35,49,19
C13T44JD40,0.0096,47.5,35,16
C11CD47301BY,28,,47.8,40.4
C11CH44401BY,4.3,,37.5,15.1
C32C823991,,,8.3,3.7
C32C823861,,120,8.2,3.4
C32C823891,,,8,3.5
C32C823361,,,8,3.5
C32C824121,,120,8,3.5
C32C824131,,120,8.5,3.9
C31CH77102,31.3,,62,49.5
C31CH76202,28.2,11.2,51.5,50
C51CB70380,11.3,49,33.3,29
C11CC68132,16,,59,43
C51CB70330,0.973,120,100,15
C51CB70360,0.42,,11,5.3
C53S655006,0.06,120,100,148
C53S652002,0.05,120,100,3.18
C53S654024,0.062,120,100,64
C53S654025,0.062,120,100,64
C53S654023,0.06,120,100,64
C53S654016,0.06,120,100,148
C53S655014,0.074,120,100,64
C53S656905,0.08,120,100,19.8
C53S653003,0.04,120,100,148
C53S656005,0.05,120,100,57
C53S657006,0.12,120,100,30.2
C53S652004,0.05,120,100,3.18
C53S657002,0.128,120,100,30.2
C53S656903,0.08,2.5,3.5,7.5
C53S654009,0.06,120,100,148
C53S652003,0.05,120,100,3.18
C53S654014,0.06,120,100,148
C53S654017,0.062,120,100,64
C53S655012,0.06,120,100,148
C53S653007,0.04,120,100,148
C53S653008,0.04,120,100,148
C53S656902,0.07,2.5,3.5,7.5
C53S654008,0.06,120,100,148
C13S041746,0.01638,120,100,81
C13S041387,0.0060999999999999995,120,100,75
C13S042372,7.3,120,17.7,17.7
C13S041719,0.0188,120,100,111
C13S041725,0.0206,120,100,98
C13S041385,0.0033,120,100,75
C13S042111,5.8,120,100,90
C13S041220,6.44,120,100,104
C13S042095,0.017,120,100,96
C13S042096,0.023,120,100,110
C13S041853,0.0221,120,100,108
C13S041598,0.036899999999999995,120,100,90
C11CE41301A0,147,,80,108
C11CE40301A0,199,,83,109
C11CH12301A3,0.168,,158,149
C13S050603,0.000194,120,7.2,7.3
C13S050614,0.000175,120,100,108.5
C13S050651,0.00011899999999999999,120,100,2.55
C13S050602,0.000194,120,80,117
C13S050604,0.000195,120,100,117
C32C845040,0.66,120,100,190
C32C881017,0.19,,10.5,4
C11CG68401BC,57.4,,61.3,62
C11CJ30401CA,17.5,,42.5,35
C11CG86416CA,3.9,,37.5,17.9
C11CG92402BY,7.3,,37.5,34.6
C11CH43401BY,6.4,,37.5,30.2
C11CH71401CA,20.9,,51.5,35
C11CH96401CA,9.7,,49.8,24.5
C11CG22405CA,5.5,,37.5,18.7
C11CJ18401BY,5,,37.5,20
C11CH72401CA,20.7,,51.5,35
C11CJ29401CA,17.8,,42.5,35
C31CD38032,,120,12.5,11.4
C31CD3803P,1.7,,8,
C31C151285,5.6,120,35.5,33
C31CA85321B0,1.6,120,20,23
C31CD38025A0,,,12.5,11.4
C31CE95111BD,1.3,49,29.5,28.5
C31CH51011A0,2.2,49,40,29.5
C31C412682,1.9,,14,20.3
C31CF70321PH,0.00787,,31,35.5
C31CH51011,,49,14,14.6
C31CG62204P1,5.96,,29.4,28.5
C31CF70301PH,0.00788,,31,35
C31C514057WR,2.5,,16,13.9
C31C517057,5.2,2.25,120,100
C31CD38023A0,,120,12.5,11.4
C31CF70301,7.88,120,100,111
C31CE95121BD,1.3,49,30,28
C31CG62216,5.5,120,100,2.18
C31CA85031B0,,120,14.5,14.8
C32C825375,0.407,,18.4,5.2
C32C825341,0.482,120,100,3.3
2119140,0.18,,4,5
2093752,0.23,,6.4,4.5
C13S090013,,120,100,5.01
C13T642000,0.000521,,6,14.5
C13S051228,0.00248,,28.5,32.5
C13T774140,0.225,120,100,2.98
C13T664340,0.00014099999999999998,120,100,3.39
C13T00P340,3.12,48,31,15
C13T664240,0.00014199999999999998,120,100,3.39
B12B813561,,,3.6,11.4
B12B813501,0.00011999999999999999,,3.4,11.6
C33S020580,0.311,120,100,34.4
C13T582000,0.011699999999999999,56.5,39.5,29
C13S210102,0.00011300000000000001,,8.6,8.6
C13T366100,,,4,5.5
B12B813421,,,5.2,6.9
C33S045537,0.47,120,100,96
C33S045719,2.27,120,100,183
C33S045721,1.69,120,100,112.5
C53S633004,0.00058,15,12,12.5
C33S045548,0.687,120,100,5.82
C33S045720,1.69,120,100,183
C53S633001,0.00058,15,12,12.5
C33S045542,0.454,120,100,96
C33S045553,7.3,120,100,9.6
C33S045714,2.92,120,100,183
C33S045536,0.314,120,100,102
C53S633003,0.00058,15,12,12.5
C53S633006,0.00058,15,12,12.5
C33S045718,2.29,120,100,183
C53S654010,0.06,120,2.5,7
C53S635002,0.00028000000000000003,30,5,15.5
C33S045538,0.621,120,100,96
C33S045541,0.618,120,100,96
C33S045552,7.42,120,100,9.6
C53S634003,0.00038,15,12,7.5
C33S045549,0.703,120,100,5.82
C33S045713,2.94,120,100,183
C33S045738,8.93,,31.9,25
C53S633005,0.00058,15,12,12.5
C33S045543,0.463,120,100,96
C33S045715,2.17,120,100,183
C13S015610,0.00019700000000000002,,39.8,9
C43S015358,,,8,1
C13S015336,0.0108,120,100,2.12
C43S015369,0.045,,9,3
C43S015376,0.05,,8,3
C13S015262,0.0092,120,100,182
C43S015374,0.05,,8,3
7753,0.11,,,
C43S015453,,120,80,2.77
C13S015337,0.0143,120,100,2.05
